investor,node,x_power_mw,x_energy_mwh,ratio_hours,share_of_node_limit
I1,N1,2.5181728004823144e-05,0.00010550956974753265,4.189925716270307,2.5181728004823145e-07
I1,N2,6.438062524894576e-08,1.876591674376839e-07,2.914839157153989,6.438062524894577e-10
I1,N3,35.77215123821287,229.30863471708273,6.410255653625003,0.3577215123821287
I1,N4,2.675440875119355e-07,6.627749425889408e-07,2.4772550526251997,2.675440875119355e-09
I1,N5,1.5522490396493346e-07,3.6729580090439124e-07,2.3662169634027688,1.5522490396493345e-09
I1,N6,31.721230475710335,63.442462177788364,2.0000000386607857,0.3172123047571034
I1,N7,61.83249571096402,207.79756302447674,3.3606530131959476,0.6183249571096402
I1,N8,46.05025794351559,158.65902190417188,3.4453449120476187,0.4605025794351559
I1,N9,1.4465525669169496e-07,3.30749999664737e-07,2.2864706560209385,1.4465525669169496e-09
I2,N1,0.0003398372587211403,0.001590467404445592,4.680085433924358,3.3983725872114026e-06
I2,N2,1.0374278695992712e-07,3.0054461591771983e-07,2.897016985227239,1.0374278695992711e-09
I2,N3,43.04852691851319,271.83705574738894,6.314665685586662,0.4304852691851319
I2,N4,4.617170883228337e-07,1.0329208565383152e-06,2.2371293648462376,4.617170883228337e-09
I2,N5,1.922196513470274e-07,4.1566548260399425e-07,2.1624505074851306,1.922196513470274e-09
I2,N6,15.561918815218656,34.41391988259207,2.2114188032479163,0.15561918815218656
I2,N7,38.16750428903598,143.88426269801258,3.769810611886008,0.3816750428903598
I2,N8,53.94974205603384,113.8322630649773,2.1099686249982,0.5394974205603384
I2,N9,1.6971586281100478e-07,3.6316567531477827e-07,2.1398452053901336,1.6971586281100479e-09
