soc_hour,node,soc_mwh,delta_soc_capacity_dual,rho_periodicity_dual
0,N1,9.304346547734231e-08,-4.22723142975589e-08,-60.037750753003394
0,N2,9.30425775192848e-08,-1.177254011878135e-08,-60.037907290694754
0,N3,9.30422767886999e-08,-2.890952207869501e-08,-60.03790727782947
0,N4,9.304232985953383e-08,-2.4958492990498665e-08,-60.03790725356486
0,N5,1.0427121270007604e-07,1.8818853016044456e-09,-58.80748413932503
1,N1,4.736134623470991,-5.0402978939093747e-08,-60.037750753003394
1,N2,6.598510370069911,-1.3797706016054525e-08,-60.037907290694754
1,N3,5.65934912990168,-3.4401676511562566e-08,-60.03790727782947
1,N4,5.9531202371296,-2.964114782494553e-08,-60.03790725356486
1,N5,13.350971208782479,1.3271286109162915e-09,-58.80748413932503
2,N1,10.651902370968251,-6.353811695244164e-08,-60.037750753003394
2,N2,22.323897167068367,-2.0056784675660688e-08,-60.037907290694754
2,N3,14.846275234446935,-4.607674702060227e-08,-60.03790727782947
2,N4,16.27354753565132,-4.016546331306662e-08,-60.03790725356486
2,N5,63.43359999637767,-9.349853507229154e-10,-58.80748413932503
3,N1,16.194026188938246,-8.033816081419151e-08,-60.037750753003394
3,N2,41.8152814690235,-3.0404346479710224e-08,-60.037907290694754
3,N3,24.45568666985995,-6.37903929229688e-08,-60.03790727782947
3,N4,27.218082528726104,-5.6269468274586816e-08,-60.03790725356486
3,N5,115.17506077763176,-4.853448438172474e-09,-58.80748413932503
4,N1,21.370108838144283,-1.0499838983940619e-07,-60.037750753003394
4,N2,62.29413602882609,-5.2565758345778455e-08,-60.037907290694754
4,N3,34.24369043678652,-9.824704420820125e-08,-60.03790727782947
4,N4,38.20121087340413,-8.748412871134248e-08,-60.03790725356486
4,N5,167.0144884532126,-1.3158584338147655e-08,-58.80748413932503
5,N1,26.717469423887113,-1.5045759107639187e-07,-60.037750753003394
5,N2,85.22558296044343,-1.5853886209972192e-07,-60.037907290694754
5,N3,45.44926537698773,-2.2379435641524874e-07,-60.03790727782947
5,N4,50.75657656490513,-2.0207456482074099e-07,-60.03790725356486
5,N5,218.9824830784058,-4.289900973653792e-08,-58.80748413932503
6,N1,30.126579949611536,-2.23143226864308e-07,-60.037750753003394
6,N2,94.52082580278457,-9317.265050157885,-60.037907290694754
6,N3,52.89007917928925,-8291.62142303162,-60.03790727782947
6,N4,58.86852188363143,-3897.480474849911,-60.03790725356486
6,N5,253.50092214949717,-32.14495708791902,-58.80748413932503
