hour,node,soc_start_mwh,soc_end_mwh,p_charge_mw,p_discharge_mw,net_injection_mw,lambda_eur_per_mwh,spot_revenue_eur,degradation_cost_eur,rho_charge_dual,sigma_discharge_dual,gamma_soc_transition_dual
1,N1,9.304346547734231e-08,4.736134623470991,5.059972999664159,1.8463360729264918e-07,-5.059972815030552,40.00000080476702,-202.3989166733213,37.949798882233246,-1.5124006342170413e-07,-1.0169293751441022e-07,-42.73504337877006
1,N2,9.30425775192848e-08,6.598510370069911,7.049690677655546,1.8463372952297493e-07,-7.049690493021816,40.00000085456226,-281.9876257452721,52.87268146716956,-4.322290624104949e-08,-3.3545083023222424e-08,-42.7350434490527
1,N3,9.30422767886999e-08,5.65934912990168,6.04631328431349,1.8463351052839298e-07,-6.046313099679979,40.000000855223725,-241.8525291581496,45.3473510171025,-9.577552922652544e-08,-6.781905830541597e-08,-42.73504344718651
1,N4,9.304232985953383e-08,5.9531202371296,6.3601713048562685,1.8463367406239967e-07,-6.360171120222595,40.000000831078324,-254.40685009470414,47.701286171174566,-9.227849352893808e-08,-6.469762833809221e-08,-42.73504343627882
1,N5,1.0427121270007604e-07,13.350971208782479,14.263858228386082,1.846335875828092e-07,-14.263858043752494,40.00000081182502,-570.5543333298566,106.97893809764753,-3.625395993325329e-08,-2.3291466246588698e-08,-42.73504352488004
2,N1,4.736134623470991,10.651902370968251,6.320264898242887,1.846335656370269e-07,-6.320264713609322,40.00000043951841,-252.81059132224556,47.401988121573396,-1.6259708443897943e-07,-1.0169293751619844e-07,-42.73504305084149
2,N2,6.598510370069911,22.323897167068367,16.800627130616228,1.8463380109424332e-07,-16.800626945982426,40.000000484637816,-672.0250859815162,126.00470486437521,-6.344360896907131e-08,-3.354508302529163e-08,-42.7350432170044
2,N3,5.65934912990168,14.846275234446935,9.815092202781159,1.8463340307253184e-07,-9.815092018147755,40.00000048577234,-392.6036854938104,73.61319290560922,-1.1753891232628713e-07,-6.781905830981909e-08,-42.73504317702334
2,N4,5.9531202371296,16.27354753565132,11.026097751901668,1.8463371096552226e-07,-11.026097567267957,40.00000046400943,-441.04390780693154,82.69573452401534,-1.1931314351131752e-07,-6.469762834276672e-08,-42.73504317997996
2,N5,13.350971208782479,63.43359999637767,53.50708224877491,1.8463360352229208e-07,-53.5070820641413,40.00000044828606,-2140.283306552131,401.30311825056384,-2.0956942684966709e-07,-2.3291466248934635e-08,-42.73504340663917
