hour,node,demand_mw,generation_mw,p_charge_mw,p_discharge_mw,storage_net_injection_mw,load_shed_mw,net_injection_mw,lambda_eur_per_mwh,xi_shed_dual
1,N1,41.94,877.5800055782579,5.059972999664159,1.8463360729264918e-07,-5.059972815030552,-9.793378561120733e-09,830.580032753434,40.00000080476702,-3.9068896777771524e-08
1,N2,251.64,0,7.049690677655546,1.8463372952297493e-07,-7.049690493021816,-9.793378560974052e-09,-258.6896905028152,40.00000085456226,1.8218505361842863e-09
1,N3,251.64,9.675909871532038e-10,6.04631328431349,1.8463351052839298e-07,-6.046313099679979,-9.79337856129049e-09,-257.6863131085058,40.000000855223725,1.8218505361846784e-09
1,N4,251.64,0,6.3601713048562685,1.8463367406239967e-07,-6.360171120222595,-9.793378561040981e-09,-258.000171130016,40.000000831078324,1.8218505361703666e-09
1,N5,41.94,4.144874499464403e-08,14.263858228386082,1.846335875828092e-07,-14.263858043752494,-9.793378561023074e-09,-56.20385801209712,40.00000081182502,-3.906889677762095e-08
2,N1,40.44,906.2691633156992,6.320264898242887,1.846335656370269e-07,-6.320264713609322,-9.793378561121928e-09,859.5088985922965,40.00000043951841,-4.08889597228941e-08
2,N2,242.64,0,16.800627130616228,1.8463380109424332e-07,-16.800626945982426,-9.793378561037312e-09,-259.4406269557758,40.000000484637816,1.518506713114929e-09
2,N3,242.64,9.67591012578043e-10,9.815092202781159,1.8463340307253184e-07,-9.815092018147755,-9.793378561214214e-09,-252.45509202697352,40.00000048577234,1.5185067131156502e-09
2,N4,242.64,0,11.026097751901668,1.8463371096552226e-07,-11.026097567267957,-9.79337856107458e-09,-253.66609757706132,40.00000046400943,1.5185067131017668e-09
2,N5,40.44,4.1448742692009023e-08,53.50708224877491,1.8463360352229208e-07,-53.5070820641413,-9.793378561060251e-09,-93.94708203248594,40.00000044828606,-4.088895972269301e-08
3,N1,39.54,894.7838840363288,5.921072665841946,1.84633551008542e-07,-5.921072481208395,-9.793378561119554e-09,849.322811545327,40.000000405387645,-4.204728202401674e-08
3,N2,237.24,0,20.824128738475967,1.8463383066609528e-07,-20.824128553842137,-9.793378561060844e-09,-258.0641285636355,40.000000443020255,1.3254529963910564e-09
3,N3,237.24,9.675910247794158e-10,10.266465419520172,1.8463336028970543e-07,-10.26646523488681,-9.793378561181268e-09,-247.50646524371263,40.00000044504907,1.3254529963924097e-09
3,N4,237.24,0,11.692879476851534,1.8463372651934004e-07,-11.692879292217807,-9.79337856108605e-09,-248.93287930201117,40.00000042692403,1.3254529963803345e-09
3,N5,39.54,4.1448741844790166e-08,55.279338652256634,1.846336115659501e-07,-55.27933846762302,-9.79337856107394e-09,-94.81933843596765,40.00000041357427,-4.204728202382031e-08
4,N1,37.8,860.984505474926,5.530003041094123,1.8463354861520833e-07,-5.530002856460575,-9.793378561117719e-09,817.6545026086721,40.00000040214983,-4.4443109292107367e-08
4,N2,226.8,0,21.879118330193318,1.846338305521261e-07,-21.879118145559488,-9.793378561059927e-09,-248.67911815535288,40.000000432166864,9.261484517729951e-10
4,N3,226.8,9.675910249269582e-10,10.457269192504741,1.8463336026078905e-07,-10.45726900787138,-9.793378561180404e-09,-237.25726901669717,40.000000434884456,9.261484517749771e-10
4,N4,226.8,0,11.734111690102859,1.8463372654114595e-07,-11.734111505469132,-9.793378561085012e-09,-238.53411151526254,40.000000420384666,9.261484517644057e-10
4,N5,37.8,4.1448741912875296e-08,55.38400413764848,1.8463361147620272e-07,-55.38400395301487,-9.79337856107289e-09,-93.1840039213595,40.00000040958292,-4.444310929191222e-08
5,N1,38.58,882.7193834429404,5.7129922895308765,1.846335559926689e-07,-5.712992104897321,-9.793378561116814e-09,838.4263913282497,40.000000403340515,-4.3342393240962386e-08
5,N2,231.48,0,24.499409325721874,1.8463380039622925e-07,-24.499409141088073,-9.793378561035356e-09,-255.97940915088145,40.000000437594515,1.109601126935325e-09
5,N3,231.48,9.675910119017667e-10,11.971768309251189,1.8463340247036066e-07,-11.971768124617787,-9.79337856121252e-09,-243.45176813344355,40.00000043993417,1.1096011269369629e-09
5,N4,231.48,0,13.4138524452556,1.8463371039771822e-07,-13.413852260621889,-9.793378561072485e-09,-244.89385227041527,40.000000423397616,1.1096011269253856e-09
5,N5,38.58,4.144874282434417e-08,55.521361989798436,1.846336023709311e-07,-55.52136180516484,-9.793378561058167e-09,-94.10136177350947,40.000000411200475,-4.334239324076431e-08
6,N1,42.36,914.2678971031212,3.6422123108787665,1.8463358461817027e-07,-3.642212126245182,-9.79337856111221e-09,868.2656849670826,40.00000059556138,-3.8582377975637336e-08
6,N2,254.16,0,9.930815213247213,1.8463372915888872e-07,-9.930815028613484,-9.79337856097141e-09,-264.09081503840684,40.00000065819528,1.9029370038385882e-09
6,N3,254.16,9.675909852665477e-10,7.949587606367041,1.846335100120302e-07,-7.949587421733531,-9.793378561288489e-09,-262.1095874305593,40.00000065691208,1.902937003837842e-09
6,N4,254.16,0,8.666608457248394,1.846336735301853e-07,-8.66660827261472,-9.793378561038523e-09,-262.82660828240813,40.00000062653527,1.9029370038202e-09
6,N5,42.36,4.1448745144329614e-08,36.87867443199727,1.8463358639275384e-07,-36.87867424736368,-9.793378561020651e-09,-79.23867421570831,40.00000060491199,-3.8582377975441725e-08
7,N1,51.9,766.8575730588329,9.875209577909787,1.8463358689052138e-07,-9.8752093932762,-9.793378561179453e-09,705.0823636557634,40.000000403808016,-2.9652206766700395e-08
7,N2,311.4,0,-8.648497416272154e-09,27.401102659603826,27.401102668252324,20.04543514456942,-263.9534621871783,10000.000099913641,2.823544880136447e-09
7,N3,311.4,9.75947762477207e-09,-8.041454226758255e-09,-2.4379985647775655e-09,5.60345566198069e-09,-8.668959850477711e-09,-311.399999993306,8453.878786888123,3.3912988723336736e-09
7,N4,311.4,0,-4.458972393627039e-09,-3.396031069723207e-09,1.0629413239038319e-09,-9.645055959102918e-09,-311.4000000085821,4202.045176030177,3.391298872380138e-09
7,N5,51.9,178.90241779885469,1.241429304823896e-07,54.66868086838373,54.6686807442408,-9.792545410202326e-09,181.67109853330294,80.0000007843276,-2.9652206766972345e-08
8,N1,59.7,814.2300081324286,8.964336688776641e-09,18.425055392290247,18.425055383325912,-9.78478040284663e-09,772.9550635059696,1805.2174092152202,-2.4471516436704036e-08
8,N2,358.2,0,-8.64849741942746e-09,32.75426710702288,32.75426711567138,74.24284239908792,-251.2028904852407,10000.000099970128,2.7132475110598766e-09
8,N3,358.2,15.050000150266207,-8.502657072397775e-09,26.445011950464163,26.44501195896682,-8.281606363213632e-09,-316.70498789904855,10000.000099875864,3.966273610728327e-09
8,N4,358.2,0,-7.871731620594893e-09,27.55046839644947,27.5504684043212,-9.541761707360781e-09,-330.64953160522055,10000.0000995825,4.173762009592861e-09
8,N5,59.7,131.5100610575847,1.2414292207697402e-07,53.79228555989092,53.792285435748,-9.792545410125698e-09,125.60234648354015,80.0000007806513,-2.4471516435396958e-08
9,N1,60.0,760.5800075959262,8.981700705063586e-09,18.42505488856429,18.42505487958259,-9.784782638352697e-09,719.005062465724,1805.217409232005,-2.4299158854331634e-08
9,N2,360.0,0,-8.64849742017555e-09,28.316123171239585,28.316123179888084,23.31850459061452,-308.36537222949744,10000.000099905477,3.898603962981026e-09
9,N3,360.0,88.5800008855662,-8.5025622895023e-09,23.06010215101744,23.060102159520003,-8.281731228194965e-09,-248.3598969631955,10000.000099829786,4.0797626761868785e-09
9,N4,360.0,0,-7.87101341432785e-09,27.550468081418305,27.550468089289318,-9.541795004058376e-09,-332.44953192025247,10000.000099596393,4.2004674303485905e-09
9,N5,60.0,176.27119192437763,1.2414292358806418e-07,53.89854685677923,53.898546732636305,-9.792545410120301e-09,170.16973864722138,80.00000078438806,-2.429915885317313e-08
10,N1,54.36,676.2200066850269,4.839344689065762e-07,1.513381799213189e-07,-3.325962889852573e-07,-9.7925454101859e-09,621.8600063426381,80.00000079034379,-2.7857791228776737e-08
10,N2,326.16,0,4.860449594093435e-07,1.5108290914268335e-07,-3.3496205026666016e-07,-9.792545410184512e-09,-326.1600003447546,80.00000083426038,3.690368128715997e-09
