hour,lambda_system,system_net_injection_residual_mw
1,67.16639864934199,2.5054042749831497e-14
2,67.16155215112721,4.52992236653172e-14
3,67.15805865150574,7.959137827470026e-15
4,67.15618065134905,1.2379632007339167e-14
5,67.15941165147464,-1.3896898948568622e-14
6,67.16910464849987,4.574579962824278e-14
7,67.18364403547939,-5.107106872420121e-14
8,67.18743595117378,-4.822450152821148e-14
9,67.17243764747576,-2.5956681118369155e-14
10,60.05140484058114,-8.807122171808695e-16
11,60.02594888579418,1.0359627073307358e-14
12,60.01718748290976,-4.4727242649376597e-14
13,60.01056308782376,-2.542764082729168e-14
14,60.00891308704662,4.190811262857316e-14
15,60.00941505650394,-4.381099240636905e-14
16,60.018009432756486,-2.551930392663331e-14
17,60.04508008964699,6.952523209264651e-14
18,67.15209040713592,4.3991541153412586e-14
19,67.17643932011079,-5.5306354204026725e-14
20,67.18450592352873,-2.8376374859737405e-15
21,67.18483552403048,-3.159710952916582e-15
22,67.18213009669128,5.739175503102176e-15
23,67.1780749581481,-1.282629621968276e-15
24,67.17154814336206,-3.8130276709363604e-14
