investor,node,hour,installed_power_mw,charge_bid_mw,discharge_bid_mw
I1,N1,1,1.915410467598589e-06,1.089868086439466e-06,1.0074026014809808e-06
I1,N1,2,1.915410467598589e-06,1.091233124370181e-06,1.0065812619907403e-06
I1,N1,3,1.915410467598589e-06,1.092702879361631e-06,1.004564278723422e-06
I1,N1,4,1.915410467598589e-06,1.0942443019060569e-06,1.0029389000737626e-06
I1,N1,5,1.915410467598589e-06,1.0958659231765574e-06,1.0011298610187646e-06
I1,N1,6,1.915410467598589e-06,1.0976805126974555e-06,9.992765847602028e-07
I1,N1,7,1.915410467598589e-06,1.0995842207057266e-06,9.97196283239662e-07
I1,N1,8,1.915410467598589e-06,1.1016206238047778e-06,9.94941511639719e-07
I1,N1,9,1.915410467598589e-06,1.1038164975747844e-06,9.924715712143806e-07
I1,N1,10,1.915410467598589e-06,1.1126650290958899e-06,9.819072192556044e-07
I1,N1,11,1.915410467598589e-06,1.1036364148878835e-06,9.928798625453286e-07
I1,N1,12,1.915410467598589e-06,1.111230530840317e-06,9.83197093556779e-07
I1,N1,13,1.915410467598589e-06,1.1042898753463818e-06,9.883868313848339e-07
I1,N1,14,1.915410467598589e-06,1.1129851127830192e-06,9.861096582807006e-07
I1,N1,15,1.915410467598589e-06,1.0978906675768398e-06,9.964918369502445e-07
I1,N1,16,1.915410467598589e-06,1.0872405056822806e-06,1.0091024172476159e-06
I1,N1,17,1.915410467598589e-06,1.0937519530459582e-06,1.000967433376642e-06
I1,N1,18,1.915410467598589e-06,1.0820243774894823e-06,1.0142967981196131e-06
I1,N1,19,1.915410467598589e-06,1.0827569206967456e-06,1.0139459409846546e-06
I1,N1,20,1.915410467598589e-06,1.0850793095832826e-06,1.0103931844286194e-06
I1,N1,21,1.915410467598589e-06,1.0846763513585586e-06,1.0124511493092828e-06
I1,N1,22,1.915410467598589e-06,1.0858225332481545e-06,1.0114036644905629e-06
I1,N1,23,1.915410467598589e-06,1.0870769221420513e-06,1.0101925652795271e-06
I1,N1,24,1.915410467598589e-06,1.088451024437607e-06,1.0089044073035239e-06
I1,N2,1,1.916170021203545e-06,1.0891238224522365e-06,1.0107789828811173e-06
I1,N2,2,1.916170021203545e-06,1.0907861757435729e-06,1.009129550858696e-06
I1,N2,3,1.916170021203545e-06,1.092598081517257e-06,1.0072646999459222e-06
I1,N2,4,1.916170021203545e-06,1.0945205448598016e-06,1.0052228768135706e-06
I1,N2,5,1.916170021203545e-06,1.0965402914929375e-06,1.0034714588759655e-06
I1,N2,6,1.916170021203545e-06,1.0987556482838327e-06,1.0006507860148925e-06
I1,N2,7,1.916170021203545e-06,1.1010889445991035e-06,9.980949027132532e-07
I1,N2,8,1.916170021203545e-06,1.1035695934023909e-06,9.953288271180341e-07
I1,N2,9,1.916170021203545e-06,1.106243501492167e-06,9.922912876270467e-07
I1,N2,10,1.916170021203545e-06,1.114625640747054e-06,9.803407855447254e-07
I1,N2,11,1.916170021203545e-06,1.1121897593692332e-06,9.829484499667666e-07
I1,N2,12,1.916170021203545e-06,1.1093595188182622e-06,9.858753627836905e-07
I1,N2,13,1.916170021203545e-06,1.1061861017393064e-06,9.890571615669053e-07
I1,N2,14,1.916170021203545e-06,1.1026944608767363e-06,9.92551089363104e-07
I1,N2,15,1.916170021203545e-06,1.0988889724041328e-06,9.963336041786206e-07
I1,N2,16,1.916170021203545e-06,1.0947551557465697e-06,1.000404448727696e-06
I1,N2,17,1.916170021203545e-06,1.0902552286894401e-06,1.0049291377919642e-06
I1,N2,18,1.916170021203545e-06,1.079760954593716e-06,1.018809764910464e-06
I1,N2,19,1.916170021203545e-06,1.0806545260157505e-06,1.0185185522573617e-06
I1,N2,20,1.916170021203545e-06,1.083188831983101e-06,1.0149328466292385e-06
I1,N2,21,1.916170021203545e-06,1.0829913140081937e-06,1.0167276506407623e-06
I1,N2,22,1.916170021203545e-06,1.0843697823510359e-06,1.015716396589002e-06
I1,N2,23,1.916170021203545e-06,1.0858685067466068e-06,1.0140322851326323e-06
I1,N2,24,1.916170021203545e-06,1.0874974115224798e-06,1.0123913889493108e-06
I1,N3,1,22.21927624464119,8.494910633049704,0.30387003262341505
I1,N3,2,22.21927624464119,8.499171974785927,0.2561305425439478
I1,N3,3,22.21927624464119,8.499603826494342,0.002844719687046895
I1,N3,4,22.21927624464119,8.489773706503467,0.0018753275891728806
I1,N3,5,22.21927624464119,8.48863766908164,0.0030074320715099074
I1,N3,6,22.21927624464119,8.47733155436812,0.3303170476957684
I1,N3,7,22.21927624464119,8.481053896579377,9.772868344295247
I1,N3,8,22.21927624464119,9.007401829842463,14.601414589667744
I1,N3,9,22.21927624464119,9.44111071253279,0.2756086089402384
I1,N3,10,22.21927624464119,9.420537279865329,2.2816189743424838e-07
I1,N3,11,22.21927624464119,9.420535745387458,2.140906368507065e-07
I1,N3,12,22.21927624464119,13.798356973339276,2.092740744513065e-07
I1,N3,13,22.21927624464119,22.219276051239785,4.8201813598809204
I1,N3,14,22.21927624464119,22.21927611957955,7.703568388651851
I1,N3,15,22.21927624464119,20.872808561065813,8.80302660756757
I1,N3,16,22.21927624464119,2.6320698885655e-07,6.091441380991507
