scenario,pv_scale,wind_scale,total_power_mw,total_energy_mwh,system_cost_eur_per_day,renewable_curtailment_mwh
low,0.8,0.85,52.5180000000002,105.99164893293984,431573.36429262924,0.0
base,0.9,0.925,120.40158869091618,305.22398400000094,403081.4419136079,0.0
high,1.0,1.0,187.18214761816867,547.1949600000012,375581.1783357588,0.0
