scenario,probability,hour,node,lambda_eur_per_mwh
low,0.25,23,N9,60.0
low,0.25,24,N1,60.0
low,0.25,24,N2,60.0
low,0.25,24,N3,60.0
low,0.25,24,N4,60.0
low,0.25,24,N5,60.0
low,0.25,24,N6,60.0
low,0.25,24,N7,60.0
low,0.25,24,N8,60.0
low,0.25,24,N9,60.0
base,0.5,1,N1,60.0
base,0.5,1,N2,60.0
base,0.5,1,N3,60.0
base,0.5,1,N4,60.0
base,0.5,1,N5,60.0
base,0.5,1,N6,60.0
base,0.5,1,N7,60.0
base,0.5,1,N8,60.0
base,0.5,1,N9,60.0
base,0.5,2,N1,60.0
base,0.5,2,N2,60.0
base,0.5,2,N3,60.0
base,0.5,2,N4,60.0
base,0.5,2,N5,60.0
base,0.5,2,N6,60.0
base,0.5,2,N7,60.0
base,0.5,2,N8,60.0
base,0.5,2,N9,60.0
base,0.5,3,N1,60.0
base,0.5,3,N2,60.0
base,0.5,3,N3,60.0
base,0.5,3,N4,60.0
base,0.5,3,N5,60.0
base,0.5,3,N6,60.0
base,0.5,3,N7,60.0
base,0.5,3,N8,60.0
base,0.5,3,N9,60.0
base,0.5,4,N1,60.0
base,0.5,4,N2,60.0
base,0.5,4,N3,60.0
base,0.5,4,N4,60.0
base,0.5,4,N5,60.0
base,0.5,4,N6,60.0
base,0.5,4,N7,60.0
base,0.5,4,N8,60.0
base,0.5,4,N9,60.0
base,0.5,5,N1,60.0
base,0.5,5,N2,60.0
base,0.5,5,N3,60.0
base,0.5,5,N4,60.0
base,0.5,5,N5,60.0
base,0.5,5,N6,60.0
base,0.5,5,N7,60.0
base,0.5,5,N8,60.0
base,0.5,5,N9,60.0
base,0.5,6,N1,60.0
base,0.5,6,N2,60.0
base,0.5,6,N3,60.0
base,0.5,6,N4,60.0
base,0.5,6,N5,60.0
base,0.5,6,N6,60.0
base,0.5,6,N7,60.0
base,0.5,6,N8,60.0
base,0.5,6,N9,60.0
base,0.5,7,N1,60.0
base,0.5,7,N2,60.0
base,0.5,7,N3,60.0
base,0.5,7,N4,60.0
base,0.5,7,N5,60.0
base,0.5,7,N6,60.0
base,0.5,7,N7,60.0
base,0.5,7,N8,60.0
base,0.5,7,N9,60.0
base,0.5,8,N1,60.0
base,0.5,8,N2,60.0
base,0.5,8,N3,60.0
base,0.5,8,N4,60.0
base,0.5,8,N5,60.0
base,0.5,8,N6,60.0
base,0.5,8,N7,60.0
base,0.5,8,N8,60.0
base,0.5,8,N9,60.0
base,0.5,9,N1,60.0
base,0.5,9,N2,60.0
base,0.5,9,N3,60.0
base,0.5,9,N4,60.0
base,0.5,9,N5,60.0
base,0.5,9,N6,60.0
base,0.5,9,N7,60.0
base,0.5,9,N8,60.0
base,0.5,9,N9,60.0
base,0.5,10,N1,52.2
base,0.5,10,N2,52.2
base,0.5,10,N3,52.2
base,0.5,10,N4,52.2
base,0.5,10,N5,52.2
base,0.5,10,N6,52.2
base,0.5,10,N7,52.2
base,0.5,10,N8,52.2
base,0.5,10,N9,52.2
base,0.5,11,N1,52.2
base,0.5,11,N2,52.2
base,0.5,11,N3,52.2
base,0.5,11,N4,52.2
base,0.5,11,N5,52.2
base,0.5,11,N6,52.2
base,0.5,11,N7,52.2
base,0.5,11,N8,52.2
base,0.5,11,N9,52.2
base,0.5,12,N1,60.0
base,0.5,12,N2,52.2
base,0.5,12,N3,43.885283902439014
