scenario,probability,hour,line,upper_dual_abs,lower_dual_abs
high,0.25,4,L69,0.0,0.0
high,0.25,5,L69,0.0,0.0
high,0.25,6,L69,0.0,0.0
high,0.25,7,L69,0.0,0.0
high,0.25,8,L69,0.0,0.0
high,0.25,9,L69,0.0,0.0
high,0.25,10,L69,0.0,0.0
high,0.25,11,L69,0.0,0.0
high,0.25,12,L69,0.0,0.0
high,0.25,13,L69,0.0,0.0
high,0.25,14,L69,0.0,0.0
high,0.25,15,L69,0.0,0.0
high,0.25,16,L69,0.0,0.0
high,0.25,17,L69,0.0,0.0
high,0.25,18,L69,0.0,0.0
high,0.25,19,L69,0.0,0.0
high,0.25,20,L69,0.0,0.0
high,0.25,21,L69,0.0,0.0
high,0.25,22,L69,0.0,0.0
high,0.25,23,L69,0.0,0.0
high,0.25,24,L69,0.0,0.0
high,0.25,1,L57,0.0,0.0
high,0.25,2,L57,0.0,0.0
high,0.25,3,L57,0.0,0.0
high,0.25,4,L57,0.0,0.0
high,0.25,5,L57,0.0,0.0
high,0.25,6,L57,0.0,0.0
high,0.25,7,L57,0.0,0.0
high,0.25,8,L57,0.0,0.0
high,0.25,9,L57,0.0,0.0
high,0.25,10,L57,0.0,0.0
high,0.25,11,L57,0.0,0.0
high,0.25,12,L57,0.0,0.0
high,0.25,13,L57,0.0,0.0
high,0.25,14,L57,0.0,0.0
high,0.25,15,L57,0.0,0.0
high,0.25,16,L57,0.0,0.0
high,0.25,17,L57,0.0,0.0
high,0.25,18,L57,0.0,0.0
high,0.25,19,L57,0.0,0.0
high,0.25,20,L57,0.0,0.0
high,0.25,21,L57,0.0,0.0
high,0.25,22,L57,0.0,0.0
high,0.25,23,L57,0.0,0.0
high,0.25,24,L57,0.0,0.0
high,0.25,1,L93,0.0,0.0
high,0.25,2,L93,0.0,0.0
high,0.25,3,L93,0.0,0.0
high,0.25,4,L93,0.0,0.0
high,0.25,5,L93,0.0,0.0
high,0.25,6,L93,0.0,0.0
high,0.25,7,L93,0.0,0.0
high,0.25,8,L93,0.0,0.0
high,0.25,9,L93,0.0,0.0
high,0.25,10,L93,0.0,0.0
high,0.25,11,L93,0.0,0.0
high,0.25,12,L93,0.0,0.0
high,0.25,13,L93,0.0,0.0
high,0.25,14,L93,0.0,0.0
high,0.25,15,L93,0.0,0.0
high,0.25,16,L93,0.0,0.0
high,0.25,17,L93,0.0,0.0
high,0.25,18,L93,0.0,0.0
high,0.25,19,L93,0.0,0.0
high,0.25,20,L93,0.0,0.0
high,0.25,21,L93,0.0,0.0
high,0.25,22,L93,0.0,0.0
high,0.25,23,L93,0.0,0.0
high,0.25,24,L93,0.0,0.0
high,0.25,1,L72,0.0,0.0
high,0.25,2,L72,0.0,0.0
