sweep,investor,N1_power_mw,N2_power_mw,N3_power_mw,N4_power_mw,N5_power_mw,N6_power_mw,N7_power_mw,N8_power_mw,N9_power_mw,total_power_mw,source
58,I4,0.000000,0.000000,13.766031,0.000000,0.000000,10.730451,0.000000,9.304278,13.603925,47.404684,diag_capacity_nodes_2026-08-13/four/sweep_58
58,ALL,0.000000,0.000000,35.423686,0.000000,0.000000,46.576274,0.000000,54.145095,51.037096,187.182150,diag_capacity_nodes_2026-08-13/four/sweep_58
59,I1,0.000000,0.000000,9.103851,0.000000,0.000000,16.165163,0.000000,19.644530,1.794612,46.708157,diag_capacity_nodes_2026-08-13/four/sweep_59
59,I2,0.000000,0.000000,3.897776,0.000000,0.000000,18.102985,0.000000,23.098119,1.501042,46.599923,diag_capacity_nodes_2026-08-13/four/sweep_59
59,I3,0.000000,0.000000,6.735865,0.000000,0.000000,1.581549,0.000000,2.264774,35.792286,46.374474,diag_capacity_nodes_2026-08-13/four/sweep_59
59,I4,0.000000,0.000000,15.392272,0.000000,0.000000,10.168654,0.000000,8.356803,13.486955,47.404685,diag_capacity_nodes_2026-08-13/four/sweep_59
59,ALL,0.000000,0.000000,35.129764,0.000000,0.000000,46.018352,0.000000,53.364226,52.574895,187.087238,diag_capacity_nodes_2026-08-13/four/sweep_59
60,I1,0.000000,0.000000,7.732155,0.000000,0.000000,16.651880,0.000000,20.425364,1.922485,46.731885,diag_capacity_nodes_2026-08-13/four/sweep_60
60,I2,0.000000,0.000000,3.475856,0.000000,0.000000,18.330287,0.000000,23.441448,1.376060,46.623650,diag_capacity_nodes_2026-08-13/four/sweep_60
60,I3,0.000000,0.000000,5.165958,0.000000,0.000000,2.672955,0.000000,4.487728,34.493869,46.820510,diag_capacity_nodes_2026-08-13/four/sweep_60
60,I4,0.000000,0.000000,19.425838,0.000000,0.000000,9.681632,0.000000,7.495418,10.825525,47.428413,diag_capacity_nodes_2026-08-13/four/sweep_60
60,ALL,0.000000,0.000000,35.799806,0.000000,0.000000,47.336754,0.000000,55.849959,48.617939,187.604458,diag_capacity_nodes_2026-08-13/four/sweep_60
61,I1,0.000000,0.000000,6.139619,0.000000,0.000000,17.297378,0.000000,21.408425,1.780886,46.626308,diag_capacity_nodes_2026-08-13/four/sweep_61
61,I2,0.000000,0.000000,2.931499,0.000000,0.000000,18.540219,0.000000,23.689922,1.356433,46.518073,diag_capacity_nodes_2026-08-13/four/sweep_61
61,I3,0.000000,0.000000,6.206576,0.000000,0.000000,2.271059,0.000000,3.864421,34.277966,46.620022,diag_capacity_nodes_2026-08-13/four/sweep_61
61,I4,0.000000,0.000000,14.914844,0.000000,0.000000,12.313509,0.000000,11.828522,8.265962,47.322837,diag_capacity_nodes_2026-08-13/four/sweep_61
61,ALL,0.000000,0.000000,30.192538,0.000000,0.000000,50.422164,0.000000,60.791290,45.681247,187.087239,diag_capacity_nodes_2026-08-13/four/sweep_61
62,I1,0.000000,0.000000,7.838865,0.000000,0.000000,16.842700,0.000000,20.601588,1.366882,46.650035,diag_capacity_nodes_2026-08-13/four/sweep_62
62,I2,0.000000,0.000000,4.895020,0.000000,0.000000,17.895827,0.000000,22.563132,1.187822,46.541801,diag_capacity_nodes_2026-08-13/four/sweep_62
62,I3,0.000000,0.000000,6.100156,0.000000,0.000000,2.201182,0.000000,3.706556,34.635855,46.643749,diag_capacity_nodes_2026-08-13/four/sweep_62
62,I4,0.000000,0.000000,11.200943,0.000000,0.000000,12.511642,0.000000,12.122659,11.511321,47.346565,diag_capacity_nodes_2026-08-13/four/sweep_62
62,ALL,0.000000,0.000000,30.034984,0.000000,0.000000,49.451351,0.000000,58.993936,48.701880,187.182150,diag_capacity_nodes_2026-08-13/four/sweep_62
