node,x_power_mw,x_energy_mwh,energy_power_ratio_h,private_headroom_limit_mw,private_headroom_slack_mw,headroom_binding,access_shadow_price_eur_per_mw_day,headroom_complementarity_residual_eur_per_day
N1,5.535371708007816e-07,1.1122026301927471e-06,2.009264578535467,200.0,199.99999944646282,False,0.0,0.0
N2,5.535049524658275e-07,1.1121733801309675e-06,2.0093286883456227,200.0,199.99999944649505,False,0.0,0.0
N3,6.410446935113155e-07,1.2894152925110532e-06,2.011428072898154,171.25930699060643,171.25930634956174,False,0.0,0.0
N4,5.529957619453112e-07,1.1111384427196497e-06,2.0093073386510625,200.0,199.99999944700423,False,0.0,0.0
N5,5.540166392439163e-07,1.113188222474025e-06,2.0093046735802513,200.0,199.99999944598335,False,0.0,0.0
N6,9.905312077538327e-07,1.9884948230164084e-06,2.0075034561764054,146.25863701339824,146.25863602286702,False,0.0,0.0
N7,5.536039239384455e-07,1.1123712404863646e-06,2.0093268714078834,200.0,199.9999994463961,False,0.0,0.0
N8,6.343298748031491e-07,1.2758072793074556e-06,2.0112678434125075,133.45919394172284,133.45919330739298,False,0.0,0.0
N9,6.366538585674395e-07,1.2806618982483508e-06,2.0115513021942877,161.68672563509222,161.68672499843836,False,0.0,0.0
