iteration,regularization_stage,dual_tikhonov_gamma,proximal_coefficient_eur_per_mw2_day,complementarity_epsilon,investor,termination,solve_seconds,preparation_seconds,attempt_count,retry_status,optimistic_mpec_profit_eur_per_day,max_access_shadow_price_eur_per_mw_day,strong_duality_gap,max_complementarity_product,sum_complementarity_products,max_original_nodal_balance_residual_mw,total_absolute_original_nodal_balance_residual_mwh,max_hourly_system_balance_residual_mw,signed_primal_dual_gap_eur_per_day,total_power_mw,total_energy_mwh,max_rel_delta_power,max_rel_delta_energy,abs_capacity_step_mw_equivalent,abs_offer_step_mw,abs_price_step_eur_per_mwh,converged_sweep_streak,max_undamped_delta_power_mw,max_undamped_delta_energy_mwh,max_undamped_rel_delta_power,max_undamped_rel_delta_energy,undamped_capacity_residual_mw_equivalent,undamped_offer_residual_mw,undamped_price_residual_eur_per_mwh
101,,,,,I1,optimal,3.420252999989316,,,,5619.885046220235,5.3041504386610044e-08,0.0024181693443097174,,,,,,,125.44252851702065,330.66102757104704,0.0028415570844361414,0.04572405780135506,3.9769972527529323,0.8794118597084842,94.8445645029077,0,0.35746787095830257,,,,3.976997252753236,0.8794118597092629,94.8445645029077
101,,,,,I2,optimal,6.7643108000047505,,,,10894.409517951583,50.96127194280479,0.02282562223263085,,,,,,,152.82237311526902,477.6466886709827,0.024309856746280813,0.05773224129110117,4.314074890968139,1.304626284665259,1.6278132145618027,0,1.7609822501425896,,,,4.3140748909682545,1.3046262846655634,1.6278132145618027
101,,,,,I3,optimal,5.912145100010093,,,,110951.24925597828,1.046244943852157e-06,0.01917625858914107,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.570418063503524e-06,,,,2.3401070313808627e-05,2.038818108174289e-05,0.0
101,,,,,I4,optimal,5.950739199994132,,,,121381.4267966627,3.694679094751498e-05,0.0030691721476614475,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.2034829945839247e-06,,,,3.9714094841544335e-06,3.4795940986743294e-06,0.0
102,,,,,I1,optimal,4.672744899988174,,,,6272.132145064152,17.011811752626436,0.0029206968029029667,,,,,,,125.57554998856298,344.5252640454096,0.0010604176519312287,0.04192884954179737,3.4686107486220736,0.605779172528386,83.68412994846315,0,0.3574683820386042,,,,3.6376123797340756,0.6057869668129586,83.68412994846315
102,,,,,I2,optimal,3.1472496000351384,,,,11168.253881342229,55.76475496767179,0.0023782631033100188,,,,,,,153.05638266757705,498.75505822238824,0.003024873935779992,0.08568879018866947,5.13961709317772,1.8915778466478343,191.24212084319785,0,0.357467874686634,,,,5.151236635449555,1.8919906949346335,191.24212084319785
102,,,,,I3,optimal,5.12333250005031,,,,109904.54199146134,5.161241708504815e-06,0.00387649453477934,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.2874501836900757e-05,,,,4.3283074550821766e-05,1.93409959630327e-05,0.0
102,,,,,I4,optimal,6.442341200017836,,,,118372.96718571834,8.879172719964536e-07,0.0026665152399800718,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.7650901269294872e-06,,,,5.888266262281224e-06,3.5755854507959747e-06,0.0
103,,,,,I1,optimal,23.388801900029648,,,,10807.249556862262,6.853802600168959e-07,0.0033210544497705996,,,,,,,203.69976247198437,477.73874715081644,78.22722395903828,111.84231180307697,98.790876893778,21.775882344935052,700.5724114770184,0,78.22722395903828,,,,98.79087689377805,21.775882344935088,700.5724114770184
103,,,,,I2,optimal,3.364068299997598,,,,11088.711667195126,53.2139868289844,0.0033696391037665308,,,,,,,153.05619112533884,498.7895682157848,2.4453776962296267e-06,0.00022495105251496875,0.014251268053243383,3.5326317712766753,218.84192025692838,0,0.0001922847743287548,,,,0.014251268113007413,3.532631771276764,218.84192025692838
