unit,hour,node,p_charge_mw,p_discharge_mw,net_injection_mw,lambda_reference_eur_per_mwh,spot_revenue_eur,degradation_cost_eur
I4,1,N1,6.9532730527685e-07,8.918822777269318e-07,1.9655497245008184e-07,59.999999744280544,1.179329829674198e-05,1.1904071872528364e-05
I4,1,N2,6.585122418702447e-07,1.0298475639010424e-06,3.7133532203079776e-07,59.99999963286657,2.2280119185518256e-05,1.2662698543284653e-05
I4,1,N3,4.12735468350604e-07,10.577064667313334,10.577064254577865,59.999999744453476,634.6238525717399,79.32798810036601
I4,1,N4,6.952771640129571e-07,8.918204273738265e-07,1.9654326336086946e-07,59.99999976003668,1.1792595754488993e-05,1.1903231935400875e-05
I4,1,N5,6.832520432075204e-07,9.264807250946927e-07,2.4322868188717227e-07,59.99999976853747,1.459372085693201e-05,1.2072995762266598e-05
I4,1,N6,4.1273547438099634e-07,6.23819963330807,6.238199220572596,59.99999975727537,374.29195172019115,46.78650034532658
I4,1,N7,6.58507041214028e-07,1.02984026877551e-06,3.713332275614819e-07,59.99999971078864,2.227999354629513e-05,1.2662604824921534e-05
I4,1,N8,4.1273548762543236e-07,4.2186556883239605,4.218655275588473,59.99999973991673,253.11931543810672,31.63992075794586
I4,1,N9,4.127357799655732e-07,0.3627673596541737,0.3627669469183938,59.99999974565626,21.766016722836124,2.7207582929246525
I4,2,N1,6.952218246902693e-07,8.920860906267537e-07,1.9686426593648443e-07,59.99999928035836,1.1811855814517343e-05,1.1904809364877671e-05
I4,2,N2,6.58380875432961e-07,1.029760709201708e-06,3.7137983376874694e-07,59.99999916416735,2.2282789715713424e-05,1.2661061884760016e-05
I4,2,N3,4.127354770201738e-07,7.035204245320583,7.035203832585106,59.99999927920095,422.11222488413813,52.76403493542045
I4,2,N4,6.9517067816223e-07,8.920215459731899e-07,1.9685086781095997e-07,59.999999293943056,1.1811051929669677e-05,1.1903941681015648e-05
I4,2,N5,6.831719558003723e-07,9.26568336604838e-07,2.433963808044657e-07,59.999999299685705,1.4603782677813977e-05,1.2073052193039078e-05
I4,2,N6,4.1273548292462593e-07,4.8384274068800295,4.838426994144546,59.99999929119837,290.30561621918787,36.28820864711634
I4,2,N7,6.58375706012374e-07,1.029753419112614e-06,3.713777131002401e-07,59.99999924208942,2.228266250454331e-05,1.266096843843741e-05
I4,2,N8,4.1273549605939045e-07,3.529581755418124,3.529581342682628,59.99999927279338,211.77487799422275,26.47186626115215
I4,2,N9,4.1273578639537893e-07,0.358436557349571,0.3584361446137846,59.99999928000065,21.506168418753283,2.6882772756401803
I4,3,N1,6.951252868824541e-07,8.913337625647388e-07,1.9620847568228468e-07,59.99999709334628,1.1772507970626984e-05,1.1898442870853947e-05
I4,3,N2,6.576145371232046e-07,1.0284473503346684e-06,3.708328132114638e-07,59.999996975826214,2.2249967671224956e-05,1.2645464155934049e-05
I4,3,N3,4.12735519338479e-07,2.6465348923780794,2.64653447964256,59.99999709503395,158.79206109046078,19.84901478835199
