investor,node,bid_quantity_mw,raw_bid_price_eur_per_mw_day,award_mw,duration_hours,energy_mwh,access_payment_eur_per_day
I1,N1,0.0,0.0,0.0,4.0,0.0,0.0
I1,N2,0.0,0.0,0.0,4.0,0.0,0.0
I1,N3,0.0,0.0,0.0,4.0,0.0,0.0
I1,N4,0.0,0.0,0.0,4.0,0.0,0.0
I1,N5,0.0,0.0,0.0,4.0,0.0,0.0
I1,N6,0.0,0.0,0.0,4.0,0.0,0.0
I1,N7,0.0,0.0,0.0,4.0,0.0,0.0
I1,N8,99.99999252771104,35.47999951440342,0.16521416478074957,4.711263207223508,0.7783674158437074,5.861798486193561
I1,N9,0.0,0.0,0.0,4.0,0.0,0.0
I2,N1,0.0,0.0,0.0,4.0,0.0,0.0
I2,N2,0.0,0.0,0.0,4.0,0.0,0.0
I2,N3,0.0,0.0,0.0,4.0,0.0,0.0
I2,N4,0.0,0.0,0.0,4.0,0.0,0.0
I2,N5,0.0,0.0,0.0,4.0,0.0,0.0
I2,N6,0.0,0.0,0.0,4.0,0.0,0.0
I2,N7,0.0,0.0,0.0,4.0,0.0,0.0
I2,N8,99.99999911771658,35.47999947696698,0.0023931739979300695,4.711263218570567,0.01127487263208741,0.08490981219484985
I2,N9,0.0,0.0,0.0,4.0,0.0,0.0
I3,N1,0.0,0.0,0.0,4.0,0.0,0.0
I3,N2,0.0,0.0,0.0,4.0,0.0,0.0
I3,N3,0.0,0.0,0.0,4.0,0.0,0.0
I3,N4,0.0,0.0,0.0,4.0,0.0,0.0
I3,N5,0.0,0.0,0.0,4.0,0.0,0.0
I3,N6,0.0,0.0,0.0,4.0,0.0,0.0
I3,N7,0.0,0.0,0.0,4.0,0.0,0.0
I3,N8,99.99999789958895,35.47999951488229,0.3777679215142733,4.7112633354682085,1.7797641579462276,13.403205672064507
I3,N9,0.0,0.0,0.0,4.0,0.0,0.0
I4,N1,0.0,0.0,0.0,4.0,0.0,0.0
I4,N2,0.0,0.0,0.0,4.0,0.0,0.0
I4,N3,0.0,0.0,0.0,4.0,0.0,0.0
I4,N4,0.0,0.0,0.0,4.0,0.0,0.0
I4,N5,0.0,0.0,0.0,4.0,0.0,0.0
I4,N6,0.0,0.0,0.0,4.0,0.0,0.0
I4,N7,0.0,0.0,0.0,4.0,0.0,0.0
I4,N8,99.99999787936146,35.47999951522084,99.45462573970448,4.711263335756153,468.5569318188199,3528.650073031185
I4,N9,0.0,0.0,0.0,4.0,0.0,0.0
