investor,node,power_mw,energy_mwh
Merchant,N1,0.0,0.0
Merchant,N2,0.0,0.0
Merchant,N3,8.330639163369856,16.916275649695827
Merchant,N4,0.0,0.0
Merchant,N5,0.0,0.0
Merchant,N6,20.015432206486935,41.51138614692046
Merchant,N7,0.0,0.0
Merchant,N8,35.3218691859139,72.26360095265102
Merchant,N9,8.580064081553827,17.52052456096579
WindOwner,N1,0.0,0.0
WindOwner,N2,0.0,0.0
WindOwner,N3,12.851941261524503,36.23028433744064
WindOwner,N4,0.0,0.0
WindOwner,N5,0.0,0.0
WindOwner,N6,17.24377398198718,42.89124373433035
WindOwner,N7,0.0,0.0
WindOwner,N8,20.34434461076838,45.94996122673794
WindOwner,N9,13.477295503984772,39.74103766558494
PVOwner,N1,1.2992595640892213,2.598519140625534
PVOwner,N2,0.0,0.0
PVOwner,N3,51.894503785231166,149.65398181069656
PVOwner,N4,18.76817219852816,37.53634444582769
PVOwner,N5,0.0,0.0
PVOwner,N6,30.190625906456646,130.34623838570585
PVOwner,N7,0.0,0.0
PVOwner,N8,21.593745028135228,61.50314617383486
PVOwner,N9,4.452917442959427,12.50186239564161
