hour,lambda_system,system_net_injection_residual_mw
1,67.14999981744559,2.5954238087165684e-14
2,67.14999987147584,4.913208359048372e-14
3,67.14999863322284,2.0654086325957934e-14
4,67.14999962224795,-2.1602877033700148e-14
5,67.14999113320566,-2.0600392219217214e-14
6,67.15000037949365,1.0717735058492094e-15
7,67.15000057870557,2.7766264602323e-14
8,67.1500006175511,2.5077008507985997e-14
9,67.15000058040694,-1.1039662344422724e-14
10,60.000000674771975,-6.935634714355585e-14
11,60.00000057979552,1.3046638925312881e-14
12,60.00000055886942,1.2514170575678991e-14
13,60.00000053914782,-1.2465101361474508e-15
14,60.0000005179602,-3.513398896016599e-14
15,60.000000507336914,-8.765675834914367e-14
16,60.000000546983955,-1.9620029165694374e-14
17,60.00000061690829,-4.426683411978011e-14
18,67.15000052177068,-4.0022545793110384e-14
19,66.79698026137089,4.239070180198165e-15
20,67.15000003289482,5.906493949708337e-14
21,67.15000086161392,-6.59691354440776e-14
22,67.15000062126661,5.3366465344057155e-14
23,67.15000057363409,-1.1705367489719847e-13
24,67.15000054669142,4.3201559116876684e-14
