iteration,investor,node,bid_quantity_mw,bid_price_eur_per_mw,accepted_mw,payment_eur,spot_revenue_eur,degradation_cost_eur,capex_daily_eur,access_payment_eur,profit_eur,bid_model_objective_eur,market_objective_eur,max_allocation_delta_mw
1,I1,N1,70.0,50.0,50.0,2500.0,-6.366462912410498e-12,9899.06385318571,3817.2314558972284,11613.621590113029,-25329.916899195974,0.0,747733.4815744,70.0
1,I1,N2,70.0,50.0,50.0,2500.0,-6.366462912410498e-12,9899.06385318571,3817.2314558972284,11613.621590113029,-25329.916899195974,0.0,747733.4815744,70.0
1,I1,N3,70.0,50.0,50.0,2500.0,-6.366462912410498e-12,9899.06385318571,3817.2314558972284,11613.621590113029,-25329.916899195974,0.0,747733.4815744,70.0
1,I1,N4,70.0,50.0,50.0,2500.0,-6.366462912410498e-12,9899.06385318571,3817.2314558972284,11613.621590113029,-25329.916899195974,0.0,747733.4815744,70.0
1,I1,N5,70.0,23.051737001614704,70.0,1613.6215901130292,-6.366462912410498e-12,9899.06385318571,3817.2314558972284,11613.621590113029,-25329.916899195974,0.0,747733.4815744,70.0
1,I2,N1,70.0,50.0,50.0,2500.0,-1.8189894035458565e-12,8944.022249214288,4086.5577556324597,10653.43975463417,-23684.01975948092,0.0,747733.4815744,70.0
1,I2,N2,70.0,50.0,50.0,2500.0,-1.8189894035458565e-12,8944.022249214288,4086.5577556324597,10653.43975463417,-23684.01975948092,0.0,747733.4815744,70.0
1,I2,N3,70.0,50.0,50.0,2500.0,-1.8189894035458565e-12,8944.022249214288,4086.5577556324597,10653.43975463417,-23684.01975948092,0.0,747733.4815744,70.0
1,I2,N4,70.0,50.0,50.0,2500.0,-1.8189894035458565e-12,8944.022249214288,4086.5577556324597,10653.43975463417,-23684.01975948092,0.0,747733.4815744,70.0
1,I2,N5,70.0,21.78132515447234,30.0,653.4397546341702,-1.8189894035458565e-12,8944.022249214288,4086.5577556324597,10653.43975463417,-23684.01975948092,0.0,747733.4815744,70.0
2,I1,N1,70.0,1.9903610016147104,70.0,139.32527011302972,1.4551915228366852e-11,13473.397405985374,4948.262998385296,696.6263505651486,-19118.2867549358,0.0,747733.4815744,20.0
2,I1,N2,70.0,1.9903610016147104,70.0,139.32527011302972,1.4551915228366852e-11,13473.397405985374,4948.262998385296,696.6263505651486,-19118.2867549358,0.0,747733.4815744,20.0
2,I1,N3,70.0,1.9903610016147104,70.0,139.32527011302972,1.4551915228366852e-11,13473.397405985374,4948.262998385296,696.6263505651486,-19118.2867549358,0.0,747733.4815744,20.0
2,I1,N4,70.0,1.9903610016147104,70.0,139.32527011302972,1.4551915228366852e-11,13473.397405985374,4948.262998385296,696.6263505651486,-19118.2867549358,0.0,747733.4815744,20.0
2,I1,N5,70.0,1.9903610016147104,70.0,139.32527011302972,1.4551915228366852e-11,13473.397405985374,4948.262998385296,696.6263505651486,-19118.2867549358,0.0,747733.4815744,20.0
2,I2,N1,70.0,0.7199491544723493,30.0,21.59847463417048,1.0231815394945443e-12,5369.688696414622,2665.1463623689956,107.9923731708524,-8142.82743195447,0.0,747733.4815744,20.0
2,I2,N2,70.0,0.7199491544723493,30.0,21.59847463417048,1.0231815394945443e-12,5369.688696414622,2665.1463623689956,107.9923731708524,-8142.82743195447,0.0,747733.4815744,20.0
2,I2,N3,70.0,0.7199491544723493,30.0,21.59847463417048,1.0231815394945443e-12,5369.688696414622,2665.1463623689956,107.9923731708524,-8142.82743195447,0.0,747733.4815744,20.0
2,I2,N4,70.0,0.7199491544723493,30.0,21.59847463417048,1.0231815394945443e-12,5369.688696414622,2665.1463623689956,107.9923731708524,-8142.82743195447,0.0,747733.4815744,20.0
2,I2,N5,70.0,0.7199491544723493,30.0,21.59847463417048,1.0231815394945443e-12,5369.688696414622,2665.1463623689956,107.9923731708524,-8142.82743195447,0.0,747733.4815744,20.0
3,I1,N1,70.0,1.9903610016147204,70.0,139.32527011303043,1.4551915228366852e-11,13473.397405985374,4948.262998385296,696.6263505651466,-19118.2867549358,0.0,747733.4815744,0.0
3,I1,N2,70.0,1.9903610016147006,70.0,139.32527011302903,1.4551915228366852e-11,13473.397405985374,4948.262998385296,696.6263505651466,-19118.2867549358,0.0,747733.4815744,0.0
3,I1,N3,70.0,1.9903610016147006,70.0,139.32527011302903,1.4551915228366852e-11,13473.397405985374,4948.262998385296,696.6263505651466,-19118.2867549358,0.0,747733.4815744,0.0
3,I1,N4,70.0,1.9903610016147006,70.0,139.32527011302903,1.4551915228366852e-11,13473.397405985374,4948.262998385296,696.6263505651466,-19118.2867549358,0.0,747733.4815744,0.0
3,I1,N5,70.0,1.9903610016147006,70.0,139.32527011302903,1.4551915228366852e-11,13473.397405985374,4948.262998385296,696.6263505651466,-19118.2867549358,0.0,747733.4815744,0.0
3,I2,N1,70.0,0.7199491544723592,30.0,21.598474634170774,1.0231815394945443e-12,5369.688696414622,2665.1463623689956,107.9923731708515,-8142.827431954469,0.0,747733.4815744,0.0
3,I2,N2,70.0,0.7199491544723393,30.0,21.59847463417018,1.0231815394945443e-12,5369.688696414622,2665.1463623689956,107.9923731708515,-8142.827431954469,0.0,747733.4815744,0.0
3,I2,N3,70.0,0.7199491544723393,30.0,21.59847463417018,1.0231815394945443e-12,5369.688696414622,2665.1463623689956,107.9923731708515,-8142.827431954469,0.0,747733.4815744,0.0
