iteration,investor,proximal_coefficient_eur_per_mw2_day,unpenalized_profit_eur_per_day,proximal_penalty_eur_per_day,penalized_objective_eur_per_day
1,I1,0.0,17.240094634805985,0.0,17.240094634805985
1,I2,0.0,1033.4283270303972,0.0,1033.4283270303972
1,I3,0.0,141258.55800087782,0.0,141258.55800087782
1,I4,0.0,210367.04504278276,0.0,210367.04504278276
2,I1,0.0,3055.516546311552,0.0,3055.516546311552
2,I2,0.0,3507.5543340246736,0.0,3507.5543340246736
2,I3,0.0,141033.1383648368,0.0,141033.1383648368
2,I4,0.0,210288.65167458917,0.0,210288.65167458917
3,I1,0.0,3127.3942869205025,0.0,3127.3942869205025
3,I2,0.0,3527.219894128912,0.0,3527.219894128912
3,I3,0.0,141029.63878422847,0.0,141029.63878422847
3,I4,0.0,210287.59782495617,0.0,210287.59782495617
4,I1,0.0,3127.97064062627,0.0,3127.97064062627
4,I2,0.0,3527.3829770436414,0.0,3527.3829770436414
4,I3,0.0,141029.6121060043,0.0,141029.6121060043
4,I4,0.0,210287.60129426236,0.0,210287.60129426236
5,I1,0.0,3127.973814603869,0.0,3127.973814603869
5,I2,0.0,3527.3846116843665,0.0,3527.3846116843665
5,I3,0.0,141029.61277814105,0.0,141029.61277814105
5,I4,0.0,210287.60027909902,0.0,210287.60027909902
6,I1,1.0,3127.9687315138717,0.0027911992163806654,3127.965940314655
6,I2,1.0,3527.3842407007887,0.0030357686649030045,3527.3812049321236
6,I3,1.0,141029.61187593627,0.0005917931809278158,141029.6112841431
6,I4,1.0,210287.60184024702,0.0008036621943680047,210287.60103658482
7,I1,1.0,3127.9648094923623,0.000736060893672508,3127.9640734314685
7,I2,1.0,3527.38129146564,0.0007855135275520014,3527.3805059521123
7,I3,1.0,141029.6108162807,0.0005614173267100688,141029.6102548634
7,I4,1.0,210287.6016942212,0.0005948841409498986,210287.60109933707
8,I1,1.0,3127.9609863904607,0.0005656177211178138,3127.96042077274
8,I2,1.0,3527.379286543157,0.0006051466780912251,3527.378681396479
8,I3,1.0,141029.61003510174,0.0005875592996731536,141029.60944754243
8,I4,1.0,210287.601279216,0.001779799270189266,210287.59949941674
9,I1,1.0,3127.957003676235,0.0005568233296566063,3127.9564468529056
9,I2,1.0,3527.3772903882905,0.029901961215471777,3527.347388427075
9,I3,1.0,141029.6093187709,0.0006033035572032214,141029.60871546736
9,I4,1.0,210287.6010724612,0.0003761095385094547,210287.60069635167
10,I1,1.0,3124.7713534018376,0.054235264266978146,3124.7171181375707
10,I2,1.0,3527.383075827554,2.683427670533526,3524.6996481570204
10,I3,1.0,141028.0507393167,0.002719615725995429,141028.04801970097
10,I4,1.0,210287.13160174785,0.000966692326663511,210287.13063505554
11,I1,2.0,3118.08671528613,0.00519497326106113,3118.081520312869
11,I2,2.0,3524.531537871648,0.0013820039246687612,3524.5301558677234
11,I3,2.0,141028.17732784615,0.0008201844268272152,141028.17650766173
11,I4,2.0,210287.16954931666,0.00015600871226827264,210287.16939330794
12,I1,2.0,3118.003707147067,0.0009820801218527358,3118.002725066945
12,I2,2.0,3524.5091050102887,0.000668147573460131,3524.5084368627154
12,I3,2.0,141028.17922707027,0.0006463199530328682,141028.17858075033
12,I4,2.0,210287.170524185,0.007626622024327851,210287.162897563
13,I1,2.0,3118.000124261875,0.0006047287766953009,3117.9995195330985
13,I2,2.0,3524.5094836562444,0.4827644883791149,3524.0267191678654
13,I3,2.0,141028.18012155744,0.0006275672062769011,141028.17949399023
13,I4,2.0,210287.17013914895,0.002805192726112597,210287.16733395623
14,I1,2.0,3117.9981266412474,0.0005707066522783943,3117.9975559345953
14,I2,2.0,3524.5097496618305,0.0005815484444251716,3524.509168113386
14,I3,2.0,141028.17948557393,0.000626623919064114,141028.17885895
14,I4,2.0,210287.17041005223,0.0006999575102266277,210287.16971009472
