investor,hour,node,installed_power_mw,charge_offer_mw,accepted_charge_mw,discharge_offer_mw,accepted_discharge_mw,joint_lambda_eur_per_mwh
I1,1,N1,6.367717242108577e-05,3.1866240536535225e-05,6.351757639250725e-07,3.185674765971201e-05,8.63446924393395e-07,67.14999961870645
I1,1,N2,0.0,0.0,0.0,0.0,0.0,67.14999995563277
I1,1,N3,0.327864070339837,0.32786407033610754,3.96010334614307e-07,0.32786407033612164,0.05141348468483197,67.14999988164405
I1,1,N4,6.367717241731161e-05,3.186623198446811e-05,6.351757570508402e-07,3.185675209257968e-05,8.634469317207755e-07,67.14999986289708
I1,1,N5,6.366949411691552e-05,3.185376984359062e-05,7.244242641839941e-07,3.1863543577294026e-05,7.252992159713656e-07,67.14999996040488
I1,1,N6,0.0,0.0,0.0,0.0,0.0,67.14999988496805
I1,1,N7,0.0,0.0,0.0,0.0,0.0,67.14999995563277
I1,1,N8,14.685178845604328,14.685178845604328,3.960095811689116e-07,14.685178845604328,2.7788055554909925,67.14999992963368
I1,1,N9,2.752887291632132,2.7528872916284,3.960096664775083e-07,2.7528872916284097,0.4315315476307346,67.14999988882167
I1,2,N1,6.367717242108577e-05,3.186635215051584e-05,6.351732075831796e-07,3.1856591069523364e-05,8.634519304189912e-07,67.14999946258474
I1,2,N2,0.0,0.0,0.0,0.0,0.0,67.14999982642216
I1,2,N3,0.327864070339837,0.3278640703361079,3.9601033440008913e-07,0.3278640703361212,0.05142144720513125,67.14999976999079
I1,2,N4,6.367717241731161e-05,3.186634647146377e-05,6.35173200463743e-07,3.1856591742165564e-05,8.634519374275922e-07,67.14999973878315
I1,2,N5,6.366949411691552e-05,3.1853949785969025e-05,7.2442250553077e-07,3.186341755055361e-05,7.253013342578403e-07,67.14999982881098
I1,2,N6,0.0,0.0,0.0,0.0,0.0,67.14999976608603
I1,2,N7,0.0,0.0,0.0,0.0,0.0,67.14999982642216
I1,2,N8,14.685178845604328,14.685178845604328,3.9600958284336125e-07,14.685178845604328,2.7128122377284427,67.14999980659199
I1,2,N9,2.752887291632132,2.7528872916284,3.960096680870635e-07,2.75288729162841,0.4299061336007167,67.14999977435883
I1,3,N1,6.367717242108577e-05,3.186639064853078e-05,6.351079955634895e-07,3.185654703337288e-05,8.635840834715944e-07,67.14999917307553
I1,3,N2,0.0,0.0,0.0,0.0,0.0,67.1499995760915
I1,3,N3,0.327864070339837,0.3278640703361092,3.9601029113118566e-07,0.3278640703361181,0.05218180262056886,67.14999953099066
I1,3,N4,6.367717241731161e-05,3.1866385517878454e-05,6.351079867914615e-07,3.1856547344891756e-05,8.635840936425307e-07,67.14999949038813
I1,3,N5,6.366949411691552e-05,3.1853987223414855e-05,7.243973420277755e-07,3.1863380050565965e-05,7.253301765730613e-07,67.14999957673707
I1,3,N6,0.0,0.0,0.0,0.0,0.0,67.14999952188172
I1,3,N7,0.0,0.0,0.0,0.0,0.0,67.1499995760915
I1,3,N8,14.685178845604328,14.685178845604328,3.9600958596806325e-07,14.685178845604328,2.598426917648343,67.14999956050518
I1,3,N9,2.752887291632132,2.752887291628401,3.9600966659899736e-07,2.7528872916284075,0.43234933969836226,67.14999953347767
I1,4,N1,6.367717242108577e-05,3.186639329952289e-05,6.34980113512853e-07,3.1856542794085166e-05,8.638433571450522e-07,67.14999876152791
I1,4,N2,0.0,0.0,0.0,0.0,0.0,67.14999919881231
I1,4,N3,0.327864070339837,0.3278640703361113,3.960102018061882e-07,0.32786407033611215,0.053813581040120094,67.14999915912114
I1,4,N4,6.367717241731161e-05,3.186638738406614e-05,6.34980102820051e-07,3.185654390590381e-05,8.63843370870478e-07,67.14999911343406
I1,4,N5,6.366949411691552e-05,3.185399465167532e-05,7.243488280406782e-07,3.186337261157149e-05,7.25385740913546e-07,67.14999919848582
I1,4,N6,0.0,0.0,0.0,0.0,0.0,67.14999914731045
I1,4,N7,0.0,0.0,0.0,0.0,0.0,67.14999919881231
I1,4,N8,14.685178845604328,14.685178845604328,3.960095906261863e-07,14.685178845604328,2.443912902058478,67.14999918550119
I1,4,N9,2.752887291632132,2.752887291628403,3.9600966178963503e-07,2.7528872916284017,0.439284807699947,67.14999916071054
I1,5,N1,6.367717242108577e-05,3.1866388325894806e-05,6.347894649942823e-07,3.1856544927521456e-05,8.642298682562689e-07,67.14999926666643
I1,5,N2,0.0,0.0,0.0,0.0,0.0,67.14999967104009
I1,5,N3,0.327864070339837,0.32786407033611437,3.960100418471994e-07,0.3278640703361026,0.05692766390772914,67.14999962207673
I1,5,N4,6.367717241731161e-05,3.18663813613115e-05,6.347894554404382e-07,3.185654731142437e-05,8.642298801235255e-07,67.14999958397902
I1,5,N5,6.366949411691552e-05,3.185399620018068e-05,7.242769013927892e-07,3.186337182722427e-05,7.254681322921756e-07,67.14999967265125
I1,5,N6,0.0,0.0,0.0,0.0,0.0,67.14999961429595
I1,5,N7,0.0,0.0,0.0,0.0,0.0,67.14999967104009
I1,5,N8,14.685178845604328,14.685178845604328,3.96009579154329e-07,14.685178845604328,2.911121835888891,67.14999965356435
I1,5,N9,2.752887291632132,2.752887291628406,3.9600963536480005e-07,2.7528872916283924,0.4731448992019202,67.14999962506674
I1,6,N1,6.367717242108577e-05,3.186638708079765e-05,6.345360014205851e-07,3.185654437920045e-05,8.647435796619064e-07,67.14999964225301
I1,6,N2,0.0,0.0,0.0,0.0,0.0,67.14999998336917
I1,6,N3,0.327864070339837,0.32786407033611836,3.960098157380764e-07,0.3278640703360881,0.06194232973650214,67.1499999008567
I1,6,N4,6.367717241731161e-05,3.1866379414314585e-05,6.345359949145694e-07,3.185654814079254e-05,8.647435865274856e-07,67.14999988644362
I1,6,N5,6.366949411691552e-05,3.185399738420481e-05,7.241815986112047e-07,3.1863371268507064e-05,7.255773767348605e-07,67.14999999009197
I1,6,N6,0.0,0.0,0.0,0.0,0.0,67.1499999066457
I1,6,N7,0.0,0.0,0.0,0.0,0.0,67.14999998336917
I1,6,N8,14.685178845604328,14.685178845604328,3.960095695599939e-07,14.685178845604328,3.4497233698738556,67.14999995305853
I1,6,N9,2.752887291632132,2.75288729162841,3.960096040315417e-07,2.752887291628378,0.520902273794783,67.14999990905254
I1,7,N1,6.367717242108577e-05,3.186639275269427e-05,6.342195677441607e-07,3.185653777926478e-05,8.653844866340699e-07,67.1499998445122
I1,7,N2,0.0,0.0,0.0,0.0,0.0,67.15000016161099
I1,7,N3,0.327864070339837,0.3278640703361235,3.960094953178343e-07,0.32786407033606585,0.07053235574596506,67.14999999502128
I1,7,N4,6.367717241731161e-05,3.1866384855051354e-05,6.342195643053582e-07,3.185654177385655e-05,8.653844878982512e-07,67.15000001937273
I1,7,N5,6.366949411691552e-05,3.1853999327301e-05,7.240628844700844e-07,3.186336927728501e-05,7.257135959745313e-07,67.15000017998385
I1,7,N6,0.0,0.0,0.0,0.0,0.0,67.15000002419836
I1,7,N7,0.0,0.0,0.0,0.0,0.0,67.15000016161099
I1,7,N8,14.685178845604328,14.685178845604328,3.960095609839559e-07,14.685178845604328,4.103086551952798,67.15000009659941
I1,7,N9,2.752887291632132,2.752887291628415,3.960095643370871e-07,2.752887291628356,0.5960406019783742,67.1500000139659
I1,8,N1,6.367717242108577e-05,3.1866405373836234e-05,6.338399242570811e-07,3.1856521315813734e-05,8.66152393853825e-07,67.14999989585255
I1,8,N2,0.0,0.0,0.0,0.0,0.0,67.15000025440982
I1,8,N3,0.327864070339837,0.3278640703361299,3.960090108329143e-07,0.32786407033602916,0.08784317537642448,67.15000000888757
I1,8,N4,6.367717241731161e-05,3.1866397572854896e-05,6.338399226748381e-07,3.185652497235339e-05,8.661523915233816e-07,67.1500000307596
I1,8,N5,6.366949411691552e-05,3.185400360331255e-05,7.239207156099786e-07,3.186336433339294e-05,7.258769467038449e-07,67.15000029771647
I1,8,N6,0.0,0.0,0.0,0.0,0.0,67.15000003112883
I1,8,N7,0.0,0.0,0.0,0.0,0.0,67.15000025440982
I1,8,N8,14.685178845604328,14.685178845604328,3.96009551205029e-07,14.685178845604328,5.099603265767648,67.15000012479506
I1,8,N9,2.752887291632132,2.7528872916284213,3.960095064549084e-07,2.752887291628319,0.743383796226301,67.15000003097312
I1,9,N1,6.367717242108577e-05,3.18664239986703e-05,6.333967311740073e-07,3.185649857846424e-05,8.670465591794897e-07,67.14999972619812
I1,9,N2,0.0,0.0,0.0,0.0,0.0,67.15000006064368
I1,9,N3,0.327864070339837,0.3278640703361381,3.960081074090627e-07,0.3278640703359579,0.1372550097900983,67.14999983577934
I1,9,N4,6.367717241731161e-05,3.186641621358245e-05,6.33396730774883e-07,3.185650214921822e-05,8.670465546224119e-07,67.14999983507558
I1,9,N5,6.366949411691552e-05,3.18540141748639e-05,7.237550617705841e-07,3.1863352657521806e-05,7.260676031788064e-07,67.15000010638886
I1,9,N6,0.0,0.0,0.0,0.0,0.0,67.14999982836943
I1,9,N7,0.0,0.0,0.0,0.0,0.0,67.15000006064368
I1,9,N8,14.685178845604328,14.685178845604328,3.960095372950889e-07,14.685178845604328,6.9135744824418,67.14999987832067
I1,9,N9,2.752887291632132,2.7528872916284297,3.9600940149476757e-07,2.752887291628248,1.1510409461256794,67.14999984237917
I1,10,N1,6.367717242108577e-05,3.184522940101383e-05,1.289093236977541e-06,3.186720787206987e-05,5.095362054323781e-07,60.00000021405262
I1,10,N2,0.0,0.0,0.0,0.0,0.0,60.000000422984606
I1,10,N3,0.327864070339837,0.3278640703361494,5.856677488220506e-07,0.32786407033617626,1.265675321243349e-06,60.00000023779022
I1,10,N4,6.367717241731161e-05,3.184522212390183e-05,1.289093244196978e-06,3.186721110042472e-05,5.095362023510192e-07,60.00000027643469
I1,10,N5,6.366949411691552e-05,3.176670050046309e-05,1.7192604518894217e-06,3.1868175277978526e-05,4.563388514069416e-07,60.00000044291555
I1,10,N6,0.0,0.0,0.0,0.0,0.0,60.000000240182324
I1,10,N7,0.0,0.0,0.0,0.0,0.0,60.000000422984606
I1,10,N8,14.685178845604328,14.685178845604328,5.386507282867873e-07,14.685178845604328,1.6038714595923534e-06,60.00000023592224
I1,10,N9,2.752887291632132,2.752887291628441,5.86112111498181e-07,2.7528872916284675,1.2633770065553903e-06,60.00000023779022
I1,11,N1,6.367717242108577e-05,3.1845259685706604e-05,1.2875562074948883e-06,3.1867188556110814e-05,5.09805315234242e-07,59.999999974233326
I1,11,N2,0.0,0.0,0.0,0.0,0.0,74.23660550739338
I1,11,N3,0.327864070339837,0.000977069924582003,7.009434768975352e-05,0.3278640703361656,3.9823318786423757e-07,44.837436289693095
I1,11,N4,6.367717241731161e-05,3.1845252908841545e-05,1.2875562234396036e-06,3.186719158669884e-05,5.098053108436808e-07,59.999999993968
