iteration,node,total_before_mw,scale
5,N8,100.00000001657732,0.9999999998342268
6,N8,100.00000002333175,0.9999999997666825
7,N8,100.00000002331629,0.9999999997668371
8,N8,100.00000002334295,0.9999999997665705
9,N8,100.0000000233211,0.9999999997667889
10,N8,100.00000002542421,0.9999999997457578
11,N8,100.00000002322128,0.9999999997677872
12,N8,100.00000002346192,0.9999999997653808
13,N8,100.0000000240946,0.999999999759054
14,N8,100.00000002332048,0.9999999997667952
