fleet,case,investor,total_power_mw,total_energy_mwh,charge_mwh,discharge_mwh,throughput_mwh,spot_revenue_eur_per_day,generation_rent_eur_per_day,degradation_eur_per_day,capex_eur_per_day,profit_eur_per_day,capacity_proportional_profit_eur_per_day,dispatch_attribution_band_eur_per_day
sweep1,hard_min_norm,I1,46.79553758419664,136.79892882113856,146.15270231134514,128.04379788416026,274.1965001955054,7257.917892559432,0.0,2056.4737514662907,921.4165998589167,4280.027541234224,4385.398543080238,105.37100184601331
sweep1,hard_min_norm,I2,46.795537583303535,136.79892885968235,146.15270233146964,128.04379790179124,274.19650023326085,7257.916704996858,0.0,2056.4737517494564,1157.9801306223414,4043.4628226250607,4175.216041910733,131.75321928567246
sweep1,hard_min_norm,I3,32.998270795259344,116.22669010687804,124.1738145552669,108.7881822366111,232.961996791878,6093.267233462633,105959.91342051666,1747.214975939085,768.5801896102,109537.38548843001,109075.79098861682,461.59449981318903
sweep1,hard_min_norm,I4,46.796692449231784,136.80426779037737,146.1584063173114,128.04879514097127,274.20720145828267,7258.198442814159,102715.35895046366,2056.55401093712,921.4511432545885,106995.55223908612,107220.02251776762,224.47027868150326
sweep1,gamma_3e-05,I1,46.79553758419664,136.79892882113856,146.15270231134505,128.04379788416017,274.1965001955052,7257.919097772978,0.0,2056.4737514662893,921.4165998589167,4280.0287464477715,4385.400550601597,105.3718041538259
sweep1,gamma_3e-05,I2,46.795537583303535,136.79892885968235,146.15270233146964,128.0437979017912,274.19650023326085,7257.919098542744,0.0,2056.4737517494564,1157.9801306223414,4043.4652161709455,4175.218293555346,131.75307738440006
sweep1,gamma_3e-05,I3,32.998270795259344,116.22669010687804,124.17381455526687,108.78818223661109,232.96199679187797,6093.269633965434,105960.77874970381,1747.2149759390848,768.5801896102,109538.25321811995,109076.65809596951,461.5951221504365
sweep1,gamma_3e-05,I4,46.796692449231784,136.80426779037737,146.15840631731137,128.04879514097124,274.2072014582826,7258.20084459725,102715.57441609373,2056.5540109371195,921.4511432545885,106995.77010649927,107220.24034711148,224.47024061220873
sweep2,hard_min_norm,I1,50.24456524051691,141.94065773538918,150.4170177540733,131.77974758627263,282.1967653403459,2749.420237231521,0.0,2116.475740052594,959.6170898080904,-326.6725926291638,-271.8301021092975,54.84249051986626
sweep2,hard_min_norm,I2,50.24671539140458,141.94870788599283,150.4679019281409,131.82432700763653,282.2922289357774,2750.163245037212,0.0,2117.1917170183306,1206.0547157276694,-573.0831877087878,-567.7374464163233,5.345741292464481
sweep2,hard_min_norm,I3,36.35557917176441,125.85490675999985,133.23293857459697,116.72484455345011,249.95778312804708,2366.1093773398015,125015.71903426744,1874.683373460353,833.5661108788136,124673.57892726807,124607.75184997007,65.82707729800313
sweep2,hard_min_norm,I4,50.24902515020929,141.9593963539056,150.4921486785629,131.84556948869425,282.33771816725715,2750.5564899376554,177896.42498084647,2117.532886254429,959.7391879359535,177569.70939659374,177575.3482420794,5.638845485664206
sweep2,gamma_3e-05,I1,50.24456524051691,141.94065773538918,150.42251191121537,131.78456099536817,282.20707290658356,2748.236698125248,0.0,2116.5530467993767,959.6170898080904,-327.9334384822191,-273.0899251762562,54.843513305962915
sweep2,gamma_3e-05,I2,50.24671539140458,141.94870788599283,150.4729991423322,131.82879265660068,282.30179179893287,2748.9745823007897,0.0,2117.2634384919966,1206.0547157276694,-574.3435719188763,-568.9978795438763,5.345692374999999
sweep2,gamma_3e-05,I3,36.35557917176441,125.85490675999985,133.23821713467595,116.72946907882105,249.96768621349702,2365.22547016972,125020.95074604276,1874.7576466012276,833.5661108788136,124677.85245873244,124612.02471553268,65.82774319975579
sweep2,gamma_3e-05,I4,50.24902515020929,141.9593963539056,150.49712899103042,131.84993272052583,282.34706171155625,2749.3664064392183,177912.0378689138,2117.602962836672,959.7391879359535,177584.06212458038,177589.70066209917,5.638537518796511
