fleet,case,gamma,node,hour,lambda_eur_per_mwh,hard_min_norm_lambda_eur_per_mwh,lambda_difference_eur_per_mwh,balance_residual_mw
sweep1,hard_min_norm,,N1,1,60.00000058923302,60.00000058923302,0.0,0.0
sweep1,hard_min_norm,,N1,2,60.00000058892432,60.00000058892432,0.0,0.0
sweep1,hard_min_norm,,N1,3,60.00000058904496,60.00000058904496,0.0,0.0
sweep1,hard_min_norm,,N1,4,59.98968587148114,59.98968587148114,0.0,0.0
sweep1,hard_min_norm,,N1,5,60.000000588983426,60.000000588983426,0.0,0.0
sweep1,hard_min_norm,,N1,6,60.000000589358464,60.000000589358464,0.0,0.0
sweep1,hard_min_norm,,N1,7,60.00000059236359,60.00000059236359,0.0,0.0
sweep1,hard_min_norm,,N1,8,60.000000592035995,60.000000592035995,0.0,0.0
sweep1,hard_min_norm,,N1,9,60.00000058863745,60.00000058863745,0.0,0.0
sweep1,hard_min_norm,,N1,10,52.20000051325242,52.20000051325242,0.0,0.0
sweep1,hard_min_norm,,N1,11,60.00000059005774,60.00000059005774,0.0,0.0
sweep1,hard_min_norm,,N1,12,60.00000058887526,60.00000058887526,0.0,0.0
sweep1,hard_min_norm,,N1,13,60.00000058817595,60.00000058817595,0.0,0.0
sweep1,hard_min_norm,,N1,14,52.20000051320268,52.20000051320268,0.0,0.0
sweep1,hard_min_norm,,N1,15,60.00000057923758,60.00000057923758,0.0,0.0
sweep1,hard_min_norm,,N1,16,60.00000059053081,60.00000059053081,0.0,0.0
sweep1,hard_min_norm,,N1,17,52.20000051293096,52.20000051293096,0.0,0.0
sweep1,hard_min_norm,,N1,18,60.00000059043032,60.00000059043032,0.0,0.0
sweep1,hard_min_norm,,N1,19,60.00000059175193,60.00000059175193,0.0,0.0
sweep1,hard_min_norm,,N1,20,60.00000059124498,60.00000059124498,0.0,0.0
sweep1,hard_min_norm,,N1,21,60.000000591989945,60.000000591989945,0.0,0.0
sweep1,hard_min_norm,,N1,22,60.00000059174545,60.00000059174545,0.0,0.0
sweep1,hard_min_norm,,N1,23,60.00000059171005,60.00000059171005,0.0,0.0
sweep1,hard_min_norm,,N1,24,60.00000058939611,60.00000058939611,0.0,0.0
sweep1,hard_min_norm,,N2,1,60.000000587637686,60.000000587637686,0.0,0.0
sweep1,hard_min_norm,,N2,2,60.000000587251655,60.000000587251655,0.0,0.0
sweep1,hard_min_norm,,N2,3,60.0000005872918,60.0000005872918,0.0,0.0
sweep1,hard_min_norm,,N2,4,59.98968587090107,59.98968587090107,0.0,0.0
