investor,hour,node,p_charge_mw,p_discharge_mw,net_injection_mw,lambda_joint_eur_per_mwh
I1,1,N1,0.0,0.0,0.0,67.14999979629643
I1,1,N2,0.0,0.0,0.0,67.15000003415847
I1,1,N3,0.0,0.0,0.0,67.14999994726337
I1,1,N4,0.0,0.0,0.0,67.14999994788583
I1,1,N5,0.0,0.0,0.0,67.15000003757794
I1,1,N6,0.0,0.0,0.0,67.14999996211833
I1,1,N7,0.0,0.0,0.0,67.15000003415847
I1,1,N8,3.961115618867234e-07,0.0007503691924091143,0.0007499730808472276,67.15000000485115
I1,1,N9,0.0,0.0,0.0,67.14999995782846
I1,2,N1,0.0,0.0,0.0,67.14999972744641
I1,2,N2,0.0,0.0,0.0,67.14999997286131
I1,2,N3,0.0,0.0,0.0,67.14999990421171
I1,2,N4,0.0,0.0,0.0,67.14999989160843
I1,2,N5,0.0,0.0,0.0,67.14999997463352
I1,2,N6,0.0,0.0,0.0,67.14999991098762
I1,2,N7,0.0,0.0,0.0,67.14999997286131
I1,2,N8,3.961114242235917e-07,0.0007508735087339622,0.0007504773973097385,67.14999994974188
I1,2,N9,0.0,0.0,0.0,67.1499999117842
I1,3,N1,0.0,0.0,0.0,67.1499996505237
I1,3,N2,0.0,0.0,0.0,67.14999990841822
I1,3,N3,0.0,0.0,0.0,67.14999985168001
I1,3,N4,0.0,0.0,0.0,67.14999982932596
I1,3,N5,0.0,0.0,0.0,67.14999990892903
I1,3,N6,0.0,0.0,0.0,67.14999985272836
I1,3,N7,0.0,0.0,0.0,67.14999990841822
I1,3,N8,3.9610818911028466e-07,0.0007629431077782785,0.0007625469995891682,67.14999988948237
I1,3,N9,0.0,0.0,0.0,67.14999985721781
I1,4,N1,0.0,0.0,0.0,67.14999958817356
I1,4,N2,0.0,0.0,0.0,67.14999985657879
I1,4,N3,0.0,0.0,0.0,67.14999980593024
I1,4,N4,0.0,0.0,0.0,67.1499997781528
I1,4,N5,0.0,0.0,0.0,67.14999985638978
I1,4,N6,0.0,0.0,0.0,67.14999980387793
I1,4,N7,0.0,0.0,0.0,67.14999985657879
I1,4,N8,3.961016414610377e-07,0.0007885019174311068,0.0007881058157896458,67.14999983980796
I1,4,N9,0.0,0.0,0.0,67.14999981039843
I1,5,N1,0.0,0.0,0.0,67.14999967257133
I1,5,N2,0.0,0.0,0.0,67.14999993181219
I1,5,N3,0.0,0.0,0.0,67.14999987096364
I1,5,N4,0.0,0.0,0.0,67.14999985137361
I1,5,N5,0.0,0.0,0.0,67.14999993308517
