iteration,investor,selection,termination,solve_seconds,profit_eur_per_day,selected_tick_price_eur_per_mw_day,access_payment_eur_per_day,auction_strong_duality_gap,spot_strong_duality_gap,max_abs_price_dual_fraction_of_bound,max_abs_internal_dual_fraction_of_bound,embedded_storage_pair_count,variable_count,constraint_count,selected_total_bid_quantity_mw,selected_total_award_mw,max_quantity_change_mw,max_price_change_eur_per_mw_day,max_duration_change_hours,max_award_change_mw
1,I1,candidate,optimal,10.055429800064303,36873.51083750029,,8.411771734311966e-06,-1.4232292591358723e-06,0.006349170231260359,1.0,0.801169758883921,9,2681,2674,61.618688618738304,56.25874402404429,61.618688618738304,1.4951936592677716e-07,1.3750773673419294,56.25874402404429
1,I2,candidate,optimal,8.957235199981369,18700.723992220745,,4.177219835587975e-05,-4.447675837540425e-07,0.003512033319566399,0.20136714624905036,0.7165966496864961,10,2854,2847,100.0,100.0000001655267,100.0,4.177219828673561e-07,0.7112632272412389,100.0000001655267
1,I3,candidate,optimal,11.304289899999276,140435.39832731278,,6.789779135136988e-05,-4.113154936594973e-07,0.003970165504142642,0.20136714632983618,0.9082487510085865,11,3027,3020,99.99999815292819,99.99999546815445,99.99999815292819,6.789779442839305e-07,0.7112633295661368,99.99999557330453
1,I4,candidate,optimal,10.596236399956979,149215.3235661713,,1.3558472913612094e-05,-1.0616186093278463e-05,0.005687663215212524,0.20136714637300593,0.9610535572380763,12,3200,3193,13.941343814005863,13.941343756647358,13.941343814005863,9.725370201238524e-07,0.2559999928343948,34.25567659343473
2,I1,candidate,optimal,10.2057261998998,19482.8098690804,,0.00011620628158066682,-1.0793495384958521e-06,0.0035214070812799037,0.20136714621603047,0.7332471766600549,12,3200,3193,99.99999896739736,99.99999694479585,38.381310348659056,1.0125434853832834e-06,0.6638141356411165,79.68565981877697
2,I2,candidate,optimal,9.805792300030589,18700.7228162151,,0.0001414796695764371,-9.166370318891559e-07,0.0040155124152079225,0.20136714624905297,0.8183344051395678,12,3200,3193,100.0,100.00000060160657,0.0,9.97074704385505e-07,4.210288118144945e-09,99.99999933222261
2,I3,candidate,optimal,12.931324099889025,140435.4039164736,,0.000166045505258265,-8.645813934649439e-07,0.005041623313445598,0.20136714632982985,0.9086928258018071,12,3200,3193,100.0,99.99999989539586,1.8470718146090803e-06,9.814771100356241e-07,1.929031689940075e-08,100.00000004020055
2,I4,candidate,optimal,24.487115699914284,161920.24449190102,,0.00019012474879131605,-1.449347415621383e-07,0.005846882413607091,0.2013671463738148,0.9997831738941113,12,3200,3193,100.0,99.99999998815106,86.05865618599414,9.287104680145857e-07,0.9672633023940613,99.99999970437143
3,I1,candidate,optimal,5.8270328000653535,19482.796520229622,,0.00019546111876097414,-1.0998159841292917e-05,0.029312951606698334,0.20136714744120096,0.724796625105589,12,3200,3193,100.0,100.00000076283614,1.0326026398388422e-06,7.925483213892005e-07,1.3257058562032853e-08,100.0000005497425
3,I2,candidate,optimal,5.263624000013806,18700.70127046204,,0.00022435833334826915,-1.0998078221154508e-05,0.029003238189034164,0.20136714744203743,0.7172475163444536,12,3200,3193,100.0,100.00000082061618,0.0,8.287866278186227e-07,1.4685386240387288e-08,100.0000007997623
3,I3,candidate,optimal,15.795262399944477,140435.40423083963,,0.000248273806223288,-1.4449353894733109e-07,0.0050564175471663475,0.20136714632982983,0.9954907320206324,12,3200,3193,100.0,100.00000059430164,0.0,8.222829931583727e-07,4.839408873635875e-09,100.0000007124376
3,I4,candidate,optimal,8.39147419994697,161920.24276467177,,0.0002714471691918109,-1.4933256056574341e-07,0.005751907650846988,0.2013671463738148,0.9652744757715686,12,3200,3193,99.9999978212394,99.99999465247957,2.178760595938911e-06,8.132243489366072e-07,2.644740604296203e-08,99.99999486871471
