investor,node,desired_power_mw,desired_energy_mwh,desired_ratio_hours,private_headroom_limit_mw,access_shadow_price_eur_per_mw_day
I1,N1,7.156801665053335e-06,1.4578777596874359e-05,2.0370520630832254,100.0,9.057253692378869e-08
I2,N1,5.2284439670137645e-08,1.2667268669736147e-07,2.422760719949167,100.0,9.081817838439631e-08
I3,N1,8.529602771716394e-08,2.8726866481571573e-07,3.3679020290168715,100.0,9.217910932256212e-08
I4,N1,3.162685554873699e-07,7.061266742394088e-07,2.2326806190114836,100.0,9.081765820677406e-08
I1,N2,6.136140230271865,39.33421226051603,6.410253153352936,100.0,9.816244280639382e-08
I2,N2,1.9401341313781695,3.880367345044424,2.0000510698134124,100.0,-6.55855972824434e-08
I3,N2,2.3883460490906607,15.309893256216142,6.4102491605206176,100.0,1.4999095404285894e-07
I4,N2,7.956067652310244,42.35649346811749,5.323797549134492,100.0,1.6963708680569662e-07
I1,N3,8.086269946089836e-06,1.6282640903544046e-05,2.0136157971596798,100.0,9.052666910418903e-08
I2,N3,2.0495068990766338e-06,4.222431306565941e-06,2.060218147334989,100.0,9.081704360245483e-08
I3,N3,2.403186795204272e-06,4.94309474427316e-06,2.0568916049877823,100.0,9.034732669415385e-08
I4,N3,1.303273175854785e-07,7.576070749173138e-07,5.813110320638786,100.0,9.081813235153662e-08
I1,N4,7.170696453559702e-06,1.4606481734567866e-05,2.0369683515632384,100.0,9.056907003753769e-08
I2,N4,6.084586564773442e-08,1.4243988608846913e-07,2.340995309576516,100.0,9.081817765877594e-08
I3,N4,1.0359730918154799e-07,3.075742670090733e-07,2.9689406939138556,100.0,9.226667502690951e-08
I4,N4,2.9947944280344963e-07,6.533176017131251e-07,2.181510675982865,100.0,9.081769319873776e-08
I1,N5,5.722421581115243e-06,1.182733009152764e-05,2.0668400473253166,100.0,9.065398779355025e-08
I2,N5,7.079618726444597e-08,1.6264871426360998e-07,2.2974219452816858,100.0,9.081817657746677e-08
I3,N5,1.0734499847013584e-07,3.040874034232779e-07,2.8328045810897957,100.0,9.211253291513272e-08
I4,N5,3.0027379619636244e-07,7.3231267230192e-07,2.438816445451764,100.0,9.081778790686309e-08
I1,N6,4.744019839500813e-06,9.592484299542204e-06,2.022016058969848,100.0,9.069982476318007e-08
I2,N6,4.6317496253214674e-07,1.077631675245893e-06,2.3266190153167003,100.0,9.081781767293635e-08
I3,N6,5.702173195367574e-07,1.2467183395438887e-06,2.186391568317705,100.0,9.079671226656479e-08
I4,N6,2.414011012609532e-07,6.104723484408225e-07,2.528871431207372,100.0,9.081764843653049e-08
I1,N7,9.811367363524452,62.893360160852104,6.410254333628322,100.0,9.931160888845461e-08
I2,N7,0.44821085399981764,0.896520699021489,2.0002208581540817,100.0,2.494298608317592e-07
I3,N7,8.194017867188704e-08,3.1954353836708e-07,3.899717373654112,100.0,9.180324765816414e-08
I4,N7,50.77145977390856,127.07430299757134,2.5028688078587567,100.0,1.1354034905736485e-07
I1,N8,53.870735726891695,107.74147156812874,2.0000000021225874,100.0,1.969917302446187e-07
I2,N8,53.87039395712728,107.74078805938589,2.0000000026940836,100.0,1.9698492293370466e-07
I3,N8,53.87039395625767,107.74078808191953,2.0000000031446623,100.0,2.0925107394343557e-07
I4,N8,56.25874251305065,302.39509946778696,5.3750774716949765,100.0,2.077446213950784e-07
I1,N9,8.312284957504173e-06,1.6733959246947096e-05,2.0131599593250225,100.0,9.047073911582781e-08
I2,N9,2.0648412680355816e-06,4.25305402597024e-06,2.0597486556516027,100.0,9.081706177886403e-08
I3,N9,3.32796786419918e-07,8.011827169715824e-07,2.40742323743674,100.0,9.016744250165052e-08
I4,N9,1.294580644893297e-07,7.559299530176559e-07,5.839187817302504,100.0,9.081814803700398e-08
