iteration,investor,max_rel_delta_offer,max_rel_delta_price,abs_offer_step_mw,abs_price_step_eur_per_mwh,undamped_offer_residual_mw,undamped_price_residual_eur_per_mwh,charge_offer_capacity_hours_mwh,discharge_offer_capacity_hours_mwh,mean_charge_bid_price_eur_per_mwh,mean_discharge_offer_price_eur_per_mwh
16,I1,0.03522975494365371,0.0632331273968103,0.04370382121666857,0.03211280440850865,0.17481529430411688,0.12845121763403464,1146.1515595770675,1144.5814921824624,-6.700020749118689,6.697481127577545
16,I2,0.03522858981709638,0.1746314829831757,0.09038465791633174,0.06770865446020884,0.3615386346724634,0.27083461784083535,984.0292081185843,979.2733112194821,-6.729617155295403,6.702089428803843
16,I3,0.13756560411552565,0.19379357825918003,0.04954320218289013,0.2934548294490993,0.19817282235254588,1.1738193177963971,1167.578840293808,1168.2963910885608,-5.79682883528681,5.854423233487898
16,I4,0.2161474856198058,0.34228169263526353,0.06425118855148049,0.47471713822903905,0.2570046915422671,1.8988685529161562,1391.060856853987,1388.2711430867876,-5.604656914340444,4.189272013169795
17,I1,0.026414996023411033,0.07606747735183861,0.032778054268001296,0.029452561721173682,0.131112229341491,0.11781024688469456,1141.2753630186226,1140.0978281115738,-6.699442203117233,6.69643112087228
17,I2,0.026422317458357145,0.22095076740135644,0.11043921448329003,0.08305323199718342,0.4417568503070426,0.32964388037120745,977.5507684481092,973.983906081929,-6.734528526676985,6.709069790513318
17,I3,0.146244465586353,1.5276242015554375,0.03805476411892493,0.32795379656405604,0.15221907033103618,1.3118151862562242,1159.5295605107535,1160.0308801895403,-5.823031816366629,5.882663115465538
17,I4,0.2129479751583158,0.22751024944435938,0.07540032990141395,0.41532938226150323,0.30160132463906675,1.6613175290460127,1389.4123393908387,1387.926411231745,-5.491492016015074,4.189981931366227
18,I1,0.019820781744234253,0.07172250477397366,0.024585543523423306,0.024455408269900454,0.09834208017532066,0.09782163307960175,1136.1680889753907,1135.2849997132173,-6.698705591582077,6.695390849337035
18,I2,0.019817880950974774,0.11035852634535903,0.051179418567244755,0.05600019692133573,0.2047176588127602,0.22400078768534287,970.9731097376545,967.8753878115332,-6.731230328893514,6.707318741256111
18,I3,0.11176805815076107,0.16632690704133385,0.02855613154283316,0.1804331502338509,0.1142245491109824,0.7217326009354036,1151.5594567718597,1151.9425039043733,-5.841615402625964,5.895525819267016
18,I4,0.2029769691606544,0.3095545971934555,0.05653575370504812,0.3402822807445551,0.226143021763491,1.3611291229782203,1384.144383324777,1383.6356214229525,-5.398236701513311,4.1959982859060485
