sweep,order,all_updates_optimal,all_audits_optimal,max_update_power_mw,max_update_energy_mwh,max_update_offer_mw,max_nash_power_mw,max_nash_energy_mwh,max_nash_offer_mw,max_profitable_deviation_eur_per_day,max_lmp_reclear_gap_eur_per_mwh,max_embedded_reclear_profit_gap_eur_per_day,max_complementarity_violation,stable_sweeps,power_I1_mw,energy_I1_mwh,profit_I1_eur_per_day,power_I2_mw,energy_I2_mwh,profit_I2_eur_per_day,power_I3_mw,energy_I3_mwh,profit_I3_eur_per_day,power_I4_mw,energy_I4_mwh,profit_I4_eur_per_day
1,I1->I2->I3->I4,True,True,9.663585080438386,24.327170159095296,9.663596058014273,1.7784117036472304,6.80682340613647,1.7784185153326844,198.45767025436112,0.0010468916117858384,0.017758058980689384,2.3015923467907177e-11,0,6.617745221846564,16.485490444316646,-112.05516557826728,7.80152102803409,18.85304205656433,-162.09778882600762,8.57091972767757,20.391839455978673,3220.0999760849745,9.124363520876166,21.498727168292607,5559.426526354726
2,I2->I3->I4->I1,True,False,1.778375968421357,6.806751935921289,1.778382939574393,0.3520950453781744,2.8166900900036556,0.35424978076895197,183.44833945807878,0.0009055121921264231,0.007209254704363843,5.841093581716063e-10,0,6.428167676871863,14.968835354772544,-102.4149602085989,7.179089439086615,16.47067887899188,-142.30907488904376,8.166326685120888,18.445153371270607,3232.782300555845,8.914659181150576,19.941818445175866,5568.629541254704
3,I3->I4->I1->I2,True,True,0.3520950453781744,2.8166900900036556,0.3520995710352546,0.08535800815163874,1.5438406560354956,0.0875240640392363,315.03620289313585,0.001322066893486351,0.0073989918138011035,2.125977379674137e-10,0,6.35746522287764,14.088055447047545,-31.03485671440278,7.133130533001588,15.639386067031456,-61.922592609393504,8.043093419238527,17.459311839769327,3301.2967632159352,8.88781658832397,19.148758357057226,5265.5228347330685
4,I4->I1->I2->I3,False,False,0.10872178099822527,1.5905685615071405,0.10872472343722972,0.10618322289552218,1.4650116464947942,0.10763815322090942,492.7281107512499,0.001212499246690868,0.016436109135611332,9.379673331833542e-10,0,6.3194125995282615,13.531356450520047,10.648913604739946,7.10839482503618,15.109320901236924,-14.62984113683784,8.043093419238527,17.459311839769327,3338.05318229475,8.911192707899787,18.714916909611645,5086.873032977888
5,I1->I2->I3->I4,False,False,0.1327125226622492,1.411953213561155,0.13271252269060163,0.1327125226622492,1.411953213561155,0.13271252269060163,614.4805959786354,0.0013324011695345916,0.007410467470776894,7.838123619819394e-10,0,6.303335084379766,13.186815482834401,38.439582460571984,7.097944081695404,14.776033477143967,16.966358666054617,8.043093419238527,17.459311839769327,3362.793807328581,8.911192707899787,18.714916909611645,4964.738526253226
6,I2->I3->I4->I1,True,True,0.14391487035831574,1.398367243436251,0.14536980040922032,0.11404428228102859,0.9686709645392497,0.11404428230112096,526.0426710169158,0.0013153513542150108,0.013563900699409714,6.200847536660464e-11,0,6.282837292643945,12.94276904006013,21.332238585919328,7.09115109834081,14.55939665111737,-2.054009669912787,8.038675963587197,16.96988330456664,3348.255482978644,8.961562912525197,18.503271296651835,5052.700828740694
7,I3->I4->I1->I2,True,False,0.12736614202244922,0.9686709645392497,0.7682743485174264,0.12280710079913781,0.6387345423043538,0.4372269771717381,564.1194904069407,0.0012701901637157675,0.030525786820362555,5.77254188707845e-10,0,6.258575727183121,12.762262850591764,30.564246351942316,7.075380113807263,14.395871623493953,8.583150126102197,8.025351535524681,16.630848466977902,3358.2497318753167,9.006141062233054,18.389376807558207,5013.793668389444
8,I4->I1->I2->I3,True,False,0.12280710079913781,0.641226029713442,0.4372269771717381,0.13223931788902732,0.41679692410285973,0.3366122374624734,605.5965194228575,0.0012654543408032737,0.029037424924354127,6.033789400157978e-10,0,6.233282245557687,12.625886899285529,40.08722837104446,7.0589383432010155,14.277199094219846,19.552830433619192,8.01466236133696,16.406419356578198,3368.1823468297453,9.049123547512751,18.343358639658952,4971.53189763211
9,I1->I2->I3->I4,True,False,0.14663393693440874,0.39387589455757777,0.3510068564031421,0.09531765356269517,0.35866260237352776,3.9913876640065906,435.6503850049812,0.0012579010969346882,0.00719962961420606,4.2893905624671886e-10,0,6.226336754275525,12.556233074485238,4.69742494546567,7.054423480807234,14.212406527192247,-20.464034676735352,8.011725577446317,16.268562793483046,3334.700572651309,9.100445425439794,18.360213355514926,5141.290692474389
10,I2->I3->I4->I1,False,True,0.11518366642700428,0.31892372557523174,0.2458627860053344,0.10188198460505049,0.34550120296298026,0.1889866907325839,464.61203595248753,0.001224246560894926,0.028266992510907585,1.8206310432129926e-10,0,6.19931286599144,12.465939450463665,11.224934430573285,7.034554039862007,14.136421797845756,-12.949842085227672,8.011725577446317,16.268562793483046,3340.8048697820923,9.140759708689245,18.38507917194166,5111.59806256339
