investor,optimal,termination,power_deviation_mw,energy_deviation_mwh,offer_deviation_mw,recleared_profit_eur_per_day,profitable_deviation_eur_per_day,maximum_lmp_reclear_gap_eur_per_mwh,embedded_reclear_profit_gap_eur_per_day,maximum_complementarity_violation
I1,True,optimal,0.03604890417368978,0.07211658065624782,0.036048904173588525,56.39336839182718,32.49144432747153,0.0009035668118855256,0.006155050669207185,9.125709595482209e-13
I2,True,optimal,0.03605255001270624,0.07212388761300303,0.03605255000562391,40.83912211250849,37.93696404310384,0.0008920857769396662,0.0070559492501018894,2.8417033086501433e-14
I3,True,optimal,0.03605833875915909,0.07270559608966565,0.0368349387659368,3387.3491816243572,32.44093904893725,0.00011355894490350238,0.0002669089622031606,1.0936307225508098e-10
I4,True,optimal,0.1158781775594857,0.2315077670385719,0.11587817751758323,5566.246866120089,515.9854491664892,4.9966538952617157e-05,0.0001571177017467562,1.6639125740162367e-10
