time,node,demand_mw,lmp_eur_per_mwh,generation_mw,charge_mw,discharge_mw,net_injection_mw,demand_adjustment_mw
1,N1,45.0,28.57586867217493,107.39649331313994,0,0,62.45364505047291,0.057151737332919506
1,N2,35.0,46.354949536388446,0.0,0,0,-34.907290100945794,0.09270989905423492
1,N3,25.0,64.13401992841493,0.0,2.6746229893583062,0.0,-27.54635494952712,0.12826803983117624
2,N1,45.0,28.795847976215025,109.89596216547011,0,0,64.953553861411,0.05759169594091167
2,N2,40.0,46.44613859830424,0.0,0,0,-39.90710772282197,0.09289227717803007
2,N3,30.0,64.09641724826112,15.0,10.174638973059906,0.0,-25.04644613858902,0.12819283447088362
3,N1,45.0,46.65219611700463,112.0,0,0,67.09330439221536,0.09330439221534834
3,N2,50.0,55.34216298364815,5.702706889624186,0,0,-44.18660878443067,0.11068432594515938
3,N3,45.0,64.03211659430904,45.0,23.034759840947686,0.0,-22.906695607784677,0.12806423316300516
4,N1,55.0,28.804628341031453,105.11547073711293,0,0,50.17307999378346,0.05760925667054107
4,N2,55.0,57.67231417689601,44.538495384102596,0,0,-10.346159987566693,0.1153446283307231
4,N3,60.0,86.53999690891203,20.0,0.0,0.0,-39.826920006216774,0.17307999378320804
5,N1,65.0,28.43773357562246,99.94312453286014,0,0,35.000000000000014,0.05687546713986982
5,N2,45.0,58.892939335504515,64.88221412135253,0,0,19.99999999999999,0.11778587864745185
5,N3,90.0,110.35256514593709,4.407058815383356,0.0,30.372236054368905,-55.0,0.22070513024773314
6,N1,55.0,28.404499460795606,105.11227373902811,0,0,50.169082737938254,0.05680899891022941
6,N2,35.0,56.47293577404297,24.548888652598368,0,0,-10.338165475876075,0.11294587152549676
6,N3,40.0,84.54136898584697,0.0,0.0,0.0,-39.830917262062115,0.1690827379378774
