investor,time,power_mw,charge_offer_mw,discharge_offer_mw,discharge_withheld_mw
I1,1,5.8691798223635825,5.869179822362961,5.869153432499598,2.6389863984732642e-05
I1,2,5.8691798223635825,5.86917982236297,5.869153432499596,2.6389863986509e-05
I1,3,5.8691798223635825,5.869179822362975,5.869153432499592,2.6389863990061713e-05
I1,4,5.8691798223635825,5.86917982236297,5.869153392603364,2.642976021860477e-05
I1,5,5.8691798223635825,5.869179822363064,5.869179819426495,2.937087906218494e-09
I1,6,5.8691798223635825,5.869179822362966,5.869153432502603,2.638986097913687e-05
I2,1,6.818325589621734,6.81832558961352,6.818178055601415,0.00014753402031963958
I2,2,6.818325589621734,6.818325589614648,6.818178055599467,0.00014753402226741485
I2,3,6.818325589621734,6.818325589614046,6.818178055592386,0.00014753402934797322
I2,4,6.818325589621734,6.818325589612696,6.8181780957854246,0.00014749383630974222
I2,5,6.818325589621734,6.8183255896136465,6.818325576972093,1.2649641334405715e-08
I2,6,6.818325589621734,6.818325589613693,6.81817807118443,0.00014751843730387293
I3,1,7.891455092197138,7.891455092190208,7.8900578016136445,0.0013972905834931382
I3,2,7.891455092197138,7.891455092190528,7.890057801613647,0.0013972905834904736
I3,3,7.891455092197138,7.8914550921908315,7.890057801613649,0.0013972905834886973
I3,4,7.891455092197138,7.891455092190841,7.890057801579893,0.0013972906172448063
I3,5,7.891455092197138,7.891455092189595,7.891454948127851,1.4406928627863635e-07
I3,6,7.891455092197138,7.89145509218969,7.890057801615404,0.0013972905817336567
I4,1,9.793275759093513,9.793275759084063,9.79256518700305,0.000710572090463657
I4,2,9.793275759093513,9.79327575908816,9.792565198095305,0.0007105609982076544
I4,3,9.793275759093513,9.793275759088212,9.792565150747828,0.0007106083456847045
I4,4,9.793275759093513,9.793275759088893,9.792565222281468,0.0007105368120452482
I4,5,9.793275759093513,9.793275759088125,9.793275706905376,5.218813647900333e-08
I4,6,9.793275759093513,9.793275759088118,9.792565308379123,0.0007104507143900207
