investor,node,x_power_mw,x_energy_mwh,ratio_hours,share_of_node_limit
I1,N1,6.630314534526883e-08,1.5354706391742753e-07,2.3158337831160543,6.630314534526884e-10
I1,N2,5.073296767846033e-08,1.1500902717029765e-07,2.26694854318816,5.073296767846033e-10
I1,N3,20.967258872425756,78.50141687929818,3.74399998382889,0.20967258872425756
I1,N4,6.630357531148969e-08,1.5354795723714355e-07,2.3158322385449908,6.630357531148969e-10
I1,N5,6.627803489911353e-08,1.535332775278706e-07,2.3165031637038487,6.627803489911353e-10
I1,N6,6.294479494510703e-08,1.512445787478994e-07,2.402813113932565,6.294479494510703e-10
I1,N7,5.088848933169619e-08,1.1537793761102252e-07,2.2672698507314246,5.088848933169619e-10
I1,N8,25.00000000036889,128.14511566090906,5.125804626360728,0.2500000000036889
I1,N9,23.661605254367164,88.58904975685576,3.743999986666378,0.23661605254367163
I2,N1,4.740193967496767e-08,1.2269679076415486e-07,2.5884339671642045,4.740193967496767e-10
I2,N2,1.5246954791702647e-08,5.9541018609219086e-08,3.9051088838815966,1.5246954791702646e-10
I2,N3,20.967259740788393,78.5014202053846,3.7439999874028778,0.20967259740788394
I2,N4,4.708857350729669e-08,1.2207720637791894e-07,2.5925016895872255,4.708857350729669e-10
I2,N5,4.773860969824637e-08,1.2348344593941395e-07,2.5866577749110693,4.773860969824637e-10
I2,N6,4.003601106046227e-08,1.0425278113492319e-07,2.6039752306362622,4.0036011060462273e-10
I2,N7,1.4412164696107475e-08,5.775319730375169e-08,4.0072534918609435,1.4412164696107476e-10
I2,N8,25.000000000441737,128.14511567432191,5.1258046268823065,0.25000000000441736
I2,N9,23.661604419448942,88.58904670102726,3.743999989629208,0.23661604419448942
I3,N1,1.2812489827097425e-07,2.839001788874395e-07,2.2158080335565424,1.2812489827097425e-09
I3,N2,6.00549794454446e-08,1.328516363793834e-07,2.212166877853468,6.00549794454446e-10
I3,N3,24.97944598231495,93.52304578082338,3.7440000009222065,0.2497944598231495
I3,N4,1.2814422281955692e-07,2.8393830515226696e-07,2.2157714090013063,1.281442228195569e-09
I3,N5,1.2840131178621305e-07,2.844628568741922e-07,2.215420176920156,1.2840131178621304e-09
I3,N6,1.1561548892702694e-07,2.5149327694746814e-07,2.175255921861847,1.1561548892702694e-09
I3,N7,6.028377808646718e-08,1.323207454457079e-07,2.1949643775795793,6.028377808646717e-10
I3,N8,25.00000000036391,128.14511581901908,5.125804632686149,0.2500000000036391
I3,N9,19.940752027262757,74.65817566094363,3.744000003554122,0.19940752027262756
I4,N1,0.0,0.0,0.0,0.0
I4,N2,0.0,0.0,0.0,0.0
I4,N3,33.0860354044709,123.87411522779391,3.7439999599061924,0.330860354044709
I4,N4,0.0,0.0,0.0,0.0
I4,N5,0.0,0.0,0.0,0.0
I4,N6,0.0,0.0,0.0,0.0
I4,N7,0.0,0.0,0.0,0.0
I4,N8,24.99999999882547,128.14511582875247,5.125804633390915,0.2499999999882547
I4,N9,32.736038298921144,122.56372579808826,3.7439999513358186,0.32736038298921144
