investor,node,x_power_mw,x_energy_mwh,ratio_hours,share_of_node_limit,access_shadow_price_eur_per_mw_day
I1,N1,1.788805366426646e-06,4.171215918742295e-06,2.331844479578458,1.788805366426646e-08,4.7920745570935554e-08
I1,N2,1.011316242977653e-06,2.265318377194622e-06,2.2399703286924053,1.011316242977653e-08,3.7905863889876054e-08
I1,N3,20.967038683654927,78.50058493601352,3.7439996234284374,0.20967038683654926,3.9858739686007325e-08
I1,N4,1.7888099846320235e-06,4.171225041463014e-06,2.331843559292899,1.7888099846320235e-08,4.792076727556111e-08
I1,N5,1.7877934307746776e-06,4.1693963415594776e-06,2.3321465834857755,1.7877934307746775e-08,4.7926125497478655e-08
I1,N6,1.2033732353163865e-06,2.9174438469434577e-06,2.4243881792637794,1.2033732353163865e-08,4.824133207949518e-08
I1,N7,1.009943446564293e-06,2.264560393909091e-06,2.2422645561123793,1.009943446564293e-08,3.7891251773031314e-08
I1,N8,24.999999984992012,128.14511298638752,5.125804522532621,0.24999999984992013,33.049139057115134
I1,N9,23.661803365872494,88.58978445923043,3.74399968968569,0.23661803365872494,4.578349212195621e-08
I2,N1,1.4847464042458554e-07,3.1620518990226925e-07,2.1296915688634304,1.4847464042458554e-09,0.0
I2,N2,1.0189542471153293e-07,2.100301271896996e-07,2.0612321680222365,1.0189542471153294e-09,0.0
I2,N3,20.967130037053476,78.50093459331919,3.7439999873416614,0.20967130037053475,0.0
I2,N4,1.4847493418755918e-07,3.1620580291618447e-07,2.129691483929141,1.4847493418755917e-09,0.0
I2,N5,1.484828875981176e-07,3.16237720654847e-07,2.129792367122958,1.484828875981176e-09,0.0
I2,N6,1.0909461821230108e-07,2.3505399109074934e-07,2.154588328393321,1.0909461821230107e-09,0.0
I2,N7,1.0907607828112502e-07,2.2348221445083786e-07,2.0488655071999426,1.09076078281125e-09,0.0
I2,N8,25.00000000556736,128.1451156915225,5.125804626519412,0.25000000005567363,35.48153230251149
I2,N9,23.661713914262005,88.58945664861422,3.743999989587283,0.23661713914262006,0.0
I3,N1,3.452132212600085e-08,8.849523226733284e-08,2.563494872656682,3.4521322126000846e-10,0.0
I3,N2,4.278299530920177e-08,1.1488757979737565e-07,2.685356155338325,4.2782995309201767e-10,0.0
I3,N3,24.979552898960083,93.52344593887467,3.743999995402965,0.24979552898960083,0.0
I3,N4,3.452332422307678e-08,8.850132334385124e-08,2.563522642605007,3.4523324223076783e-10,0.0
I3,N5,3.4333827437244386e-08,8.807582587819235e-08,2.5652783989544417,3.4333827437244386e-10,0.0
I3,N6,4.3767153999356043e-08,1.3900027476836786e-07,3.1759038929150614,4.3767153999356043e-10,0.0
I3,N7,4.278296829038538e-08,1.1488771277173993e-07,2.6853609593413523,4.2782968290385376e-10,0.0
I3,N8,25.000000005489536,128.1451158469814,5.1258046327537246,0.25000000005489537,32.89504581923248
I3,N9,19.940670035284228,74.65786850549787,3.743999994653827,0.19940670035284228,0.0
I4,N1,0.0,0.0,0.0,0.0,0.0
I4,N2,0.0,0.0,0.0,0.0,0.0
I4,N3,33.08627838033152,123.87502492943186,3.7439999599069638,0.3308627838033152,0.0
I4,N4,0.0,0.0,0.0,0.0,0.0
I4,N5,0.0,0.0,0.0,0.0,0.0
I4,N6,0.0,0.0,0.0,0.0,0.0
I4,N7,0.0,0.0,0.0,0.0,0.0
I4,N8,25.000000003951094,128.14511585502544,5.125804633390916,0.25000000003951095,35.03645476504399
I4,N9,32.73581268458128,122.56288109806023,3.7439999513373285,0.32735812684581284,0.0
