iteration,investor,termination,solve_seconds,optimistic_mpec_profit_eur_per_day,max_access_shadow_price_eur_per_mw_day,strong_duality_gap,total_power_mw,total_energy_mwh,max_rel_delta_power,max_rel_delta_energy,max_undamped_delta_power_mw
61,I1,optimal,8.029600400011986,3127.6858065795504,32.9283150379533,0.00027434335788711905,17.763925645218286,80.62155398775941,2.5912888010604352e-05,2.9260122885144468e-05,7.456258253046855e-05
61,I2,optimal,10.861577900010161,3527.2971015840412,35.36075286911076,0.0002733023720793426,22.15042476581973,93.07443826676526,7.2569592414586726e-06,4.537161498392836e-06,5.054469362787095e-05
61,I3,optimal,21.422846999950707,141029.5507960387,32.94142892387471,0.0008766691898927093,69.58235965863881,220.2575509422789,1.3331450636766634e-06,1.8962557730838625e-06,6.28442911429201e-05
61,I4,optimal,5.862172199995257,210287.58499529376,33.05465285702494,0.0014714798307977617,85.95458099924237,238.13185371854885,5.361883401229584e-05,5.417373328490402e-05,0.00013502738525161817
