hour,lambda_system,system_net_injection_residual_mw
1,60.00000049930246,3.657514798558525e-14
2,60.000000344112316,-3.086860670400427e-14
3,59.99999946189113,-4.1878020370297466e-14
4,59.999982006473076,1.0175642700659165e-14
5,60.00000001798441,1.5780987923710267e-14
6,60.00000052335839,-4.1953882550186415e-14
7,60.0000005939399,5.6085812263993035e-15
8,60.000000608060574,-1.3491486348764745e-14
9,60.00000051812208,-2.9803085350170815e-14
10,52.20000067456564,-2.911816615118808e-14
11,60.000000379266716,-4.474978424833813e-16
12,52.200001233413076,1.198832133854164e-14
13,52.20000049465,-7.433321318312637e-14
14,52.20000040105201,4.519570537869487e-14
15,52.20000011328801,6.625412664073335e-14
16,59.99999601598353,-7.55407733297575e-14
17,52.200000607819184,3.2339166454780965e-14
18,60.00000050117758,7.160123293221831e-14
19,60.00000073232264,-4.020607379822051e-14
20,60.00000099029212,2.2777931344685773e-14
21,60.000000811743675,9.506532737685709e-14
22,60.00000062427575,8.085873198337396e-14
23,60.00000058056743,-1.8094628703499063e-14
24,60.00000054597646,1.4999369679919914e-14
