iteration,investor,max_rel_delta_offer,max_rel_delta_price,charge_offer_capacity_hours_mwh,discharge_offer_capacity_hours_mwh,mean_charge_bid_price_eur_per_mwh,mean_discharge_offer_price_eur_per_mwh
1,I1,2.801053341754561,2.174499480018802,1005.2763633483979,890.3438183010228,-72.67825841183527,10.704596077130255
1,I2,17.500000433118107,4.740389089161282,1134.7887889944182,896.9876107750197,-26.68108761413927,-4.830792751827948
1,I3,18.214459071811817,27.417375614329117,1689.737915789378,1466.827070423067,-17.26287709456336,17.129692103386596
1,I4,30.82732856236973,6.878184515591809,2497.596048912123,2238.7164316433023,-29.28214300597163,20.490483142998286
2,I1,0.6999999998828551,7.574055044176157,482.45297835446644,338.8049662954645,-52.2648486567171,0.36535224800331717
2,I2,0.7095272606082247,1.3781399294819208,813.2417080382208,600.1740020551756,-26.026418457522055,-4.159003368972388
2,I3,22.105530183918333,4.607310172905838,1552.393707682512,1435.095133449316,-15.407029352767479,18.942850815435804
2,I4,4.231278731101897,74.81276022213855,2536.5927739480053,2433.5658756358043,-39.42163370198396,62.588480035577014
3,I1,0.6999981171883846,8.750276411823512,165.91353522070992,112.78595024568708,-37.900703036026975,20.896860332635946
3,I2,19.782805682930746,3.524193395504,768.3884767926862,533.5441961975566,-24.983790520307654,-1.0328976488106443
3,I3,1.4469485831114348,146.13277646010735,1573.7896250286628,1498.6729904526167,-75.43909325948704,92.41177921046379
3,I4,9.57389949695971,4.897128351455466,3188.977898943785,3171.530589072253,-83.98262872791705,83.03727613141707
4,I1,6.652924075669128,22.464956592893696,309.45395325403445,281.69662284221124,-74.59084981558999,31.44522975497372
4,I2,8.479161020106748,205.56793095033674,916.2944956551861,653.3975359898469,-49.289477046805196,35.3769643554045
4,I3,34.83592823338262,4.090036096150626,2278.227238028374,2239.0096559380854,-64.2408145792696,67.40189549273552
4,I4,0.5281571678078183,240.89621336986272,3590.6145635819717,3578.138202634993,-92.37217140811616,89.45695686368533
5,I1,3.9060892619958016,1.4260734687315975,186.58436059143716,177.75714409482342,-28.126653188858604,14.656273290500648
5,I2,16.670775993347455,18.789013774860702,740.2482312398937,587.1094111016498,-88.01725504989045,82.19512289895253
5,I3,8.954599020065297,19.736738906137866,2426.20712973574,2340.1927907834884,-61.2087799421629,60.56507969019013
5,I4,9.976060694475034,10.934430390996715,4155.2254977277635,4201.974587067225,-104.51576517618209,125.99921317554757
6,I1,1.5829294776237302,4.567375290752073,101.84808915864613,84.40576510398078,-23.342874720169387,12.055024071373017
6,I2,18.07132027891195,0.9473855467770766,767.2681915618373,742.3863037450162,-70.24426291135681,65.515228530023
6,I3,5.8657561178186794,1.0185053725081845,2633.0252306955394,2548.961545901309,-61.35844841508341,60.502807656644116
6,I4,9.770584561665101,1.9457968364114,4275.256744745607,4305.1936189226135,-105.88979668457061,126.39799447626943
7,I1,1.4786958622267805,4.552481248476903,171.94722098403162,161.62947372917142,-23.440217558345314,12.066537974308032
7,I2,1.1025330652643437,5.401855319657568,702.1404795031991,713.3099149223505,-64.95057351864486,61.13082654618835
7,I3,2.572214945477375,3.7919212423034305,2718.415582075793,2618.9548343263964,-61.88840071984512,60.23671052122673
7,I4,8.792071700502463,1.0577077094501293,4510.65170269749,4518.491065999994,-105.73427877913448,126.24501554196867
