iteration,investor,termination,solve_seconds,optimistic_mpec_profit_eur_per_day,max_access_shadow_price_eur_per_mw_day,strong_duality_gap,total_power_mw,total_energy_mwh,max_rel_delta_power,max_rel_delta_energy,max_undamped_delta_power_mw
1,I1,optimal,38.41954919998534,1623.0488067884164,5.40256765677339,0.0007197326049208641,44.6044463619282,124.53341303958175,0.6999979321853879,0.6999979081138641,27.15026272698367
1,I2,optimal,22.2411808000179,2806.364922545876,76.77285312382581,0.00065083202207461,50.02183888452991,148.05076202059587,4.707679980775169,4.707680398302305,25.966156891274373
1,I3,optimal,106.01793930004351,146324.74272870264,24.087605612871652,0.001142019871622324,73.78752414327366,225.4863210704419,0.15418447697677973,0.06795079806575793,7.350439160310369
1,I4,optimal,74.40102019999176,243689.530258795,32.92921482714612,0.0013792146928608418,111.36648663405894,313.1023881959175,0.6999984311827561,0.9192966925317193,27.944695058298564
2,I1,optimal,70.37861869996414,207.78492611362944,6.601522450087633e-07,0.0017490102327428758,21.245238573475635,55.15340449424674,0.6999999043616935,0.699999905508314,13.765809429450098
2,I2,optimal,62.80350180005189,2634.638392975747,1.72522485671818e-06,0.001597821363247931,35.56332931780963,102.13857448229743,0.6999999498358445,0.6999999511156189,7.789847728448499
2,I3,optimal,81.52554760000203,146216.83106821837,32.92843043679484,0.0018890831852331758,66.25225952746085,230.79405591997812,0.2561311276581056,0.31785629082706096,9.820360803450118
2,I4,optimal,22.540148200001568,242336.74991542153,32.92898529128219,0.002129965170752257,108.56824389747332,350.8270908108943,0.6999947766752783,0.6999947134702086,8.383408589811923
3,I1,optimal,20.356860699946992,60.25368318757117,6.285136276273158e-07,0.000571959069930017,7.256062637394792,19.023843131622396,0.6999796582930613,0.6999816331280064,14.10351797099983
3,I2,optimal,77.95989040005952,2166.577140127785,9.676434454700264e-07,0.0017338348552584648,32.90131293850488,84.70890923893187,0.6999996327665062,0.6999996310702693,1.9851731971934723
3,I3,optimal,123.70344509999268,143558.2930119564,24.898428226918448,0.0025037621380761266,66.81599619469122,233.5911886399121,0.22970805753151297,0.2858963955597179,9.715185018986869
3,I4,optimal,12.632375000044703,242572.00213210817,29.727543353688596,0.0021068256464786828,134.3771251520472,362.53735060484615,0.6999813938861025,0.6999811813628941,32.41992077978625
4,I1,optimal,13.268748600035906,1084.8324891149941,22.244280956081337,0.0020613684318959713,13.291459469382177,33.260915668371716,6.139753840859083,6.0813449235168555,8.771076915512976
4,I2,optimal,54.54499450000003,2506.3703186793427,15.622516853225104,0.002813800470903516,38.69791591709453,85.2954933626344,2.6326408244871518,2.7174995686826846,9.568810437053513
4,I3,optimal,49.765020100050606,139108.2480055407,91.13168075267087,0.002803178387694061,101.77272961229787,264.31147129113657,21.352563351823566,21.35256387014757,32.54846827346145
4,I4,optimal,22.279283000039868,241411.1366019496,24.899656699545428,0.0026640061696525663,150.0693034213719,383.7408367382125,0.5281561063051904,0.5281560990000046,18.636164119450996
5,I1,optimal,33.1390345999971,25.800158394179192,1.4868738829744452e-06,0.000511542399181053,7.8936897400143184,17.79078295055376,3.7810045730091413,3.7810045134975567,6.872873064322244
