iteration,investor,update_rule,selection,termination,solve_seconds,profit_eur_per_day,selected_tick_price_eur_per_mw_day,access_payment_eur_per_day,auction_strong_duality_gap,spot_strong_duality_gap,max_abs_price_dual_fraction_of_bound,max_abs_internal_dual_fraction_of_bound,embedded_storage_pair_count,variable_count,constraint_count,selected_total_bid_quantity_mw,embedded_active_award_mw,selected_total_award_mw,common_reclear_max_award_change_mw,max_quantity_change_mw,max_price_change_eur_per_mw_day,max_duration_change_hours,max_award_change_mw
1,I1,jacobi,candidate,optimal,6.540201299940236,36873.50296224153,,6.615500815651526e-06,-1.5063264539595083e-06,0.005863899074029177,1.0,0.7035022313727806,9,2681,2674,64.04228234731623,56.258747335482845,0.0008350422750786381,99.9967474448872,64.04228234731623,1.175906170857643e-07,1.3750773283476718,56.258747335482845
1,I2,jacobi,candidate,optimal,4.4387989999959245,36375.80997146468,,6.536679074686206e-06,-1.4987081666201966e-06,0.005864211765583605,1.0,0.7034934978536715,9,2681,2674,64.0547157964105,56.2587466467751,0.0008243955603732325,99.9967474448872,64.0547157964105,1.161895609891072e-07,1.3750773355082444,56.2587466467751
1,I3,jacobi,candidate,optimal,6.450593900051899,187702.49758723608,,8.411771694352811e-06,-1.4232292344512027e-06,0.00791291770292446,1.0,0.9086933200552274,9,2681,2674,61.61868823699961,56.258743797427144,0.0011940713507102366,99.9967474448872,61.61868823699961,1.49519365818785e-07,1.3750774991564167,56.258743797427144
1,I4,jacobi,candidate,optimal,14.058838400058448,161920.24611095976,,2.557006411271793e-05,-6.811970710192755e-08,0.005731556215323508,0.2013671463738148,0.960731445478375,9,2681,2674,100.0,100.00000082989526,99.9967474448872,99.9967474448872,100.0,2.5570063900513184e-07,0.7112633041011005,100.00000082989526
2,I1,jacobi,candidate,optimal,10.501262499950826,19482.807305595143,,6.541181008385953e-05,-6.647332749388081e-07,0.0029467932181432843,0.20136714620525445,0.6623883354118328,12,3200,3193,99.99999410401847,99.9999872180687,0.6721010518274699,99.99462743370364,35.95771175670224,5.36527567361768e-07,0.6638141589937998,99.99915217579361
2,I2,jacobi,candidate,optimal,11.385933000012301,18700.72237917245,,6.543715943519442e-05,-6.648758076257551e-07,0.0038681538426317275,0.20136714624905408,0.788532589693734,12,3200,3193,100.0,100.0000004588421,99.31116152252363,99.99462743370364,35.945284203589495,5.381820303603047e-07,0.6638141039501653,99.99917606328172
2,I3,jacobi,candidate,optimal,15.647057500085793,140435.40511978007,,6.47899563729185e-05,-6.447408633189651e-07,0.005229291273280978,0.20136714632982547,0.9844166929995039,12,3200,3193,99.99999772598797,99.99999422713375,0.014479447432371348,99.99462743370364,38.38130948898836,4.983802353127773e-07,0.6638141721253499,99.99880015578304
2,I4,jacobi,candidate,optimal,9.20765370002482,161920.23497907,,6.112970258575961e-05,-8.550481168560987e-07,0.005284862359985709,0.20136714637381464,0.8713871371858634,12,3200,3193,99.99999853614283,99.99999607507199,0.0021200111835669925,99.99462743370364,1.463857174144323e-06,3.555964108454334e-07,1.556738027375104e-08,0.003248630184785384
3,I1,jacobi,candidate,optimal,7.601128299953416,19482.810106803936,,0.00010498096798952178,-1.1032327918725768e-07,0.003487600653897971,0.20136714621785562,0.7252168561650781,12,3200,3193,99.99999730413651,99.99999361826727,0.010748161768161901,99.96234317369849,3.200118044333067e-06,3.9569156244373766e-07,4.4636083273985605e-08,99.3278925664398
3,I2,jacobi,candidate,optimal,7.677623499999754,18700.722905835715,,0.00010495536268907554,-1.3195294864350084e-07,0.004151429748162627,0.20136714624905294,0.8510652662776629,12,3200,3193,100.0,100.00000015117215,0.010431663415259917,99.96234317369849,0.0,3.951820339547107e-07,3.7135272634714056e-10,0.6888386286485115
3,I3,jacobi,candidate,optimal,10.59601570002269,140435.45898029848,,0.00010518963328495406,-1.1463714712808652e-07,0.013601163343992084,0.20136714632977737,0.908723741930976,12,3200,3193,99.99999751548869,99.99999404097858,0.01427213825350565,99.96234317369849,2.1049928022875974e-07,4.039967944007098e-07,1.4469861753241275e-08,99.98551459354621
3,I4,jacobi,candidate,optimal,8.17291289998684,161920.24245714035,,0.00010619180864961304,-1.3219153637990103e-07,0.00574300077278167,0.2013671463738148,0.9607323762402779,12,3200,3193,99.99999730761313,99.9999923303709,99.96446318488205,99.96234317369849,1.228529697527847e-06,4.5062111809074997e-07,2.707463231388374e-08,99.99787231918734
