configuration,pv_scale,n6_line_scale,n8_line_scale,capacity_ray_scale,n6_power_mw,n8_power_mw,termination,objective_eur_per_day,pv_curtailment_n6_mwh,pv_curtailment_n8_mwh,pv_curtailment_total_mwh,curtailed_hours_n6,curtailed_hours_n8,lambda_n6_pv_min,lambda_n6_pv_max,lambda_n8_pv_min,lambda_n8_pv_max,lambda_n6_pv_regimes,lambda_n8_pv_regimes,n6_duration_hours,n6_operating_margin_eur_per_day,n6_unit_operating_margin_eur_per_mw_day,n6_unit_capex_eur_per_mw_day,n6_unit_net_margin_eur_per_mw_day,n8_duration_hours,n8_operating_margin_eur_per_day,n8_unit_operating_margin_eur_per_mw_day,n8_unit_capex_eur_per_mw_day,n8_unit_net_margin_eur_per_mw_day
base,1.0,1.0,1.0,0.0,0.0,0.0,optimal,390528.0541432312,240.90456582368702,243.11988229364567,484.02444811733267,5,4,7.338109259494684e-11,60.00000000584814,7.156044216163637e-11,60.00000000586577,0.000|41.331|52.200|60.000,0.000|8.586|49.917|52.200|60.000,0.0,5.358518152108704e-06,,,,0.0,5.3618315385542415e-06,,,
base,1.0,1.0,1.0,0.25,16.624028328626583,21.943139300054515,optimal,385869.52852372255,180.6852303389225,182.32296167240008,363.0081920113226,5,4,1.1158488071214818e-10,60.00000000224826,9.42821008692769e-11,60.000000002266006,0.000|41.331|52.200|60.000,0.000|8.586|49.917|52.200|60.000,3.3905920000535392,2318.1457336003677,139.4454874459351,22.500084382371174,116.94540306356393,2.59333527280942,2340.3798965810415,106.65656652761746,17.705858389071004,88.95070813854645
base,1.0,1.0,1.0,0.5,33.248056657253166,43.88627860010903,optimal,381211.00290318934,120.46589484480606,121.52604103893242,241.99193588373848,5,4,1.795453583041729e-10,60.00000000100166,1.393995640524018e-10,60.000000001018286,0.000|41.331|52.200|60.000,0.000|8.586|49.917|52.200|60.000,3.3905920000535392,4636.291462218079,139.445487296072,22.500084382371174,116.94540291370083,2.59333527280942,4680.759788168846,106.65656641384074,17.705858389071004,88.95070802476974
base,1.0,1.0,1.0,0.75,49.87208498587975,65.82941790016355,optimal,376552.47728306096,60.246559349143894,60.72912040701016,120.97567975615405,5,4,3.560135943351061e-10,60.000000000549775,2.5577774913685195e-10,60.00000000056408,0.000|41.331|52.200|60.000,0.000|8.586|49.917|52.200|60.000,3.3905920000535392,6954.437190740144,139.4454872441998,22.500084382371174,116.94540286182863,2.59333527280942,7021.139679704906,106.6565663751291,17.705858389071004,88.95070798605809
base,1.0,1.0,1.0,1.0,66.49611331450633,87.77255720021806,optimal,371895.7464586636,0.0,0.0,0.0,0,0,29.908697834404226,60.0000000003531,38.495036968464625,60.000000000364544,29.909|41.331|52.200|60.000,38.495|49.917|52.200|60.000,3.3905920000535392,2068.254400973147,31.10338782044199,22.500084382371174,8.603303438070817,2.59333527280942,0.00047655991854622925,5.429486547362953e-06,17.705858389071004,-17.70585295958446
base,1.0,1.0,1.0,1.25,83.12014164313291,109.71569650027257,optimal,371895.51261458633,0.0,0.0,0.0,0,0,38.4950399984078,60.00000000030543,38.49503999829096,60.00000000031548,38.495|41.331|52.200|60.000,38.495|47.081|49.917|52.200|60.000,3.3905920000535392,5.205103877246132e-06,6.26214510027385e-08,22.500084382371174,-22.500084319749725,2.59333527280942,5.236088424532848e-06,4.772415061430923e-08,17.705858389071004,-17.705858341346854
base,1.0,1.0,1.0,1.5,99.7441699717595,131.6588358003271,optimal,371895.5126145729,0.0,0.0,0.0,0,0,38.495039999546016,60.00000000028138,38.49503999949932,60.00000000029054,38.495|41.331|52.200|60.000,38.495|47.081|49.917|52.200|60.000,3.3905920000535392,4.968249875910918e-06,4.980992751072644e-08,22.500084382371174,-22.500084332561247,2.59333527280942,4.974094286136057e-06,3.7780178260726345e-08,17.705858389071004,-17.705858351290825
base,1.0,1.0,1.0,1.75,116.36819830038608,153.6019751003816,optimal,371895.5126145836,0.0,0.0,0.0,0,0,38.49503999991515,60.000000000268216,38.495039999882074,60.00000000027684,38.495|41.331|52.200|60.000,38.495|47.081|49.917|52.200|60.000,3.3905920000535392,4.8857717981968245e-06,4.198545538691746e-08,22.500084382371174,-22.50008434038572,2.59333527280942,4.886054351677825e-06,3.180984065136339e-08,17.705858389071004,-17.705858357261164
base,1.0,1.0,1.0,2.0,132.99222662901266,175.54511440043612,optimal,371895.5126145489,0.0,0.0,0.0,0,0,38.49504000009917,60.0000000002605,38.49504000006835,60.00000000026881,38.495|41.331|52.200|60.000,38.495|47.081|49.917|52.200|60.000,3.3905920000535392,4.843467908020936e-06,3.641918050994056e-08,22.500084382371174,-22.500084345951993,2.59333527280942,4.841838945228287e-06,2.7581735679544828e-08,17.705858389071004,-17.70585836148927
base,1.0,1.0,1.0,2.25,149.61625495763926,197.48825370049065,optimal,371895.5126144662,0.0,0.0,0.0,0,0,38.49504000020917,60.00000000025569,38.495040000177646,60.00000000026381,38.495|41.331|52.200|60.000,38.495|47.081|49.917|52.200|60.000,3.3905920000535392,4.81779937582771e-06,3.220104244148986e-08,22.500084382371174,-22.50008435017013,2.5933352728094197,4.815399227256363e-06,2.438321842958501e-08,17.705858389071,-17.70585836468778
pv_0p8,0.8,1.0,1.0,0.0,0.0,0.0,optimal,415889.1620512034,21.139938383110348,0.4706991017642963,21.610637484874644,2,1,4.2148074442845944e-10,60.00000000878411,1.928741878376946e-08,60.00000000880198,0.000|33.105|41.331|52.200|60.000,0.000|8.586|41.691|49.917|52.200|60.000,0.0,5.481202268015601e-06,,,,0.0,5.468687366261465e-06,,,
pv_0p8,0.8,1.0,1.0,0.25,16.624028328626583,21.943139300054515,optimal,414953.25723510556,0.0,0.0,0.0,0,0,29.908698590143025,60.00000000601901,38.495040050188955,60.00000000604228,29.909|33.105|38.495|41.331|52.200|60.000,38.495|41.691|47.081|49.917|52.200|60.000,3.3905920000535392,232.34715751429397,13.976585754139512,22.500084382371174,-8.523498628231662,2.59333527280942,4.7279127788778265e-06,2.154620045120928e-07,17.705858389071004,-17.705858173609
pv_0p8,0.8,1.0,1.0,0.5,33.248056657253166,43.88627860010903,optimal,414847.9804795398,0.0,0.0,0.0,0,0,38.49503999207595,60.00000000543932,38.495040013425175,60.000000005470355,38.495|41.331|52.200|60.000,38.495|47.081|49.917|52.200|60.000,3.3905920000535392,5.233822686013593e-06,1.574174015632826e-07,22.500084382371174,-22.500084224953774,2.59333527280942,4.731766438801075e-06,1.0781881238819186e-07,17.705858389071004,-17.70585828125219
