iteration,investor,proximal_coefficient_eur_per_mw2_day,unpenalized_profit_eur_per_day,proximal_penalty_eur_per_day,strategic_epsilon_penalty,epsilon_penalty_eur_per_day,penalized_objective_eur_per_day
2,I2,0.0,720.4166730128236,0.0,1e-06,0.0362870802530651,720.3803859325706
2,I4,0.0,235400.96974872318,0.0,1e-06,0.11437026185703424,235400.85537846133
2,I3,0.0,145694.9600216837,0.0,1e-06,1.1299398165056007,145693.8300818672
2,I1,0.0,4004.8630550348366,0.0,1e-06,0.0075797902971283925,4004.8554752445393
3,I2,0.0,1106.7594787786745,0.0,1e-06,0.008984692652517222,1106.750494086022
3,I4,0.0,236633.83633848155,0.0,1e-06,0.011677722638530522,236633.8246607589
3,I3,0.0,147207.30378401236,0.0,1e-06,0.41497815603304067,147206.88880585632
3,I1,0.0,2432.4880403354764,0.0,1e-06,0.030124105863518262,2432.4579162296127
4,I2,0.0,193.95882195162125,0.0,1e-06,0.007500775481591906,193.95132117613966
4,I4,0.0,234678.913517742,0.0,1e-06,0.01580181948974123,234678.89771592253
4,I3,0.0,145835.27070939174,0.0,1e-06,8.358762872593267,145826.91194651916
4,I1,0.0,-0.009064875997153977,0.0,1e-06,0.002258806655398919,-0.011323682652552897
5,I2,0.0,-0.009631174431683499,0.0,1e-06,0.002008400516232834,-0.011639574947916332
5,I4,0.0,238263.30971250616,0.0,1e-06,0.07235627957660494,238263.23735622657
5,I3,0.0,150885.13334726903,0.0,1e-06,6.642888586868822,150878.49045868215
5,I1,0.0,46.17313857528382,0.0,1e-06,0.0381485028011647,46.13499007248266
6,I2,1.0,53.120257297137634,0.1984261592698012,1e-06,0.02317994965210546,52.89865118821573
6,I4,1.0,238258.50155267175,118.78672713131984,1e-06,0.040546589227381975,238139.6742789512
6,I3,1.0,150266.15909952708,7.3807650676589525,1e-06,2.895032786752288,150255.88330167267
6,I1,1.0,-0.004510645954330998,6.299687658914859,1e-06,0.02932407030597385,-6.333522375175164
7,I2,1.0,-0.00931221841510001,4.153221474065713,1e-06,0.022580268360648633,-4.185113960841462
7,I4,1.0,238452.0253138298,69.45268245329723,1e-06,0.07124284856983676,238382.50138852792
7,I3,1.0,150177.78841623885,6.338832490171269,1e-06,1.8437274299442215,150169.60585631873
7,I1,1.0,-0.00910587199458177,0.5670564094576762,1e-06,0.024024492865456763,-0.6001867743177147
8,I2,1.0,-0.009709302156592253,0.3740199454297988,1e-06,0.023438916608681186,-0.40716816419507224
