iteration,node,previous_capacity_price_eur_per_mw,capacity_price_eur_per_mw,capacity_price_change_eur_per_mw,total_power_mw,excess_mw,overload_mw,headroom_mw,projected_complementarity_residual_mw
21,N1,0.0,0.0,0.0,1.0027852384066285e-06,-99.99999899721476,0.0,99.99999899721476,0.0
21,N2,0.0,0.0,0.0,9.595675959402836e-07,-99.9999990404324,0.0,99.9999990404324,0.0
21,N3,0.0,0.0,0.0,39.498546236956,-60.501453763044,0.0,60.501453763044,0.0
21,N4,0.0,0.0,0.0,9.960534648011613e-07,-99.99999900394654,0.0,99.99999900394654,0.0
21,N5,0.0,0.0,0.0,1.0145935167502783e-06,-99.99999898540648,0.0,99.99999898540648,0.0
21,N6,0.0,0.0,0.0,9.86612746205564e-07,-99.99999901338725,0.0,99.99999901338725,0.0
21,N7,0.0,0.0,0.0,9.575251876859812e-07,-99.99999904247481,0.0,99.99999904247481,0.0
21,N8,127.29228453389138,135.31868664434734,8.026402110455962,132.10560844182385,32.10560844182385,32.10560844182385,0.0,32.10560844182385
21,N9,0.0,0.0,0.0,54.95502262510825,-45.04497737489175,0.0,45.04497737489175,0.0
22,N1,0.0,0.0,0.0,7.828731209481756e-07,-99.99999921712688,0.0,99.99999921712688,0.0
22,N2,0.0,0.0,0.0,7.80323432090904e-07,-99.99999921967657,0.0,99.99999921967657,0.0
22,N3,0.0,0.0,0.0,83.10811114117618,-16.89188885882382,0.0,16.89188885882382,0.0
22,N4,0.0,0.0,0.0,7.706746930622144e-07,-99.99999922932531,0.0,99.99999922932531,0.0
22,N5,0.0,0.0,0.0,7.895454262051215e-07,-99.99999921045458,0.0,99.99999921045458,0.0
22,N6,0.0,0.0,0.0,7.641930860979468e-07,-99.99999923580691,0.0,99.99999923580691,0.0
22,N7,0.0,0.0,0.0,8.166276130869394e-07,-99.99999918337238,0.0,99.99999918337238,0.0
22,N8,135.31868664434734,128.9036889776286,-6.414997666718733,74.34000933312504,-25.65999066687496,0.0,25.65999066687496,25.659990666874933
22,N9,0.0,0.0,0.0,91.3447166929873,-8.655283307012695,0.0,8.655283307012695,0.0
23,N1,0.0,0.0,0.0,6.527760412681543e-07,-99.99999934722396,0.0,99.99999934722396,0.0
23,N2,0.0,0.0,0.0,6.413667329543475e-07,-99.99999935863326,0.0,99.99999935863326,0.0
23,N3,0.0,0.0,0.0,81.8449984524408,-18.155001547559195,0.0,18.155001547559195,0.0
23,N4,0.0,0.0,0.0,6.477530078477421e-07,-99.99999935224699,0.0,99.99999935224699,0.0
23,N5,0.0,0.0,0.0,6.580743928097548e-07,-99.9999993419256,0.0,99.9999993419256,0.0
23,N6,0.0,0.0,0.0,6.356984199391831e-07,-99.99999936430159,0.0,99.99999936430159,0.0
23,N7,0.0,0.0,0.0,6.778111519544125e-07,-99.99999932218884,0.0,99.99999932218884,0.0
23,N8,128.9036889776286,120.39240205969435,-8.511286917934257,65.95485232826296,-34.04514767173704,0.0,34.04514767173704,34.04514767173703
23,N9,0.0,1.0554709010526082,1.0554709010526082,104.22188360421043,4.221883604210433,4.221883604210433,0.0,4.221883604210433
24,N1,0.0,0.0,0.0,3.3693637459478593e-07,-99.99999966306362,0.0,99.99999966306362,0.0
24,N2,0.0,0.0,0.0,3.2722508157106363e-07,-99.99999967277492,0.0,99.99999967277492,0.0
24,N3,0.0,15.24011062096357,15.24011062096357,160.96044248385428,60.96044248385428,60.96044248385428,0.0,60.96044248385428
24,N4,0.0,0.0,0.0,3.2690252605831584e-07,-99.99999967309748,0.0,99.99999967309748,0.0
24,N5,0.0,0.0,0.0,3.289146272419472e-07,-99.99999967108538,0.0,99.99999967108538,0.0
24,N6,0.0,0.0,0.0,3.0925235261951656e-07,-99.99999969074764,0.0,99.99999969074764,0.0
24,N7,0.0,0.0,0.0,3.396291634093753e-07,-99.99999966037083,0.0,99.99999966037083,0.0
24,N8,120.39240205969435,107.48337728640563,-12.90902477328872,48.36390090684512,-51.63609909315488,0.0,51.63609909315488,51.63609909315488
24,N9,1.0554709010526082,0.0,-1.0554709010526082,49.46580996280427,-50.53419003719573,0.0,50.53419003719573,4.221883604210433
25,N1,0.0,0.0,0.0,1.7149334280888185e-07,-99.99999982850666,0.0,99.99999982850666,0.0
25,N2,0.0,0.0,0.0,1.702452709204756e-07,-99.99999982975473,0.0,99.99999982975473,0.0
25,N3,15.24011062096357,2.312143853750923,-12.927966767212647,48.28813293114941,-51.71186706885059,0.0,51.71186706885059,51.71186706885059
25,N4,0.0,0.0,0.0,1.6824099703506287e-07,-99.999999831759,0.0,99.999999831759,0.0
25,N5,0.0,0.0,0.0,1.580314316621357e-07,-99.99999984196857,0.0,99.99999984196857,0.0
25,N6,0.0,0.0,0.0,1.7708433946227573e-07,-99.99999982291565,0.0,99.99999982291565,0.0
25,N7,0.0,0.0,0.0,1.7396461791014614e-07,-99.99999982603538,0.0,99.99999982603538,0.0
25,N8,107.48337728640563,96.82744100497459,-10.655936281431039,57.37625487427585,-42.62374512572415,0.0,42.62374512572415,42.623745125724156
25,N9,0.0,12.533689253307017,12.533689253307017,150.13475701322807,50.13475701322807,50.13475701322807,0.0,50.13475701322807
26,N1,0.0,0.0,0.0,6.855395378766105e-07,-99.99999931446047,0.0,99.99999931446047,0.0
26,N2,0.0,0.0,0.0,6.69629193562975e-07,-99.99999933037081,0.0,99.99999933037081,0.0
26,N3,2.312143853750923,14.31344341425383,12.001299560502908,148.00519824201163,48.00519824201163,48.00519824201163,0.0,48.00519824201163
26,N4,0.0,0.0,0.0,6.83705644022494e-07,-99.99999931629435,0.0,99.99999931629435,0.0
26,N5,0.0,0.0,0.0,6.873603091217896e-07,-99.99999931263969,0.0,99.99999931263969,0.0
26,N6,0.0,0.0,0.0,5.144669167783095e-07,-99.99999948553308,0.0,99.99999948553308,0.0
26,N7,0.0,0.0,0.0,6.707496260904864e-07,-99.99999932925037,0.0,99.99999932925037,0.0
26,N8,96.82744100497459,86.88705114599954,-9.940389858975053,60.238440564099776,-39.761559435900224,0.0,39.761559435900224,39.76155943590021
26,N9,12.533689253307017,0.0,-12.533689253307017,45.040428116394715,-54.959571883605285,0.0,54.959571883605285,50.13475701322807
27,N1,0.0,0.0,0.0,7.002265288534465e-07,-99.99999929977348,0.0,99.99999929977348,0.0
