n6_power_mw,n8_power_mw,termination,objective_eur_per_day,pv_curtailment_n6_mwh,pv_curtailment_n8_mwh,pv_curtailment_total_mwh,curtailed_hours_n6,curtailed_hours_n8,lambda_n6_pv_min,lambda_n6_pv_max,lambda_n8_pv_min,lambda_n8_pv_max,lambda_n6_pv_regimes,lambda_n8_pv_regimes,n6_duration_hours,n6_operating_margin_eur_per_day,n6_unit_operating_margin_eur_per_mw_day,n6_unit_capex_eur_per_mw_day,n6_unit_net_margin_eur_per_mw_day,n8_duration_hours,n8_operating_margin_eur_per_day,n8_unit_operating_margin_eur_per_mw_day,n8_unit_capex_eur_per_mw_day,n8_unit_net_margin_eur_per_mw_day
0.0,0.0,optimal,390528.0576443213,240.90458243158164,243.11988306913207,484.02446550071375,5,4,-0.0,60.0,-0.0,60.0,-0.000|41.331|52.200|60.000,-0.000|8.586|49.917|52.200|60.000,0.0,0.0,,,,0.0,0.0,,,
0.0,25.0,optimal,387861.64351343963,240.90458243158164,173.85344950050433,414.75803193208594,5,4,-0.0,60.0,-0.0,60.0,-0.000|41.331|52.200|60.000,-0.000|8.586|49.917|52.200|60.000,0.0,0.0,,,,2.59333527280942,2666.4141308816647,106.65656523526658,17.705858389071004,88.95070684619557
0.0,50.0,optimal,385195.22938255797,240.90458243158164,104.58701593187675,345.49159836345837,5,3,-0.0,60.0,-0.0,60.0,-0.000|41.331|52.200|60.000,-0.000|8.586|49.917|52.200|60.000,0.0,0.0,,,,2.59333527280942,5332.8282617633295,106.65656523526658,17.705858389071004,88.95070684619557
0.0,75.0,optimal,382528.8152516763,240.90458243158164,35.32058236324906,276.2251647948307,5,2,-0.0,60.0,-0.0,60.0,-0.000|41.331|52.200|60.000,-0.000|8.586|49.917|52.200|60.000,0.0,0.0,,,,2.59333527280942,7999.242392644996,106.65656523526661,17.705858389071004,88.9507068461956
0.0,100.0,optimal,380153.87179051025,206.95873122620284,0.0,206.95873122620284,5,0,-0.0,60.0,8.586341463414602,60.0,-0.000|41.331|52.200|60.000,8.586|49.917|52.200|60.000,0.0,0.0,,,,2.59333527280942,8286.675521234016,82.86675521234015,17.705858389071004,65.16089682326916
0.0,125.0,optimal,378082.2029102018,137.69229765757547,0.0,137.69229765757547,4,0,-0.0,60.0,8.586341463414605,60.0,-0.000|41.331|52.200|60.000,8.586|49.917|52.200|60.000,0.0,0.0,,,,2.59333527280942,10358.344401542521,82.86675521234017,17.705858389071004,65.16089682326916
0.0,150.0,optimal,376460.92703959515,79.32315506582421,0.0,79.32315506582421,3,0,-0.0,60.0,27.595108695652144,60.0,-0.000|19.009|41.331|52.200|60.000,27.595|49.917|52.200|60.000,0.0,0.0,,,,2.59333527280942,4529.996205571296,30.19997470380864,17.705858389071004,12.494116314737635
0.0,175.0,optimal,375705.9276719999,41.91363421863733,0.0,41.91363421863733,2,0,-0.0,60.0,27.595108695652144,60.0,-0.000|19.009|41.331|52.200|60.000,27.595|49.917|52.200|60.000,0.0,0.0,,,,2.59333527280942,5284.995573166514,30.199974703808653,17.705858389071004,12.49411631473765
0.0,200.0,optimal,374950.9283044047,4.504113371450416,0.0,4.504113371450416,1,0,-0.0,60.0,27.595108695652144,60.0,-0.000|19.009|41.331|52.200|60.000,27.595|49.917|52.200|60.000,0.0,0.0,,,,2.59333527280942,6039.994940761727,30.199974703808635,17.705858389071004,12.494116314737632
25.0,0.0,optimal,387041.9205004714,150.34389866946785,243.11988306913207,393.4637817385999,4,4,-0.0,60.0,-0.0,60.0,-0.000|41.331|52.200|60.000,-0.000|8.586|49.917|52.200|60.000,3.3905920000535392,3486.13714384992,139.4454857539968,22.500084382371174,116.94540137162562,0.0,0.0,,,
25.0,25.0,optimal,384375.50636958965,150.34389866946788,173.85344950050433,324.1973481699722,4,4,-0.0,60.0,-0.0,60.0,-0.000|41.331|52.200|60.000,-0.000|8.586|49.917|52.200|60.000,3.3905920000535392,3486.13714384992,139.4454857539968,22.500084382371174,116.94540137162562,2.59333527280942,2666.4141308816647,106.65656523526658,17.705858389071004,88.95070684619557
25.0,50.0,optimal,381709.09223870805,150.34389866946788,104.58701593187675,254.93091460134463,4,3,-0.0,60.0,-0.0,60.0,-0.000|41.331|52.200|60.000,-0.000|8.586|49.917|52.200|60.000,3.3905920000535392,3486.13714384992,139.4454857539968,22.500084382371174,116.94540137162562,2.59333527280942,5332.82826176333,106.65656523526661,17.705858389071004,88.9507068461956
25.0,75.0,optimal,379042.6781078264,150.34389866946785,35.320582363248946,185.6644810327168,4,1,-0.0,60.0,-0.0,60.0,-0.000|41.331|52.200|60.000,-0.000|8.586|49.917|52.200|60.000,3.3905920000535392,3486.13714384992,139.4454857539968,22.500084382371174,116.94540137162562,2.59333527280942,7999.242392644996,106.65656523526661,17.705858389071004,88.9507068461956
25.0,100.0,optimal,376667.7346466604,116.39804746408925,0.0,116.39804746408925,4,0,-0.0,60.0,8.586341463414602,60.0,-0.000|41.331|52.200|60.000,8.586|49.917|52.200|60.000,3.3905920000535392,3486.1371438499195,139.4454857539968,22.500084382371174,116.94540137162562,2.59333527280942,8286.675521234018,82.86675521234018,17.705858389071004,65.16089682326918
25.0,125.0,optimal,374596.0657663518,47.13161389546164,0.0,47.13161389546164,2,0,-0.0,60.0,8.586341463414605,60.0,0.000|41.331|52.200|60.000,8.586|49.917|52.200|60.000,3.3905920000535392,3486.13714384992,139.4454857539968,22.500084382371174,116.94540137162562,2.59333527280942,10358.344401542521,82.86675521234017,17.705858389071004,65.16089682326916
25.0,150.0,optimal,373324.1399417222,0.0,0.0,0.0,0,0,20.182011169811354,60.0,38.49504,60.0,20.182|29.909|41.331|52.200|60.000,38.495|49.917|52.200|60.000,3.3905920000535392,1263.9193222805175,50.556772891220696,22.500084382371174,28.056688508849522,2.59333527280942,-9.094947017729282e-13,-6.063298011819522e-15,17.705858389071004,-17.70585838907101
25.0,175.0,optimal,373324.1399417222,0.0,0.0,0.0,0,0,20.182011169811354,60.0,38.49504,60.0,20.182|29.909|41.331|52.200|60.000,38.495|49.917|52.200|60.000,3.3905920000535392,1263.9193222805175,50.556772891220696,22.500084382371174,28.056688508849522,2.59333527280942,-2.7284841053187847e-12,-1.559133774467877e-14,17.705858389071004,-17.705858389071018
25.0,200.0,optimal,373324.1399417222,0.0,0.0,0.0,0,0,20.182011169811354,60.0,38.49504,60.0,20.182|29.909|41.331|52.200|60.000,38.495|49.917|52.200|60.000,3.3905920000535392,1263.9193222805175,50.556772891220696,22.500084382371174,28.056688508849522,2.59333527280942,-2.7284841053187847e-12,-1.3642420526593923e-14,17.705858389071004,-17.705858389071018
50.0,0.0,optimal,383555.78335662145,59.783214907354164,243.11988306913202,302.90309797648615,3,4,-2.842170943040401e-14,60.0,-0.0,60.0,-0.000|41.331|52.200|60.000,-0.000|8.586|49.917|52.200|60.000,3.3905920000535392,6972.274287699842,139.44548575399685,22.500084382371174,116.94540137162568,0.0,0.0,,,
50.0,25.0,optimal,380889.3692257398,59.783214907354136,173.85344950050438,233.63666440785852,3,4,-0.0,60.0,-0.0,60.0,-0.000|41.331|52.200|60.000,-0.000|8.586|49.917|52.200|60.000,3.3905920000535392,6972.27428769984,139.4454857539968,22.500084382371174,116.94540137162562,2.59333527280942,2666.4141308816647,106.65656523526658,17.705858389071004,88.95070684619557
50.0,50.0,optimal,378222.95509485813,59.78321490735411,104.58701593187664,164.37023083923074,3,4,-0.0,60.0,-0.0,60.0,-0.000|41.331|52.200|60.000,-0.000|8.586|49.917|52.200|60.000,3.3905920000535392,6972.27428769984,139.4454857539968,22.500084382371174,116.94540137162562,2.59333527280942,5332.8282617633295,106.65656523526658,17.705858389071004,88.95070684619557
50.0,75.0,optimal,375556.5409639764,59.783214907354136,35.32058236324906,95.1037972706032,3,2,-0.0,60.0,-0.0,60.0,-0.000|41.331|52.200|60.000,-0.000|8.586|49.917|52.200|60.000,3.3905920000535392,6972.274287699841,139.44548575399682,22.500084382371174,116.94540137162565,2.59333527280942,7999.242392644996,106.65656523526661,17.705858389071004,88.9507068461956
50.0,100.0,optimal,373181.5975028104,25.837363701975363,0.0,25.837363701975363,2,0,-0.0,60.0,8.586341463414602,60.0,-0.000|41.331|52.200|60.000,8.586|49.917|52.200|60.000,3.3905920000535392,6972.27428769984,139.4454857539968,22.500084382371174,116.94540137162562,2.59333527280942,8286.675521234018,82.86675521234018,17.705858389071004,65.16089682326918
50.0,125.0,optimal,372408.83558086795,0.0,0.0,0.0,0,0,29.90869853658539,60.0,38.49504,60.0,29.909|41.331|52.200|60.000,38.495|49.917|52.200|60.000,3.3905920000535392,1555.1699078836318,31.103398157672636,22.500084382371174,8.603313775301462,2.59333527280942,-1.1510792319313623e-12,-9.208633855450899e-15,17.705858389071004,-17.705858389071015
