time,node,demand_mw,lmp_eur_per_mwh,generation_mw,charge_mw,discharge_mw,net_injection_mw,demand_adjustment_mw
1,N1,45.0,55.84459253895692,100.0,0,0,55.11168918505558,0.11168918505557128
1,N2,35.0,55.84460013129254,14.07664539380095,0,0,-20.811665405958806,0.11168920024024545
1,N3,25.0,55.84460148012831,0.0,9.411712982034683,0.0,-34.30002377909677,0.11168920293791769
2,N1,45.0,55.801738155755906,100.0,0,0,55.111603476289176,0.11160347628919927
2,N2,40.0,55.80174631951416,13.36241638787631,0,0,-26.525980119506965,0.11160349261669866
2,N3,30.0,55.80174652547849,15.0,13.697226849810841,0.0,-28.585623356782207,0.11160349302863977
3,N1,45.0,55.75888462650853,100.0,0,0,55.11151776923071,0.11151776923071721
3,N2,50.0,55.758893861687405,12.648209947773687,0,0,-37.24027226452524,0.11151778770106971
3,N3,45.0,55.75889192478481,45.0,17.982763288532734,0.0,-17.87124550470547,0.11151778382727101
4,N1,55.0,57.97912744292545,100.0,0,0,45.11595825486265,0.11595825486265102
4,N2,55.0,57.97913247771338,49.652125208342454,0,0,-5.231916526725307,0.11595826493223702
4,N3,60.0,57.97913594292543,20.0,0.0,0.0,-39.88404172813734,0.11595827186264887
5,N1,65.0,28.99769017898661,99.94200461965362,0,0,35.0,0.05799538034637104
5,N2,45.0,58.892939335502724,64.88221412135256,0,0,20.0,0.1177858786474409
5,N3,90.0,109.99123947791924,0.0,0.0,34.780017521088155,-55.0,0.21998247891183656
6,N1,55.0,56.77955728962229,100.0,0,0,45.11355911455653,0.11355911455652379
6,N2,35.0,56.7795623236882,29.65932262926229,0,0,-5.227118246113046,0.11355912462465945
6,N3,40.0,56.77956578961766,0.0,0.0,0.0,-39.88644086844348,0.11355913155652253
