sweep,origin,investor,node,power_mw,energy_mwh,fleet_power_mw,fleet_energy_mwh
50,original run,I1,N1,0.000000000,0.000000000,187.182150252,547.195074137
50,original run,I1,N2,0.000000000,0.000000000,187.182150252,547.195074137
50,original run,I1,N3,8.831388925,22.274075331,187.182150252,547.195074137
50,original run,I1,N4,0.000000000,0.000000000,187.182150252,547.195074137
50,original run,I1,N5,0.000000000,0.000000000,187.182150252,547.195074137
50,original run,I1,N6,15.988682714,54.358671720,187.182150252,547.195074137
50,original run,I1,N7,0.000000000,0.000000000,187.182150252,547.195074137
50,original run,I1,N8,19.248490975,42.564145816,187.182150252,547.195074137
50,original run,I1,N9,2.779956183,9.052488992,187.182150252,547.195074137
50,original run,I2,N1,0.000000000,0.000000000,187.182150252,547.195074137
50,original run,I2,N2,0.000000000,0.000000000,187.182150252,547.195074137
50,original run,I2,N3,8.197235828,20.874645212,187.182150252,547.195074137
50,original run,I2,N4,0.000000000,0.000000000,187.182150252,547.195074137
50,original run,I2,N5,0.000000000,0.000000000,187.182150252,547.195074137
50,original run,I2,N6,16.572580937,55.977386928,187.182150252,547.195074137
50,original run,I2,N7,0.000000000,0.000000000,187.182150252,547.195074137
50,original run,I2,N8,20.418676468,46.654420385,187.182150252,547.195074137
50,original run,I2,N9,1.551791874,5.799433605,187.182150252,547.195074137
50,original run,I3,N1,0.000000000,0.000000000,187.182150252,547.195074137
50,original run,I3,N2,0.000000000,0.000000000,187.182150252,547.195074137
50,original run,I3,N3,13.548809337,49.130853192,187.182150252,547.195074137
50,original run,I3,N4,0.000000000,0.000000000,187.182150252,547.195074137
50,original run,I3,N5,0.000000000,0.000000000,187.182150252,547.195074137
50,original run,I3,N6,5.497099987,21.478645609,187.182150252,547.195074137
50,original run,I3,N7,0.000000000,0.000000000,187.182150252,547.195074137
50,original run,I3,N8,9.003512517,28.219772967,187.182150252,547.195074137
50,original run,I3,N9,17.998898540,61.308472554,187.182150252,547.195074137
50,original run,I4,N1,0.000000000,0.000000000,187.182150252,547.195074137
50,original run,I4,N2,0.000000000,0.000000000,187.182150252,547.195074137
50,original run,I4,N3,6.607759540,17.438686235,187.182150252,547.195074137
50,original run,I4,N4,0.000000000,0.000000000,187.182150252,547.195074137
50,original run,I4,N5,0.000000000,0.000000000,187.182150252,547.195074137
50,original run,I4,N6,15.794867281,52.620062416,187.182150252,547.195074137
50,original run,I4,N7,0.000000000,0.000000000,187.182150252,547.195074137
50,original run,I4,N8,17.747061153,40.887492166,187.182150252,547.195074137
50,original run,I4,N9,7.395337994,18.555821007,187.182150252,547.195074137
51,diagnostic continuation,I1,N1,0.000000000,0.000000000,187.182150255,547.195074166
51,diagnostic continuation,I1,N2,0.000000000,0.000000000,187.182150255,547.195074166
51,diagnostic continuation,I1,N3,8.981258061,22.894743612,187.182150255,547.195074166
51,diagnostic continuation,I1,N4,0.000000000,0.000000000,187.182150255,547.195074166
51,diagnostic continuation,I1,N5,0.000000000,0.000000000,187.182150255,547.195074166
51,diagnostic continuation,I1,N6,15.927754628,54.065029762,187.182150255,547.195074166
51,diagnostic continuation,I1,N7,0.000000000,0.000000000,187.182150255,547.195074166
51,diagnostic continuation,I1,N8,19.145735255,42.068913501,187.182150255,547.195074166
51,diagnostic continuation,I1,N9,2.793770760,9.220721398,187.182150255,547.195074166
51,diagnostic continuation,I2,N1,0.000000000,0.000000000,187.182150255,547.195074166
51,diagnostic continuation,I2,N2,0.000000000,0.000000000,187.182150255,547.195074166
51,diagnostic continuation,I2,N3,10.371298936,24.906273336,187.182150255,547.195074166
51,diagnostic continuation,I2,N4,0.000000000,0.000000000,187.182150255,547.195074166
51,diagnostic continuation,I2,N5,0.000000000,0.000000000,187.182150255,547.195074166
51,diagnostic continuation,I2,N6,15.304481948,52.901152184,187.182150255,547.195074166
51,diagnostic continuation,I2,N7,0.000000000,0.000000000,187.182150255,547.195074166
51,diagnostic continuation,I2,N8,18.280017461,41.466323264,187.182150255,547.195074166
51,diagnostic continuation,I2,N9,2.784486614,10.032163635,187.182150255,547.195074166
51,diagnostic continuation,I3,N1,0.000000000,0.000000000,187.182150255,547.195074166
51,diagnostic continuation,I3,N2,0.000000000,0.000000000,187.182150255,547.195074166
