grid,investor,rho_eur_per_weighted_unit_day,termination,has_solution,incumbent_profit_eur_per_day,unregularized_profit_eur_per_day,unregularized_gain_eur_per_day,weighted_l1_distance,max_power_deviation_mw,max_energy_deviation_mwh
coarse,I2,30.0,optimal,True,4216.781009328558,4216.783214763331,0.0022054347728044377,4.950038414626313e-05,1.6712480455932655e-08,3.201334689606483e-05
coarse,I3,0.0,optimal,True,125244.85304370632,125244.86056644829,0.007522741972934455,135.37280948825148,24.095220110271033,87.18231493241373
coarse,I3,0.1,optimal,True,125244.85304370632,125244.85910908288,0.006065376568585634,5.54916503244334e-05,5.292716718230395e-07,3.197456890546846e-05
coarse,I3,0.3,optimal,True,125244.85304370632,125244.85923855504,0.006194848727318458,5.5170753020326285e-05,5.634355542127878e-07,3.1867605802204935e-05
coarse,I3,1.0,optimal,True,125244.85304370632,125244.85908266086,0.006038954539690167,5.4944386560906604e-05,5.805202629716177e-07,3.183862084910061e-05
coarse,I3,3.0,optimal,True,125244.85304370632,125244.85908548818,0.0060417818604037166,5.4776587267152556e-05,6.2901124397996e-07,3.54349585585112e-05
coarse,I3,10.0,optimal,True,125244.85304370632,125262.07472538251,17.22168167619384,0.7349885595769372,0.37964826097718696,0.3553927708262705
coarse,I3,30.0,optimal,True,125244.85304370632,125259.9377853763,15.084741669983487,0.5572918608004033,0.37964826170306676,0.35528691662329237
coarse,I4,0.0,optimal,True,186213.22532716708,186213.22494077586,-0.0003863912133965641,59.61949848497649,8.233090806169034,20.961096814504472
coarse,I4,0.1,optimal,True,186213.22532716708,186213.2028510593,-0.02247610778431408,9.253046917074882e-05,2.2576925786665925e-05,4.515877002120305e-06
coarse,I4,0.3,optimal,True,186213.22532716708,186213.20304591785,-0.022281249228399247,0.00012480651653682412,2.031252753198487e-05,1.2040899038469288e-05
coarse,I4,1.0,optimal,True,186213.22532716708,186213.2249808767,-0.00034629038418643177,5.5024176582637774e-05,4.613049906510014e-07,2.8264257480259403e-05
coarse,I4,3.0,optimal,True,186213.22532716708,186213.22486631983,-0.0004608472518157214,5.384708983032441e-05,1.9294724282459832e-07,2.7909469849873858e-05
coarse,I4,10.0,optimal,True,186213.22532716708,186213.22454132888,-0.0007858382014092058,4.226978549200925e-05,1.1284857359917963e-07,2.2308359589828797e-05
coarse,I4,30.0,optimal,True,186213.22532716708,186213.22419440636,-0.0011327607207931578,1.8538288379162555e-06,1.678376363185735e-07,3.9159601612636105e-07
fine,I1,0.0,optimal,True,4404.419129579162,4404.42251008157,0.003380502408617758,4.465022292960715,0.5994765468108341,2.482673122462341
fine,I1,0.0003,optimal,True,4404.419129579162,4404.422553082115,0.003423502953410207,5.3870631281796495e-05,4.2992598991986597e-07,2.854922755801681e-05
fine,I1,0.001,optimal,True,4404.419129579162,4404.422590717663,0.00346113850173424,5.410394576932376e-05,1.282855568440766e-07,2.905891223292656e-05
fine,I1,0.003,maxIterations,False,4404.419129579162,,,,,
fine,I1,0.01,maxIterations,False,4404.419129579162,,,,,
fine,I1,0.03,optimal,True,4404.419129579162,4404.422533521284,0.003403942122531589,5.3462320996060486e-05,1.2902062707098594e-07,2.8408269024282617e-05
fine,I2,0.0,optimal,True,4216.781009328558,4216.78342057919,0.002411250631666917,60.31144436433749,8.696252435112829,20.752388481783708
fine,I2,0.0003,maxIterations,False,4216.781009328558,,,,,
fine,I2,0.001,optimal,True,4216.781009328558,4216.783435642768,0.002426314210424607,5.243680057065079,2.621601179392955,0.0005308284851963663
fine,I2,0.003,optimal,True,4216.781009328558,4216.783441286426,0.0024319578678841935,0.0056425715777078085,0.002740398940674016,0.00021504393988713844
fine,I2,0.01,optimal,True,4216.781009328558,4216.783519636736,0.002510308177988918,5.4496250936120205e-05,2.3665003046069444e-07,2.8955099104166493e-05
fine,I2,0.03,optimal,True,4216.781009328558,4216.783421939305,0.0024126107473421143,5.426081626435355e-05,1.7249078254621963e-07,2.8150792111603096e-05
fine,I3,0.0,optimal,True,125244.85304370632,125244.86056644829,0.007522741972934455,135.37280948825148,24.095220110271033,87.18231493241373
fine,I3,0.0003,maxIterations,False,125244.85304370632,,,,,
fine,I3,0.001,optimal,True,125244.85304370632,125244.8605958856,0.007552179289632477,1.2865541529228457,0.46495961707345757,0.0003675705110097738
fine,I3,0.003,optimal,True,125244.85304370632,125244.85908607645,0.0060423701361287385,0.0001543412659862374,3.161266441864541e-05,6.137725755905876e-05
fine,I3,0.01,optimal,True,125244.85304370632,125244.85907612102,0.0060324147052597255,6.188947155693101e-05,2.4432563812126773e-06,3.545638940138929e-05
fine,I3,0.03,maxIterations,False,125244.85304370632,,,,,
fine,I4,0.0,optimal,True,186213.22532716708,186213.22494077586,-0.0003863912133965641,59.61949848497649,8.233090806169034,20.961096814504472
fine,I4,0.0003,optimal,True,186213.22532716708,186213.22494988583,-0.00037728124880231917,30.654108656945805,6.607749977645841,17.438657923982788
fine,I4,0.001,optimal,True,186213.22532716708,186213.22803135568,0.0027041886060032994,0.00021226621563741332,8.143595868759235e-07,0.00015835973703914874
fine,I4,0.003,optimal,True,186213.22532716708,186213.2249450011,-0.00038216597749851644,6.054600529337256e-05,2.2082677606505285e-06,2.884086485721582e-05
fine,I4,0.01,optimal,True,186213.22532716708,186213.2249345826,-0.0003925844794139266,5.661743753543606e-05,6.992424683716081e-07,2.811194028851105e-05
fine,I4,0.03,optimal,True,186213.22532716708,186213.22492571484,-0.0004014522419311106,5.658790536297732e-05,7.000965176473528e-07,2.8412838702251975e-05
