grid,investor,rho_eur_per_weighted_unit_day,termination,has_solution,incumbent_profit_eur_per_day,unregularized_profit_eur_per_day,unregularized_gain_eur_per_day,weighted_l1_distance,max_power_deviation_mw,max_energy_deviation_mwh
coarse,I1,0.0,optimal,True,4404.419129579162,4404.42251008157,0.003380502408617758,4.465022292960715,0.5994765468108341,2.482673122462341
coarse,I1,0.1,optimal,True,4404.419129579162,4404.422538478314,0.0034088991524185985,5.346607060110902e-05,1.2714841446381797e-07,2.8388491877251454e-05
coarse,I1,0.3,optimal,True,4404.419129579162,4404.422511515206,0.003381936044206668,5.508357498941533e-05,1.862257345526577e-07,2.825127069172595e-05
coarse,I1,1.0,optimal,True,4404.419129579162,4404.422511977054,0.0033823978919826914,5.3564457708208036e-05,7.589349948489144e-08,2.8179941132577824e-05
coarse,I1,3.0,optimal,True,4404.419129579162,4404.422518753425,0.0033891742632476962,5.2960101551352215e-05,1.3307516866234437e-08,2.8206021930543557e-05
coarse,I1,10.0,optimal,True,4404.419129579162,4404.422483677145,0.0033540979829922435,5.2449592783606766e-05,1.4023850456502215e-08,2.935260425829256e-05
coarse,I1,30.0,optimal,True,4404.419129579162,4404.422339934473,0.0032103553112392547,5.018079517637931e-05,9.654922503446e-09,2.8063412472079108e-05
coarse,I2,0.0,optimal,True,4216.781009328558,4216.78342057919,0.002411250631666917,60.31144436433749,8.696252435112829,20.752388481783708
coarse,I2,0.1,maxIterations,False,4216.781009328558,,,,,
coarse,I2,0.3,optimal,True,4216.781009328558,4216.783419266172,0.0024099376141748508,5.4118512744751815e-05,1.6965848104177894e-07,2.807043752284244e-05
coarse,I2,1.0,optimal,True,4216.781009328558,4216.783421270931,0.002411942373328202,5.3395496646131745e-05,1.2564638751655366e-07,2.780377097622022e-05
coarse,I2,3.0,optimal,True,4216.781009328558,4216.7834161691335,0.0024068405755315325,5.285871272961356e-05,2.6142060960410163e-08,2.755007550181432e-05
coarse,I2,10.0,optimal,True,4216.781009328558,4216.783387889978,0.0023785614203006844,5.218626497909695e-05,1.0465390572013757e-08,3.8471229096614934e-05
