iteration,investor,update_rule,selection,termination,solve_seconds,profit_eur_per_day,selected_tick_price_eur_per_mw_day,access_payment_eur_per_day,auction_strong_duality_gap,spot_strong_duality_gap,max_abs_price_dual_fraction_of_bound,max_abs_internal_dual_fraction_of_bound,embedded_storage_pair_count,variable_count,constraint_count,selected_total_bid_quantity_mw,embedded_active_award_mw,selected_total_award_mw,common_reclear_max_award_change_mw,max_quantity_change_mw,max_price_change_eur_per_mw_day,max_duration_change_hours,max_award_change_mw
1,I1,jacobi,candidate,optimal,10.42552920000162,15934.852028470981,,3547.999899540107,3.300601747469045e-07,0.017911665607243776,0.20136714624902138,0.9803274738467075,12,3200,3193,99.99999946712599,99.99999794425206,0.05138368733141885,100.00000099997331,5.328740115828623e-07,2.429999724780437,0.7112632396227383,99.9999979788141
1,I2,jacobi,candidate,optimal,7.498938900069334,15196.717201048916,,3503.9996250789727,1.8189894035458565e-12,0.0034420786541886628,0.20136714623053018,0.7115371346144687,12,3200,3193,99.99999549907952,99.99999000815956,0.0,100.00000099997331,4.500920482541915e-06,0.44000024806940274,0.7112632750936037,1.0991813752525559e-05
1,I3,jacobi,candidate,optimal,24.340214899973944,136887.39613802405,,3547.9999924118447,-1.6370904631912708e-10,0.0036175541463308036,0.2013671463298307,0.7414568924074606,12,3200,3193,100.0,100.00000055870439,0.12152539241818028,100.00000099997331,0.0,2.579999725890133,0.7112633057261304,100.00000064399498
1,I4,jacobi,candidate,optimal,39.60543730005156,158372.2263517312,,3547.9999856440445,-1.3642420526593924e-11,0.004703573591541499,0.20136714637381511,0.893618330181433,12,3200,3193,100.0,100.00000036215432,99.82709193004122,100.00000099997331,0.0,0.4399997279480914,0.711263308072831,100.00000078245634
2,I1,jacobi,candidate,optimal,8.410338099929504,15934.809417959896,,3547.999493699549,-4.547473508864641e-13,0.0034582247026264668,0.20136714621312388,0.7208797358233422,12,3200,3193,99.99999398404617,99.99998697810295,0.0013627045964966986,99.99601257018297,5.483079817736325e-06,1.676159300245672e-07,3.0400578054923244e-08,99.94860329077153
2,I2,jacobi,candidate,optimal,16.95292990002781,15152.722943873008,,3547.999968666957,2.2737367544323206e-12,0.004117962729651481,0.20136714624905286,0.8821095547294375,12,3200,3193,100.0,100.0000001090001,99.99601257018297,99.99601257018297,4.500920482541915e-06,0.43999989606574275,4.3834671892284405e-08,100.0000001090001
2,I3,jacobi,candidate,optimal,8.752545800060034,136887.45924735413,,3547.9997908576966,-3.637978807091713e-12,0.013635143986903131,0.20136714632985434,0.9088129380984932,12,3200,3193,99.99999817436827,99.99999535824841,0.0013275920976971861,99.99601257018297,1.8256317275699985e-06,1.704197245544492e-07,2.8260644491240328e-08,99.87846996583023
2,I4,jacobi,candidate,optimal,21.335458699963056,158372.24547434217,,3547.9999776055893,-2.2737367544323206e-12,0.005864604492671788,0.2013671463738148,0.9993455423808533,12,3200,3193,100.0,100.0000006259452,0.0012981331202624874,99.99601257018297,0.0,1.7397755414094718e-07,2.4772948137297135e-09,0.17290869590398472
3,I1,jacobi,candidate,optimal,10.764992899959907,15934.800363517548,,3547.9993860815584,-9.094947017729282e-13,0.0011740861227735877,0.2013671462097586,0.814720866967529,12,3200,3193,99.99999252771104,99.99998406542302,0.16521416478074957,99.99361939618504,1.4563351271590363e-06,4.27610871156503e-08,1.9986519106396372e-09,99.99862136082652
3,I2,jacobi,candidate,optimal,5.570575300022028,15152.710102006862,,3547.9998499644,9.094947017729282e-13,0.0010351015371270478,0.2013671462491187,0.7484191408154773,12,3200,3193,99.99999911771658,99.9999972454256,0.0023931739979300695,99.99361939618504,8.822834161037463e-07,1.7102935601087665e-07,1.268836502532622e-08,0.003984675242634239
3,I3,jacobi,candidate,optimal,10.341939299949445,136887.38057657672,,3547.999767320986,0.0,0.0019342738087289035,0.20136714632983294,0.8106960496741199,12,3200,3193,99.99999789958895,99.99999480926591,0.3777679215142733,99.99361939618504,2.7477932462716126e-07,4.0588119532003475e-08,1.481433642425145e-09,99.99866721716822
3,I4,jacobi,candidate,optimal,27.089856500038877,158372.1845053311,,3547.9997659168334,0.0,0.0025328799965791404,0.20136714637381517,0.898371613282699,12,3200,3193,99.99999787936146,99.99999476873582,99.45462573970448,99.99361939618504,2.120638541214248e-06,3.874969678463458e-08,3.016061711491602e-08,99.99869663561556
