investor,node,power_mw,energy_mwh
I1,N1,1.164138786549615e-06,2.3452586201850386e-06
I1,N2,1.1648211356410857e-06,2.346626901848745e-06
I1,N3,16.260552808047702,53.4369030395644
I1,N4,1.1641387867443716e-06,2.3452586205715266e-06
I1,N5,1.164179988235848e-06,2.3453427607695217e-06
I1,N6,11.013255300561411,37.57440652440653
I1,N7,1.1648211363825017e-06,2.346626903330557e-06
I1,N8,12.472789499473562,25.18814020682477
I1,N9,1.8406265166747051,4.689534953139557
I2,N1,0.0,0.0
I2,N2,0.0,0.0
I2,N3,17.55692458195296,57.18116926163253
I2,N4,0.0,0.0
I2,N5,0.0,0.0
I2,N6,11.028092438202862,37.60453059463701
I2,N7,0.0,0.0
I2,N8,12.497909892589771,25.239306751339846
I2,N9,1.2677818324634675,2.941703599562204
I3,N1,1.1838886940816892e-06,2.3848331712938423e-06
I3,N2,1.1839677616750781e-06,2.384998231360666e-06
I3,N3,15.193059465491244,49.6517602063049
I3,N4,1.1838886964081611e-06,2.3848331759495826e-06
I3,N5,1.183265961943269e-06,2.3835921646690577e-06
I3,N6,11.377274727633468,48.022292160704296
I3,N7,1.183967764844623e-06,2.3849982377040316e-06
I3,N8,13.086871246884968,26.262678178906214
I3,N9,2.6323458613718733,8.476536126693702
I4,N1,3.924361183988026e-06,7.970165159775392e-06
I4,N2,3.9281500763131655e-06,7.977753375997856e-06
I4,N3,13.224518436417062,45.666335525433276
I4,N4,3.924610020875163e-06,7.970667799153635e-06
I4,N5,3.9281369180954555e-06,7.977842154077583e-06
I4,N6,11.612935702252372,49.045092565790966
I4,N7,3.928180561297011e-06,7.977817323878584e-06
I4,N8,13.484430816544958,27.28888668211432
I4,N9,3.797680389975316,10.340436698037857
