investor,node,hour,installed_power_mw,charge_bid_mw,discharge_bid_mw
I1,N1,1,1.164138786549615e-06,7.287572188334002e-07,5.766873493614766e-07
I1,N1,2,1.164138786549615e-06,7.295346739862377e-07,5.761428692209889e-07
I1,N1,3,1.164138786549615e-06,7.303171972557952e-07,5.755201071023053e-07
I1,N1,4,1.164138786549615e-06,7.310993506241492e-07,5.748299965321938e-07
I1,N1,5,1.164138786549615e-06,7.318749682524966e-07,5.741988111056177e-07
I1,N1,6,1.164138786549615e-06,7.326490372511832e-07,5.735217268690467e-07
I1,N1,7,1.164138786549615e-06,7.334193389262585e-07,5.728371855107799e-07
I1,N1,8,1.164138786549615e-06,7.341865549170003e-07,5.721433979083191e-07
I1,N1,9,1.164138786549615e-06,7.349521421817375e-07,5.714341814601312e-07
I1,N1,10,1.164138786549615e-06,7.381177864279028e-07,5.37206063277887e-07
I1,N1,11,1.164138786549615e-06,7.335883352490589e-07,5.726540933598435e-07
I1,N1,12,1.164138786549615e-06,7.367649058664381e-07,5.381501676631882e-07
I1,N1,13,1.164138786549615e-06,7.335462186219345e-07,5.485116958205862e-07
I1,N1,14,1.164138786549615e-06,7.356934638310952e-07,5.31474083615466e-07
I1,N1,15,1.164138786549615e-06,7.292358192997633e-07,5.431140749668827e-07
I1,N1,16,1.164138786549615e-06,7.244924445056439e-07,5.801043122929499e-07
I1,N1,17,1.164138786549615e-06,7.277632644523901e-07,5.440176648521259e-07
I1,N1,18,1.164138786549615e-06,7.229633708466813e-07,5.812401045091904e-07
I1,N1,19,1.164138786549615e-06,7.238111281566559e-07,5.806065459071801e-07
I1,N1,20,1.164138786549615e-06,7.24654501158937e-07,5.778211538738164e-07
I1,N1,21,1.164138786549615e-06,7.254836926079002e-07,5.793045271724664e-07
I1,N1,22,1.164138786549615e-06,7.263092792458598e-07,5.786362327099603e-07
I1,N1,23,1.164138786549615e-06,7.271311594399025e-07,5.779388165784662e-07
I1,N1,24,1.164138786549615e-06,7.279565675052333e-07,5.771653091698154e-07
I1,N2,1,1.1648211356410857e-06,7.288985583179252e-07,5.811016004339793e-07
I1,N2,2,1.1648211356410857e-06,7.298487659512874e-07,5.803948557589264e-07
I1,N2,3,1.1648211356410857e-06,7.308013709007028e-07,5.796086692056566e-07
I1,N2,4,1.1648211356410857e-06,7.31751001546212e-07,5.78753704931166e-07
I1,N2,5,1.1648211356410857e-06,7.326916532878919e-07,5.779548743831986e-07
I1,N2,6,1.1648211356410857e-06,7.336285277870294e-07,5.771078615167915e-07
I1,N2,7,1.1648211356410857e-06,7.345595236149929e-07,5.762504613388391e-07
I1,N2,8,1.1648211356410857e-06,7.354855774175286e-07,5.753800795629015e-07
I1,N2,9,1.1648211356410857e-06,7.364086125777415e-07,5.744886691219933e-07
I1,N2,10,1.1648211356410857e-06,7.394657356174416e-07,5.404997897482435e-07
I1,N2,11,1.1648211356410857e-06,7.376566877241117e-07,5.418567963824912e-07
I1,N2,12,1.1648211356410857e-06,7.35815047001168e-07,5.431976810235027e-07
I1,N2,13,1.1648211356410857e-06,7.339400895697527e-07,5.445153982519316e-07
I1,N2,14,1.1648211356410857e-06,7.320299726168266e-07,5.45808849233354e-07
I1,N2,15,1.1648211356410857e-06,7.300822808003849e-07,5.470795919613651e-07
I1,N2,16,1.1648211356410857e-06,7.280940185160524e-07,5.483320251861894e-07
