hour,node,tier,wtp_eur_per_mwh,shed_mw,bound_mw,xi_shed_dual
1,N1,T_VOLL,10000.0,-9.15456130055194e-09,41.94,-1.9058934474718011e-07
1,N2,T_VOLL,10000.0,-9.154561300496508e-09,251.64,-2.343155744465105e-08
1,N3,T_VOLL,10000.0,-9.154561300554225e-09,251.64,-2.343155744464516e-08
1,N4,T_VOLL,10000.0,-9.154561300570644e-09,251.64,-2.343155744456118e-08
1,N5,T_VOLL,10000.0,-9.154561300660812e-09,41.94,-1.9058934474787563e-07
2,N1,T_VOLL,10000.0,-9.154561301373149e-09,40.44,-1.9802960227152636e-07
2,N2,T_VOLL,10000.0,-9.154561301330084e-09,242.64,-2.467160037435362e-08
2,N3,T_VOLL,10000.0,-9.15456130137417e-09,242.64,-2.4671600374394018e-08
2,N4,T_VOLL,10000.0,-9.15456130139014e-09,242.64,-2.4671600374451335e-08
2,N5,T_VOLL,10000.0,-9.154561301483246e-09,40.44,-1.9802960227153626e-07
3,N1,T_VOLL,10000.0,-9.15456130143429e-09,39.54,-2.0276472216711846e-07
3,N2,T_VOLL,10000.0,-9.15456130139486e-09,237.24,-2.546078702860984e-08
3,N3,T_VOLL,10000.0,-9.154561301435318e-09,237.24,-2.546078702861053e-08
3,N4,T_VOLL,10000.0,-9.154561301456484e-09,237.24,-2.5460787028543174e-08
3,N5,T_VOLL,10000.0,-9.154561301554156e-09,39.54,-2.0276472216791091e-07
4,N1,T_VOLL,10000.0,-9.154561301398575e-09,37.8,-2.125586538158012e-07
4,N2,T_VOLL,10000.0,-9.154561301391664e-09,226.8,-2.7093108970951827e-08
4,N3,T_VOLL,10000.0,-9.154561301430087e-09,226.8,-2.7093108970967236e-08
4,N4,T_VOLL,10000.0,-9.154561301444632e-09,226.8,-2.7093108970938258e-08
4,N5,T_VOLL,10000.0,-9.154561301540529e-09,37.8,-2.1255865381644016e-07
5,N1,T_VOLL,10000.0,-9.154561301313774e-09,38.58,-2.0805902318187518e-07
5,N2,T_VOLL,10000.0,-9.154561301342626e-09,231.48,-2.6343170531526304e-08
5,N3,T_VOLL,10000.0,-9.15456130138624e-09,231.48,-2.6343170531535367e-08
5,N4,T_VOLL,10000.0,-9.154561301399794e-09,231.48,-2.6343170531489118e-08
5,N5,T_VOLL,10000.0,-9.154561301495585e-09,38.58,-2.0805902318258428e-07
6,N1,T_VOLL,10000.0,-9.154561300882177e-09,42.36,-1.886004984636539e-07
6,N2,T_VOLL,10000.0,-9.154561300998017e-09,254.16,-2.3100083076438488e-08
6,N3,T_VOLL,10000.0,-9.154561301049652e-09,254.16,-2.3100083076458046e-08
6,N4,T_VOLL,10000.0,-9.154561301051579e-09,254.16,-2.3100083076447326e-08
6,N5,T_VOLL,10000.0,-9.154561301140165e-09,42.36,-1.8860049846419127e-07
7,N1,T_VOLL,10000.0,-9.155349687575572e-09,51.9,-1.5209474208967117e-07
7,N2,T_VOLL,10000.0,-9.083614804361919e-09,311.4,-1.7414218111151524e-08
7,N3,T_VOLL,10000.0,-9.098125524962319e-09,311.4,-1.7015790349352076e-08
7,N4,T_VOLL,10000.0,-9.135759388207135e-09,311.4,-1.7015790348885778e-08
7,N5,T_VOLL,10000.0,-9.151943839029138e-09,51.9,-1.5209474208989315e-07
8,N1,T_VOLL,10000.0,-9.154561300645557e-09,59.7,-1.309165345864213e-07
8,N2,T_VOLL,10000.0,-9.08341975046454e-09,358.2,-1.682182095665384e-08
