investor,node,x_power_mw,x_energy_mwh,ratio_hours,share_of_node_limit,last_best_response_access_shadow_price_eur_per_mw_day
I2,N1,0.0,0.0,0.0,0.0,-6.420698090468166e-08
I2,N2,0.0,0.0,0.0,0.0,0.0
I2,N3,0.0025472317770950186,0.009433852906517815,3.7035706728174613,2.5472317770950185e-05,-5.56130796698626e-07
I2,N4,0.0,0.0,0.0,0.0,-6.42049349929391e-08
I2,N5,0.0,0.0,0.0,0.0,-6.280889415612588e-08
I2,N6,0.0,0.0,0.0,0.0,-6.938282784915412e-08
I2,N7,0.0,0.0,0.0,0.0,0.0
I2,N8,3.279574409404284,17.178831526976673,5.238128300341601,0.03279574409404284,35.3617500807566
I2,N9,0.6735506019144898,2.521622781278801,3.743776301455866,0.006735506019144898,1.5323696507491902e-06
I1,N1,0.0,0.0,0.0,0.0,1.204025990954451e-07
I1,N2,0.0,0.0,0.0,0.0,1.0671960669815362e-07
I1,N3,8.041580684775708,25.664641324427052,3.191492112118611,0.08041580684775708,2.4640195793631586e-06
I1,N4,0.0,0.0,0.0,0.0,1.2040202604828078e-07
I1,N5,0.0,0.0,0.0,0.0,1.2024800165193247e-07
I1,N6,0.0,0.0,0.0,0.0,1.1240331056621928e-07
I1,N7,0.0,0.0,0.0,0.0,1.0671803307586916e-07
I1,N8,28.236797639961846,122.62357663282384,4.3426870920830645,0.28236797639961847,32.92963799189107
I1,N9,0.002580342507996194,0.007089707224429624,2.747583781013339,2.580342507996194e-05,-1.892103072937851e-06
I4,N1,0.0,0.0,0.0,0.0,9.414969976765814e-08
I4,N2,0.0,0.0,0.0,0.0,9.379803350886395e-08
I4,N3,42.6134657903047,86.50011982330966,2.029877603689065,0.426134657903047,2.720583465659947e-06
I4,N4,0.0,0.0,0.0,0.0,9.410475771848574e-08
I4,N5,0.0,0.0,0.0,0.0,9.408022946903428e-08
I4,N6,0.0,0.0,0.0,0.0,9.381942395282892e-08
I4,N7,0.0,0.0,0.0,0.0,9.374490521201466e-08
I4,N8,37.32273067293164,156.28206761818055,4.187316008244925,0.3732273067293164,32.932840695565595
I4,N9,4.1014641012577413e-05,0.00010518471991556351,2.5645651727954393,4.101464101257741e-07,1.673542895131257e-07
I3,N1,0.0,0.0,0.0,0.0,9.231265195270082e-08
I3,N2,0.0,0.0,0.0,0.0,9.19801132962486e-08
I3,N3,0.0,0.0,0.0,0.0,1.8561192859986718e-07
I3,N4,0.0,0.0,0.0,0.0,9.232622513175964e-08
I3,N5,0.0,0.0,0.0,0.0,9.237018340737538e-08
I3,N6,0.0,0.0,0.0,0.0,9.207380594865128e-08
I3,N7,0.0,0.0,0.0,0.0,9.19799929655109e-08
I3,N8,31.160897318018986,133.06284224449735,4.270186473980417,0.3116089731801899,32.62729325190008
I3,N9,44.11723073127724,88.23450761638546,2.0000010461633746,0.4411723073127724,-9.379897833623799e-06
