investor,node,hour,installed_power_mw,charge_bid_mw,discharge_bid_mw,bid_charge_eur_per_mwh,offer_discharge_eur_per_mwh
I1,N1,1,0.0,0.0,0.0,-7.5,7.5
I1,N1,2,0.0,0.0,0.0,-7.5,7.5
I1,N1,3,0.0,0.0,0.0,-7.5,7.5
I1,N1,4,0.0,0.0,0.0,-7.5,7.5
I1,N1,5,0.0,0.0,0.0,-7.5,7.5
I1,N1,6,0.0,0.0,0.0,-7.5,7.5
I1,N1,7,0.0,0.0,0.0,-7.5,7.5
I1,N1,8,0.0,0.0,0.0,-7.5,7.5
I1,N1,9,0.0,0.0,0.0,-7.5,7.5
I1,N1,10,0.0,0.0,0.0,-7.5,7.5
I1,N1,11,0.0,0.0,0.0,-7.5,7.5
I1,N1,12,0.0,0.0,0.0,-7.5,7.5
I1,N1,13,0.0,0.0,0.0,-7.5,7.5
I1,N1,14,0.0,0.0,0.0,-7.5,7.5
I1,N1,15,0.0,0.0,0.0,-7.5,7.5
I1,N1,16,0.0,0.0,0.0,-7.5,7.5
I1,N1,17,0.0,0.0,0.0,-7.5,7.5
I1,N1,18,0.0,0.0,0.0,-7.5,7.5
I1,N1,19,0.0,0.0,0.0,-7.5,7.5
I1,N1,20,0.0,0.0,0.0,-7.5,7.5
I1,N1,21,0.0,0.0,0.0,-7.5,7.5
I1,N1,22,0.0,0.0,0.0,-7.5,7.5
I1,N1,23,0.0,0.0,0.0,-7.5,7.5
I1,N1,24,0.0,0.0,0.0,-7.5,7.5
I1,N2,1,0.0,0.0,0.0,-7.5,7.5
I1,N2,2,0.0,0.0,0.0,-7.5,7.5
I1,N2,3,0.0,0.0,0.0,-7.5,7.5
I1,N2,4,0.0,0.0,0.0,-7.5,7.5
I1,N2,5,0.0,0.0,0.0,-7.5,7.5
I1,N2,6,0.0,0.0,0.0,-7.5,7.5
I1,N2,7,0.0,0.0,0.0,-7.5,7.5
I1,N2,8,0.0,0.0,0.0,-7.5,7.5
I1,N2,9,0.0,0.0,0.0,-7.5,7.5
I1,N2,10,0.0,0.0,0.0,-7.5,7.5
I1,N2,11,0.0,0.0,0.0,-7.5,7.5
I1,N2,12,0.0,0.0,0.0,-7.5,7.5
I1,N2,13,0.0,0.0,0.0,-7.5,7.5
I1,N2,14,0.0,0.0,0.0,-7.5,7.5
I1,N2,15,0.0,0.0,0.0,-7.5,7.5
I1,N2,16,0.0,0.0,0.0,-7.5,7.5
I1,N2,17,0.0,0.0,0.0,-7.5,7.5
I1,N2,18,0.0,0.0,0.0,-7.5,7.5
I1,N2,19,0.0,0.0,0.0,-7.5,7.5
I1,N2,20,0.0,0.0,0.0,-7.5,7.5
I1,N2,21,0.0,0.0,0.0,-7.5,7.5
I1,N2,22,0.0,0.0,0.0,-7.5,7.5
I1,N2,23,0.0,0.0,0.0,-7.5,7.5
I1,N2,24,0.0,0.0,0.0,-7.5,7.5
I1,N3,1,22.962602786576888,0.0011248828574426466,5.869624390057075,-0.008437930034307796,0.007126839478237739
I1,N3,2,22.962602786576888,0.0011249290214030636,4.822670003922162,-0.008437925787076868,0.007126838643798384
I1,N3,3,22.962602786576888,0.0011248820539856744,0.0027070525351354695,-0.00843786189265818,0.0071271170329415484
I1,N3,4,22.962602786576888,0.001124882986314681,0.002552277572737425,-0.008437862371395325,0.007127113778655094
I1,N3,5,22.962602786576888,0.001124877180797406,0.002810431432627236,-0.00843786106569651,0.007127123097363066
I1,N3,6,22.962602786576888,0.0011248803750408662,6.304372260244134,-0.008437930786474888,0.007126838500223881
I1,N3,7,22.962602786576888,0.0011248838007162517,7.978660207229859,-0.008437937763105799,0.0071268098518170965
I1,N3,8,22.962602786576888,0.0011249308683579505,0.012794223093678142,-0.008437955344089955,0.007126779614522754
I1,N3,9,22.962602786576888,0.0011250690213446544,0.007323403480327794,-0.008441380642814375,0.0071158300274702605
I1,N3,10,22.962602786576888,0.0011232958383922845,1.1535395487157886e-07,-0.008438480455671573,0.007126319359294589
I1,N3,11,22.962602786576888,0.0011219414392722833,1.0348614407285989e-07,-0.00843875151149542,0.007126209521865019
I1,N3,12,22.962602786576888,12.518231088083176,9.60050514845144e-08,-0.008431710364309964,0.007128747340516769
I1,N3,13,22.962602786576888,22.96260261154241,0.0011252137719959,-0.00840259517233016,0.007145167804819301
I1,N3,14,22.962602786576888,22.962602686027083,0.0011253005014427578,-0.008402605929092552,0.007145155272477071
I1,N3,15,22.962602786576888,20.28547308883832,0.0011105519951139767,-0.008416713514839339,0.007142633622791612
I1,N3,16,22.962602786576888,1.328119769663848e-07,0.0011107547861803795,-0.008428246991846711,0.007138403701187627
I1,N3,17,22.962602786576888,1.0091852314604809e-07,2.698388579804454e-05,-0.00843055945195596,0.007132624959764638
I1,N3,18,22.962602786576888,1.0200725133719166e-07,4.396658470268619,-0.008431432940152504,0.007129078374083957
I1,N3,19,22.962602786576888,0.001124745807655893,8.945447713671484,-0.008437952749372436,0.007126751896124276
I1,N3,20,22.962602786576888,0.0011315377818288256,0.0022568275864128626,-0.008436591281143041,0.0071269490767499775
I1,N3,21,22.962602786576888,0.0011248344301263854,7.80049750046885,-0.008437958620868524,0.007126731376755433
I1,N3,22,22.962602786576888,0.0011248535416194029,8.47331807205287,-0.008437936632403392,0.007126818644047062
I1,N3,23,22.962602786576888,0.0011248663015065846,7.701574541005475,-0.008437932787668984,0.0071268323245009205
I1,N3,24,22.962602786576888,0.001124875434258865,6.651297429204654,-0.008437931116918786,0.007126837106437714
I1,N4,1,0.0,0.0,0.0,-7.5,7.5
I1,N4,2,0.0,0.0,0.0,-7.5,7.5
I1,N4,3,0.0,0.0,0.0,-7.5,7.5
