sweep,investor,termination,optimal,solve_seconds,best_feasible_objective,best_objective_bound,proximal_penalty,complementarity_epsilon,complementarity_max_product,complementarity_max_violation,primal_dual_gap_eur_per_day,profit_eur_per_day,old_power_mw,best_response_power_mw,new_power_mw,old_energy_mwh,best_response_energy_mwh,new_energy_mwh,max_raw_deviation_mw,max_raw_deviation_mwh,max_iterate_change_mw,max_iterate_change_mwh,max_raw_bid_deviation_eur_per_mwh,max_iterate_bid_change_eur_per_mwh,max_raw_quantity_bid_deviation_mw,max_iterate_quantity_bid_change_mw
1,I1,optimal,True,13.58137159992475,,,0.01,0.001,0.001003642655240971,3.642655240970955e-06,1.2043457065010443,19006.702262746898,0.0,187.18207854426427,46.79551875377382,0.0,547.1952458311406,136.79880965197154,91.91082885796631,294.8855366580019,22.977707214491577,73.72138416450048,0.01909146226542541,7.5,91.91082875218483,22.977707188046207
1,I2,optimal,True,15.832029900047928,,,0.01,0.001,0.0010036426552478702,3.642655247870167e-06,1.2059958626050502,18060.44910058318,0.0,187.18207760121865,46.79551867410515,0.0,547.1952442393354,136.79880957576412,91.91082885796631,294.8855366580019,22.977707214491577,73.72138416450048,0.01909146226542541,7.5,91.91082875218483,22.977707188046207
1,I3,optimal,True,25.534620599937625,,,0.01,0.001,0.0010015467432705543,1.5467432705543183e-06,1.150490335188806,128600.23821797359,0.0,187.1822109020174,46.79555184321023,0.0,547.1951092930188,136.79877551743732,91.91082885796631,294.8855366580019,22.977707214491577,73.72138416450048,0.01909146226542541,7.5,91.91082875218483,22.977707188046207
1,I4,optimal,True,19.971390699967742,,,0.01,0.001,0.0010000089358859752,8.935885975180219e-09,0.719724411261268,204576.71437566992,0.0,187.18206442724977,46.79551610681244,0.0,547.1950178538475,136.79875446346188,91.91082885796631,294.8855366580019,22.977707214491577,73.72138416450048,0.01909146226542541,7.5,91.91082875218483,22.977707188046207
2,I1,optimal,True,40.58683000004385,,,0.01,0.001,0.0010014511798343026,1.451179834302584e-06,2.964973334223032,4751.871553948449,46.79551875377382,46.79797900416528,46.79613293389072,136.79880965197154,136.80431956032945,136.80018532288187,0.0007652247913902954,0.0015759595590836284,0.00019130619784846203,0.00039398988977268345,0.02226869085868068,0.00556717271467017,0.004454035718091972,0.001113508929522993
2,I2,optimal,True,49.1180946000386,,,0.01,0.001,0.0010014511882846114,1.451188284611396e-06,2.9746538071194664,4515.298416697301,46.79551867410515,46.797976660280405,46.796132444285774,136.79880957576412,136.80431612101026,136.8001847276909,0.0007652247913902954,0.0015759595590836284,0.00019130619784846203,0.00039398988977268345,0.02226869085868068,0.00556717271467017,0.004454035718091972,0.001113508929522993
2,I3,optimal,True,41.85532400000375,,,0.01,0.001,0.0010000042227826789,9.535990543240561e-09,2.643311327963602,131138.119553463,46.79555184321023,46.79574466942197,46.795599167282596,136.79877551743732,136.7984071238089,136.79868161285188,0.0007652247913902954,0.0015759595590836284,0.00019130619784846203,0.00039398988977268345,0.02226869085868068,0.00556717271467017,0.004454035718091972,0.001113508929522993
2,I4,optimal,True,20.955400600098073,,,0.01,0.001,0.0010000087435550115,8.743555011524878e-09,2.0852199489600025,213157.10892112012,46.79551610681244,46.79547770118259,46.79550650540498,136.79875446346188,136.79865986398005,136.79873081359142,0.0007652247913902954,0.0015759595590836284,0.00019130619784846203,0.00039398988977268345,0.02226869085868068,0.00556717271467017,0.004454035718091972,0.001113508929522993
3,I1,optimal,True,53.071636499953456,,,0.01,0.001,0.001001451096511266,1.4510965112659625e-06,2.9502899244544096,4751.773060098482,46.79613293389072,46.796272462494635,46.796166933561935,136.80018532288187,136.8015066756236,136.8005138548906,0.0003551965981873906,0.0006594067948952897,8.879914954640356e-05,0.00016485169872737515,0.01974755749711407,0.004936889374278518,0.0035068412049453915,0.0008767103012363477
3,I2,optimal,True,45.17590679996647,,,0.01,0.001,0.001001451100416227,1.4511004162269525e-06,2.9597493523615412,4515.205117068741,46.796132444285774,46.796269007446085,46.79616585871414,136.8001847276909,136.80150096998415,136.8005123038824,0.0003551965981873906,0.0006594067948952897,8.879914954640356e-05,0.00016485169872737515,0.01974755749711407,0.004936889374278518,0.0035068412049453915,0.0008767103012363477
3,I3,maxIterations,False,100.71932729997206,,,0.01,0.001,,,,nan,46.795599167282596,46.795599167282596,46.795599167282596,136.79868161285188,136.79868161285188,136.79868161285188,0.0003551965981873906,0.0006594067948952897,8.879914954640356e-05,0.00016485169872737515,0.01974755749711407,0.004936889374278518,0.0035068412049453915,0.0008767103012363477
3,I4,optimal,True,24.679790600086562,,,0.01,0.001,0.00100000874356359,8.743563589949307e-09,2.1484006233513355,213157.14452274345,46.79550650540498,46.794536660082386,46.79526404407434,136.79873081359142,136.7966641226348,136.79821414085228,0.0003551965981873906,0.0006594067948952897,8.879914954640356e-05,0.00016485169872737515,0.01974755749711407,0.004936889374278518,0.0035068412049453915,0.0008767103012363477
4,I1,optimal,True,34.02942839998286,,,0.01,0.001,0.0010014511111503643,1.4511111503642728e-06,2.9550242894911207,4751.772153069102,46.796166933561935,46.79645837320798,46.796238910992784,136.8005138548906,136.80155258142574,136.80077173034584,0.00039661551957514973,0.0004936754626214679,9.915387989423152e-05,0.00012341886565536697,0.017818635209863404,0.004454658802465853,0.002886646680802788,0.0007216616702006972
4,I2,optimal,True,49.62703319999855,,,0.01,0.001,0.0010014511149568019,1.4511149568018598e-06,2.964607483241707,4515.204022714191,46.79616585871414,46.79645456263431,46.796237308331364,136.8005123038824,136.80154637852408,136.80076933815883,0.00039661551957514973,0.0004936754626214679,9.915387989423152e-05,0.00012341886565536697,0.017818635209863404,0.004454658802465853,0.002886646680802788,0.0007216616702006972
4,I3,optimal,True,50.62232059997041,,,0.01,0.001,0.0010000042233800628,9.535044532385259e-09,2.6765084675280377,131138.13567839577,46.795599167282596,46.79515331839105,46.79548682258303,136.79868161285188,136.7969915365832,136.7982572876143,0.00039661551957514973,0.0004936754626214679,9.915387989423152e-05,0.00012341886565536697,0.017818635209863404,0.004454658802465853,0.002886646680802788,0.0007216616702006972
4,I4,optimal,True,30.871292399941012,,,0.01,0.001,0.0010000087435628492,8.743562849222383e-09,2.159009294875432,213157.13795073295,46.79526404407434,46.79466236223096,46.79511362361349,136.79821414085228,136.79673438000444,136.7978442006403,0.00039661551957514973,0.0004936754626214679,9.915387989423152e-05,0.00012341886565536697,0.017818635209863404,0.004454658802465853,0.002886646680802788,0.0007216616702006972
5,I1,optimal,True,44.09971580002457,,,0.01,0.001,0.0010014510982809537,1.4510982809536575e-06,2.953595447295811,4751.783236166321,46.796238910992784,46.796158463794285,46.796217916713665,136.80077173034584,136.80193044541838,136.80105960293778,0.00020373802203188518,0.0003657174889397652,5.0934505507527206e-05,9.142937223316494e-05,0.016350878344640683,0.0040877195861601726,0.0024582481328641647,0.000614562033216041
5,I2,optimal,True,55.909361899946816,,,0.01,0.001,0.0010014511011769795,1.4511011769795246e-06,2.9629580945475027,4515.214669260785,46.796237308331364,46.79615426660345,46.796215821538404,136.80076933815883,136.801923749701,136.80105645666407,0.00020373802203188518,0.0003657174889397652,5.0934505507527206e-05,9.142937223316494e-05,0.016350878344640683,0.0040877195861601726,0.0024582481328641647,0.000614562033216041
5,I3,optimal,True,37.31290859996807,,,0.01,0.001,0.0010000042235474087,9.534761412364925e-09,2.6834438787191175,131138.11712176612,46.79548682258303,46.795332793948525,46.7954474329488,136.7982572876143,136.79767564017968,136.79811006958744,0.00020373802203188518,0.0003657174889397652,5.0934505507527206e-05,9.142937223316494e-05,0.016350878344640683,0.0040877195861601726,0.0024582481328641647,0.000614562033216041
5,I4,optimal,True,20.57348020002246,,,0.01,0.001,0.001000008743566927,8.743566926906754e-09,2.1661479946924374,213157.11849109505,46.79511362361349,46.79498437948589,46.795081312581594,136.7978442006403,136.7974511099818,136.79774592797568,0.00020373802203188518,0.0003657174889397652,5.0934505507527206e-05,9.142937223316494e-05,0.016350878344640683,0.0040877195861601726,0.0024582481328641647,0.000614562033216041
6,I1,optimal,True,61.86967030004598,,,0.01,0.001,0.0010014511090301974,1.4511090301973836e-06,2.9573530930792913,4751.777646892233,46.796217916713665,46.79623953573408,46.796222438986916,136.80105960293778,136.80180463167827,136.80124405394193,8.794670950429406e-05,0.00024197827319483167,2.1986677376517605e-05,6.049456830226063e-05,0.015179680580893563,0.003794920145223389,0.0022778996339587465,0.0005694749084899087
6,I2,optimal,True,48.27649439999368,,,0.01,0.001,0.0010014511118671666,1.4511118671665414e-06,2.966896887868643,4515.209216328732,46.796215821538404,46.79623489785979,46.79621986425477,136.80105645666407,136.8017974866193,136.80124022976645,8.794670950429406e-05,0.00024197827319483167,2.1986677376517605e-05,6.049456830226063e-05,0.015179680580893563,0.003794920145223389,0.0022778996339587465,0.0005694749084899087
6,I3,optimal,True,67.21122190007009,,,0.01,0.001,0.0010000042237458197,9.534541627433596e-09,2.6870378798921593,131138.10681603325,46.7954474329488,46.79563804998078,46.79549420472538,136.79811006958744,136.79795724581075,136.79807005746324,8.794670950429406e-05,0.00024197827319483167,2.1986677376517605e-05,6.049456830226063e-05,0.015179680580893563,0.003794920145223389,0.0022778996339587465,0.0005694749084899087
6,I4,optimal,True,31.550977499922737,,,0.01,0.001,0.0010000087435652805,8.743565280437335e-09,2.174309021909721,213157.10740988678,46.795081312581594,46.79526302796851,46.79512674142832,136.79774592797568,136.7977761376029,136.79775348038248,8.794670950429406e-05,0.00024197827319483167,2.1986677376517605e-05,6.049456830226063e-05,0.015179680580893563,0.003794920145223389,0.0022778996339587465,0.0005694749084899087
