iteration,investor,node,x_power_mw,x_energy_mwh,proposed_x_power_mw,headroom_mw
1,I1,N1,3.0000000000000004,6.000000000000001,0.0,87.99999602008266
1,I1,N2,3.0000000000000004,6.000000000000001,0.0,87.99999687910031
1,I1,N3,4.762770130837744,12.59981110051885,2.51824304405392,86.23722602358441
1,I1,N4,3.0000000000000004,6.000000000000001,0.0,87.99999609635074
1,I1,N5,3.0000000000000004,6.000000000000001,0.0,87.99999619998142
1,I1,N6,3.0000000000000004,6.000000000000001,0.0,87.99999620954063
1,I1,N7,3.0000000000000004,6.000000000000001,0.0,87.99999609502586
1,I1,N8,73.0,335.78843001212954,100.0,-87.201835554892
1,I1,N9,11.322235295989186,37.158448677078155,11.888907565698839,79.67776065331033
1,I2,N1,3.0000000000000004,6.000000000000001,0.0,87.99999602008266
1,I2,N2,3.0000000000000004,6.000000000000001,0.0,87.99999687910031
1,I2,N3,3.0000000000000004,6.000000000000001,0.0,86.23722602358441
1,I2,N4,3.0000000000000004,6.000000000000001,0.0,87.99999609635074
1,I2,N5,3.0000000000000004,6.000000000000001,0.0,87.99999619998142
1,I2,N6,3.0000000000000004,6.000000000000001,0.0,87.99999620954063
1,I2,N7,3.0000000000000004,6.000000000000001,0.0,87.99999609502586
1,I2,N8,32.4216584970909,148.71443120502957,42.03094071012986,-87.201835554892
1,I2,N9,3.0000000000000004,6.000000000000001,0.0,79.67776065331033
1,I3,N1,3.0000010596390103,6.000002726358179,1.513770014056289e-06,87.99999602008266
1,I3,N2,3.0000010603881844,6.000002727626085,1.5148402627514944e-06,87.99999687910031
1,I3,N3,3.0000011242242506,6.0000029876907774,1.6060346427744935e-06,86.23722602358441
1,I3,N4,3.000001059635996,6.000002726353669,1.5137657075604648e-06,87.99999609635074
1,I3,N5,3.000001060408649,6.000002727623847,1.5148694978145781e-06,87.99999619998142
1,I3,N6,3.0000010567211897,6.000002721630738,1.5096016988999021e-06,87.99999620954063
1,I3,N7,3.00000106038818,6.000002727626078,1.5148402565606789e-06,87.99999609502586
1,I3,N8,41.15820836204525,132.8371400722258,54.51172623149322,-87.201835554892
1,I3,N9,3.000001124622457,6.000002989050263,1.6066035095422782e-06,79.67776065331033
1,I4,N1,3.000002920278329,6.000006958890983,4.171826183662996e-06,87.99999602008266
1,I4,N2,3.000002060511506,6.000004660717529,2.943587865028272e-06,87.99999687910031
1,I4,N3,3.000002721353594,6.000006577991945,3.887647990537451e-06,86.23722602358441
1,I4,N4,3.000002844013258,6.000006779717991,4.0628760821195485e-06,87.99999609635074
1,I4,N5,3.0000027396099274,6.000006566720686,3.913728467003484e-06,87.99999619998142
1,I4,N6,3.000002733738184,6.000006553940471,3.905340262123362e-06,87.99999620954063
1,I4,N7,3.000002844585953,6.000006802887019,4.063694218117455e-06,87.99999609502586
1,I4,N8,40.62196869575585,83.47929306143651,53.7456695653655,-87.201835554892
1,I4,N9,3.0000029260780288,6.000006981404531,4.180111468934935e-06,79.67776065331033
2,I1,N1,0.9000000577657015,1.8000001263822243,8.252243028006329e-08,96.3999979165851
2,I1,N2,0.9000000380901952,1.8000001152442746,5.4414564295586687e-08,96.39999829401084
2,I1,N3,1.4288536631058426,3.7799885833180054,3.231979217004036e-05,95.87112620992549
2,I1,N4,0.9000000577742203,1.800000126398141,8.25346000674406e-08,96.39999791383723
2,I1,N5,0.9000000580744372,1.800000127059548,8.296348137471742e-08,96.39999794157724
2,I1,N6,0.9000000563336901,1.8000001342796688,8.047669980554552e-08,96.39999804862816
2,I1,N7,0.9000000382536069,1.8000001154135752,5.464800946536529e-08,96.39999805494732
2,I1,N8,62.298038798717386,317.1722768430229,57.7114839981677,-94.27354048432679
2,I1,N9,6.506429590573937,17.367052612145535,4.4425128596816865,80.889446774241
2,I2,N1,0.9000000242881423,1.8000000653255217,3.4697345831672975e-08,96.3999979165851
2,I2,N2,0.9000000169289138,1.8000000837214984,2.4184162242408017e-08,96.39999829401084
2,I2,N3,0.9000185429199167,1.8000370892117337,2.6489885594958413e-05,95.87112620992549
2,I2,N4,0.9000000242908844,1.800000065331206,3.4701263075407156e-08,96.39999791383723
2,I2,N5,0.9000000244469574,1.800000065895606,3.492422450029618e-08,96.39999794157724
2,I2,N6,0.9000000235599585,1.8000000786777517,3.365708322718459e-08,96.39999804862816
2,I2,N7,0.9000000167900124,1.8000000838015424,2.3985731614715498e-08,96.39999805494732
2,I2,N8,25.31963389859192,132.1853831011087,22.275909070663786,-94.27354048432679
2,I2,N9,10.804122005403352,21.608244014187264,14.14874572200479,80.889446774241
2,I3,N1,0.9000011252775665,1.8000028837688806,1.1534083761275023e-06,96.3999979165851
2,I3,N2,0.9000010328165898,1.8000026582837279,1.0210001920624643e-06,96.39999829401084
2,I3,N3,0.9000007655504089,1.800002381921291,6.118330478651392e-07,95.87112620992549
2,I3,N4,0.9000011508936923,1.8000029346063984,1.1900041333545685e-06,96.39999791383723
2,I3,N5,0.9000011540183881,1.8000029397096808,1.1941368474387466e-06,96.39999794157724
2,I3,N6,0.9000010513567273,1.8000027378743504,1.0490576716656433e-06,96.39999804862816
2,I3,N7,0.9000010366332806,1.8000026784733913,1.026452609262962e-06,96.39999805494732
2,I3,N8,51.912585486732844,166.28484674858805,56.52160425445611,-94.27354048432679
2,I3,N9,0.9000007498577639,1.8000023270624697,5.892443237476692e-07,80.889446774241
2,I4,N1,0.9000008760834988,1.800002087667295,0.0,96.3999979165851
2,I4,N2,0.9000006181534519,1.800001398215259,0.0,96.39999829401084
2,I4,N3,0.9000008184983338,1.8000019902168973,2.9889363591374406e-09,95.87112620992549
2,I4,N4,0.9000008532039775,1.8000020339153975,0.0,96.39999791383723
2,I4,N5,0.9000008218829784,1.8000019700162062,0.0,96.39999794157724
2,I4,N6,0.9000008201214553,1.800001966976115,0.0,96.39999804862816
2,I4,N7,0.9000008533757861,1.800002040866106,0.0,96.39999805494732
2,I4,N8,54.743282300284626,110.15717136072914,60.79527384508268,-94.27354048432679
2,I4,N9,0.9000008799239516,1.8000021112879065,3.0007754585471434e-09,80.889446774241
3,I1,N1,0.27000001791086775,0.5400000436721474,8.302246785237211e-10,98.91999922683311
