investor,node,desired_power_mw,desired_energy_mwh,desired_ratio_hours,private_headroom_limit_mw,access_shadow_price_eur_per_mw_day
I1,N1,2.5469812455156567e-06,5.399207539854833e-06,2.119845817224194,100.0,2.3408036131629918e-07
I2,N1,6.73196918547675e-08,1.4784779554676754e-07,2.1962042824813843,100.0,8.140755726917665e-08
I3,N1,6.5768413530795535e-09,2.445383132751314e-08,3.7181726021204433,100.0,9.081564448260868e-08
I4,N1,6.193603649667663e-07,3.3147242998329925e-06,5.3518508566670295,100.0,9.08148486545966e-08
I1,N2,7.9732800579132395,51.110766562054984,6.410256028988859,100.0,9.18362682999853e-08
I2,N2,0.03575876300305601,0.0716153159754846,2.0027347134285436,100.0,2.675717635380981e-06
I3,N2,2.388345877843922,15.309902078788822,6.410253314151394,100.0,9.30519679874374e-08
I4,N2,7.840521684352508,41.86271245517711,5.3392764079364,100.0,6.296236376817696e-07
I1,N3,5.813781818453541e-06,1.175102472772179e-05,2.0212359346583715,100.0,2.8141959542118623e-07
I2,N3,1.7305375580418753e-05,3.4731237064093545e-05,2.0069623396901233,100.0,1.0184306212999353e-05
I3,N3,1.851105698880378e-06,3.830805299798234e-06,2.0694686976088166,100.0,9.057947121190575e-08
I4,N3,1.1226936225031867e-06,4.339710974445207e-06,3.8654454674546694,100.0,9.081299742329534e-08
I1,N4,2.5755795126981192e-06,5.456733438189939e-06,2.118642973857789,100.0,2.357462531816678e-07
I2,N4,5.98535256757564e-08,1.3142026547606637e-07,2.1956979809010315,100.0,9.749937214024058e-08
I3,N4,1.1566801047962387e-08,3.4171417584587696e-08,2.954266909484654,100.0,9.081535963066452e-08
I4,N4,6.193587705056243e-07,3.3147133562274457e-06,5.351846965082002,100.0,9.081484871554956e-08
I1,N5,2.260233847531096e-06,4.92576462167191e-06,2.179316368990949,100.0,2.156039444997431e-07
I2,N5,1.0883505535996631e-07,2.5264769097126924e-07,2.321381563464548,100.0,4.458023437448167e-08
I3,N5,5.007694960084203e-07,1.0762211141520794e-06,2.1491347271160124,100.0,9.079329188263772e-08
I4,N5,6.864327793373459e-07,3.4089867075839907e-06,4.966235311307375,100.0,9.081618468049411e-08
I1,N6,2.289769354263083e-06,4.741638221033475e-06,2.0707929434925454,100.0,1.7654751601173524e-07
I2,N6,1.4116381509294955e-07,3.154240694097132e-07,2.2344541283615897,100.0,2.2137109997377983e-08
I3,N6,6.766684910706919e-07,1.4487218036680174e-06,2.140962410375731,100.0,9.078190068294987e-08
I4,N6,6.830884620450194e-07,4.1996404550219215e-06,6.14801843153536,100.0,9.081339657469607e-08
I1,N7,7.974227810837232,51.1168413543207,6.410255960439363,100.0,9.98134112415891e-08
I2,N7,2.352586110314538,4.705271390212615,2.0000421534340886,100.0,-2.44917778964036e-06
I3,N7,1.8530725858415822e-09,7.957760172820498e-09,4.294359667085811,100.0,9.081446593511421e-08
I4,N7,50.88700633207247,127.56809169038891,2.506889300147075,100.0,-3.4606332300025565e-07
I1,N8,53.87074066953413,107.74148145341317,2.000000002122579,100.0,-1.5346953109842366e-06
I2,N8,53.87036378363253,107.74072771054465,2.0000000026597107,100.0,-1.997364019915097e-05
I3,N8,53.87039292167377,107.74078600298117,2.0000000029632905,100.0,1.9752862117900522e-07
I4,N8,56.25873914289267,302.3950837333674,5.375077514007348,100.0,2.0776687022521578e-07
I1,N9,5.7996561796904e-06,1.1722676647753545e-05,2.0212709658211723,100.0,2.799289383879772e-07
I2,N9,1.7346551910440895e-05,3.4813618323753154e-05,2.006947461575855,100.0,1.0242966798862487e-05
I3,N9,1.8373742650517252e-06,3.796065597945409e-06,2.0660274121334465,100.0,9.057135217178511e-08
I4,N9,1.1242734075932076e-06,4.3276928405714046e-06,3.849324204719854,100.0,9.081333574277934e-08
