fleet,case,investor,total_power_mw,total_energy_mwh,charge_mwh,discharge_mwh,throughput_mwh,spot_revenue_eur_per_day,generation_rent_eur_per_day,degradation_eur_per_day,capex_eur_per_day,profit_eur_per_day,capacity_proportional_profit_eur_per_day,dispatch_attribution_band_eur_per_day
final_gamma1e4,hard_min_norm,I1,50.247899043238945,141.8444722206746,151.53310282678424,132.75754525413439,284.29064808091863,2802.490225926006,0.0,2132.1798606068896,959.0457254974756,-288.7353601783591,-255.58639949302756,33.14896068533153
final_gamma1e4,hard_min_norm,I2,50.249823394429335,141.8536764901952,151.54293644301256,132.76616044597756,284.3090968889901,2802.6772088616535,0.0,2132.3182266674257,1205.34478287483,-534.9858006806021,-501.76825301994086,33.21754766066124
final_gamma1e4,hard_min_norm,I3,36.39802863401432,121.47478353262593,129.7706136253325,113.69151551469932,243.4621291400318,2353.9488857645724,124865.87847742862,1825.9659685502386,807.3162792968964,124586.54511534606,124541.97448392518,44.57063142088009
final_gamma1e4,hard_min_norm,I4,50.29409811648144,142.05998645866427,151.76335404041322,132.95926742138988,284.7226214618031,2806.870349262873,177291.74498547544,2135.4196609635233,960.4392297845441,177002.75644399025,176980.96056706514,21.79587692511268
final_gamma1e4,gamma_1e-04,I1,50.247899043238945,141.8444722206746,151.54324016025924,132.76642653144248,284.30966669170175,5041.226368637067,0.0,2132.322500187763,959.0457254974756,1949.8581429518283,2067.307391949059,117.4492489972306
final_gamma1e4,gamma_1e-04,I2,50.249823394429335,141.8536764901952,151.55307378165966,132.77504172781693,284.32811550947656,5041.553425374116,0.0,2132.4608663210743,1205.34478287483,1703.747776178212,1820.2742700170961,116.52649383888411
final_gamma1e4,gamma_1e-04,I3,36.39802863401432,121.47478353262593,129.7807520408359,113.70039773996815,243.48114978080406,4316.780626608588,114735.38345206529,1826.1086233560304,807.3162792968964,116418.73917602094,116103.15283291778,315.5863431031612
final_gamma1e4,gamma_1e-04,I4,50.29409811648144,142.05998645866427,151.77349041690024,132.96814786028466,284.7416382771849,5048.8843444934355,140816.93413263187,2135.5622870788866,960.4392297845441,142769.8169602619,142851.42756052894,81.61060026704217
final_gamma1e4,gamma_3e-05,I1,50.247899043238945,141.8444722206746,151.53831525809565,132.76211184435655,284.3004271024522,2763.5875429428047,0.0,2132.2532032683916,959.0457254974756,-327.7113858230625,-296.13700015552035,31.574385667542174
final_gamma1e4,gamma_3e-05,I2,50.249823394429335,141.8536764901952,151.54814887512742,132.77072703690365,284.3188759120311,2763.771996528573,0.0,2132.391569340233,1205.34478287483,-573.9643556864903,-542.3089860153982,31.655369671092103
final_gamma1e4,gamma_3e-05,I3,36.39802863401432,121.47478353262593,129.77582648706453,113.69608248201128,243.4719089690758,2320.643808853966,125020.94953978722,1826.0393172680685,807.3162792968964,124708.23775207624,124667.90121650568,40.336535570560955
final_gamma1e4,gamma_3e-05,I4,50.29409811648144,142.05998645866427,151.7685665636518,132.96383409214914,284.7324006558009,2767.90844529343,177912.04672215873,2135.493004918507,960.4392297845441,177584.02293274913,177561.12971298106,22.893219768069685
final_gamma1e4,gamma_1e-05,I1,50.247899043238945,141.8444722206746,151.53484004562193,132.7590672246092,284.2939072702311,2763.5384926362267,0.0,2132.2043045267333,959.0457254974756,-327.71153738798216,-296.1371448699813,31.574392518000877
final_gamma1e4,gamma_1e-05,I2,50.249823394429335,141.8536764901952,151.5446736637532,132.7676824181195,284.31235608187274,2763.7229462351565,0.0,2132.3426706140453,1205.34478287483,-573.9645072537187,-542.3091305372473,31.655376716471437
final_gamma1e4,gamma_1e-05,I3,36.39802863401432,121.47478353262593,129.77235176625425,113.69303829300831,243.46539005926257,2320.594783279276,125020.95065501975,1825.9904254444693,807.3162792968964,124708.23873355766,124667.902213042,40.336520515658776
final_gamma1e4,gamma_1e-05,I4,50.29409811648144,142.05998645866427,151.7650915426725,132.96078964016925,284.72588118284176,2767.859397663844,177912.0484897982,2135.4441088713133,960.4392297845441,177584.02454880622,177561.1313000874,22.893248718813993
