fleet,case,gamma,generator,hour,p_gen_mw
final_gamma1e4,hard_min_norm,,G_IEEE1,1,27.788709799177607
final_gamma1e4,hard_min_norm,,G_IEEE1,2,7.961161751527356
final_gamma1e4,hard_min_norm,,G_IEEE1,3,1.3743191689020473
final_gamma1e4,hard_min_norm,,G_IEEE1,4,0.06751102417067034
final_gamma1e4,hard_min_norm,,G_IEEE1,5,2.8015455917986336
final_gamma1e4,hard_min_norm,,G_IEEE1,6,34.44079895142663
final_gamma1e4,hard_min_norm,,G_IEEE1,7,107.60066952227638
final_gamma1e4,hard_min_norm,,G_IEEE1,8,122.696671726274
final_gamma1e4,hard_min_norm,,G_IEEE1,9,18.030940820495793
final_gamma1e4,hard_min_norm,,G_IEEE1,10,-8.83450049856391e-09
final_gamma1e4,hard_min_norm,,G_IEEE1,11,20.624364850539457
final_gamma1e4,hard_min_norm,,G_IEEE1,12,0.00043988216330053705
final_gamma1e4,hard_min_norm,,G_IEEE1,13,0.014490790897051586
final_gamma1e4,hard_min_norm,,G_IEEE1,14,0.00037433780896125695
final_gamma1e4,hard_min_norm,,G_IEEE1,15,0.00043976429993350017
final_gamma1e4,hard_min_norm,,G_IEEE1,16,1.053943742057398
final_gamma1e4,hard_min_norm,,G_IEEE1,17,-8.834499724354778e-09
final_gamma1e4,hard_min_norm,,G_IEEE1,18,12.507418042051917
final_gamma1e4,hard_min_norm,,G_IEEE1,19,192.78190137682475
final_gamma1e4,hard_min_norm,,G_IEEE1,20,232.06547908411784
final_gamma1e4,hard_min_norm,,G_IEEE1,21,213.20401676636132
final_gamma1e4,hard_min_norm,,G_IEEE1,22,154.55807370865358
final_gamma1e4,hard_min_norm,,G_IEEE1,23,93.11018159330693
final_gamma1e4,hard_min_norm,,G_IEEE1,24,52.454791516319496
final_gamma1e4,hard_min_norm,,G_IEEE2,1,300.0000029988345
final_gamma1e4,hard_min_norm,,G_IEEE2,2,300.0000029988345
final_gamma1e4,hard_min_norm,,G_IEEE2,3,300.00000299883453
final_gamma1e4,hard_min_norm,,G_IEEE2,4,300.0000029988353
final_gamma1e4,hard_min_norm,,G_IEEE2,5,300.00000299883453
final_gamma1e4,hard_min_norm,,G_IEEE2,6,300.0000029988345
final_gamma1e4,hard_min_norm,,G_IEEE2,7,300.0000029988345
final_gamma1e4,hard_min_norm,,G_IEEE2,8,300.0000029988345
final_gamma1e4,hard_min_norm,,G_IEEE2,9,300.0000029988345
final_gamma1e4,hard_min_norm,,G_IEEE2,10,234.05249625638004
final_gamma1e4,hard_min_norm,,G_IEEE2,11,69.43563010679178
final_gamma1e4,hard_min_norm,,G_IEEE2,12,56.99955585157478
final_gamma1e4,hard_min_norm,,G_IEEE2,13,43.110504916592944
final_gamma1e4,hard_min_norm,,G_IEEE2,14,32.249621317193125
final_gamma1e4,hard_min_norm,,G_IEEE2,15,24.374555811938123
final_gamma1e4,hard_min_norm,,G_IEEE2,16,26.696051755360052
final_gamma1e4,hard_min_norm,,G_IEEE2,17,191.27249589335574
final_gamma1e4,hard_min_norm,,G_IEEE2,18,300.0000029988345
final_gamma1e4,hard_min_norm,,G_IEEE2,19,300.0000029988345
final_gamma1e4,hard_min_norm,,G_IEEE2,20,300.0000029988345
final_gamma1e4,hard_min_norm,,G_IEEE2,21,300.0000029988345
final_gamma1e4,hard_min_norm,,G_IEEE2,22,300.0000029988345
final_gamma1e4,hard_min_norm,,G_IEEE2,23,300.0000029988345
final_gamma1e4,hard_min_norm,,G_IEEE2,24,300.0000029988345
final_gamma1e4,hard_min_norm,,G_IEEE3,1,-8.728541875102508e-09
final_gamma1e4,hard_min_norm,,G_IEEE3,2,-8.728535919400404e-09
final_gamma1e4,hard_min_norm,,G_IEEE3,3,-8.728496245923413e-09
