investor,node,power_mw,energy_mwh
I1,N1,0.2815680420761695,0.8447041100284631
I1,N2,0.28156802395669805,0.8447040585458918
I1,N3,0.0,0.0
I1,N4,0.28156804207616976,0.844704110028464
I1,N5,0.28156802466080977,0.8447040603925557
I1,N6,0.0,0.0
I1,N7,0.28156802395670094,0.8447040585459005
I1,N8,0.0,0.0
I1,N9,23.292150356408328,74.08940024060722
I2,N1,0.28156794774151805,0.8447038295076109
I2,N2,0.2815679334978946,0.8447037884021769
I2,N3,2.252539407884541,7.27365937575098
I2,N4,0.2815679477415238,0.8447038295076282
I2,N5,0.281567935436917,0.844703793998157
I2,N6,0.0,0.0
I2,N7,0.2815679334978968,0.8447037884021836
I2,N8,10.159822707623064,27.92253800615072
I2,N9,0.0,0.0
I3,N1,0.2815798017404926,0.8447368095312067
I3,N2,0.28156820007772865,0.8447045756654904
I3,N3,0.0,0.0
I3,N4,0.28157980174051916,0.844736809531204
I3,N5,0.2815816665020937,0.8447383816127677
I3,N6,35.799863854633685,129.67535660322758
I3,N7,0.28156820007773325,0.8447045756655043
I3,N8,29.840177292376936,84.10373118675194
I3,N9,0.0,0.0
I4,N1,0.2815686617827254,0.8447058790548718
I4,N2,0.28156866489727794,0.8447058886095377
I4,N3,37.74746059211546,121.86134095916303
I4,N4,0.2815686617827304,0.8447058790548868
I4,N5,0.28156866198572666,0.8447058797548209
I4,N6,4.200136145366315,14.806263649649853
I4,N7,0.28156866489729,0.8447058886095739
I4,N8,0.0,0.0
I4,N9,16.707849643591672,57.59373997869941
