sweep,investor,termination,optimal,solve_seconds,best_feasible_objective,best_objective_bound,proximal_penalty,complementarity_epsilon,complementarity_max_product,complementarity_max_violation,primal_dual_gap_eur_per_day,profit_eur_per_day,old_power_mw,best_response_power_mw,new_power_mw,old_energy_mwh,best_response_energy_mwh,new_energy_mwh,old_access_request_mw,best_response_access_request_mw,new_access_request_mw,max_raw_deviation_mw,max_raw_deviation_mwh,max_iterate_change_mw,max_iterate_change_mwh,max_raw_bid_deviation_eur_per_mwh,max_iterate_bid_change_eur_per_mwh,max_raw_quantity_bid_deviation_mw,max_iterate_quantity_bid_change_mw,max_raw_access_quantity_deviation_mw,max_iterate_access_quantity_change_mw,max_raw_access_bid_deviation_eur_per_mw_day,max_iterate_access_bid_change_eur_per_mw_day,max_raw_duration_deviation_hours,max_iterate_duration_change_hours
1,I1,optimal,True,129.3472968999995,,,0.01,0.001,0.001002999529589709,2.999529589708949e-06,2.1723868935368955,14409.770759535833,45.0,130.0003682004494,58.749862548552734,135.0,418.18891276311507,177.60943767212177,45.0,130.000400265285,66.25010006632125,34.99999870162356,124.4545363111778,8.749999863760166,27.921862572188438,0.0,0.0,0.0,0.0,34.99999950597511,8.749999876493778,20.0,5.0,0.9831638470503363,0.2457909617625842
1,I2,optimal,True,86.30984869995154,,,0.01,0.001,0.001002999531905806,2.999531905805916e-06,2.161075648269616,13693.679483041487,45.0,130.00036675251394,66.24983231899999,135.0,418.188905694325,201.021131064154,45.0,130.00039902853405,66.25009975713351,34.99999870162356,124.4545363111778,8.749999863760166,27.921862572188438,0.0,0.0,0.0,0.0,34.99999950597511,8.749999876493778,20.0,5.0,0.9831638470503363,0.2457909617625842
1,I3,optimal,True,66.81661830004305,,,0.01,0.001,0.0010004345937643395,4.345937643394568e-07,2.5291550513939,122589.42723209567,45.0,100.00069873084479,51.250107266056894,135.0,337.32935369005594,156.85373463042023,45.0,100.00074218068806,58.750185545172016,34.99999870162356,124.4545363111778,8.749999863760166,27.921862572188438,0.0,0.0,0.0,0.0,34.99999950597511,8.749999876493778,20.0,5.0,0.9831638470503363,0.2457909617625842
1,I4,optimal,True,47.23459989996627,,,0.01,0.001,0.001000834684901961,8.346849019610046e-07,2.6380362733616494,154577.66284098086,45.0,100.00060451281843,58.75020140089949,135.0,340.2055997063195,180.27097822954508,45.0,100.00080560359797,58.75020140089949,34.99999870162356,124.4545363111778,8.749999863760166,27.921862572188438,0.0,0.0,0.0,0.0,34.99999950597511,8.749999876493778,20.0,5.0,0.9831638470503363,0.2457909617625842
2,I1,optimal,True,35.76041520002764,,,0.01,0.001,0.001000961623541394,9.616235413939262e-07,2.29603762680199,8921.408052057443,58.749862548552734,90.00337502523263,49.375390445143786,177.60943767212177,300.4239018472782,150.5459282729583,66.25010006632125,90.00341168569533,72.18842797116477,29.99995827193368,106.9729782665703,10.000050099327211,30.678762967550774,0.0,0.0,0.0,0.0,29.999959108185756,7.499989777046439,14.99999999979862,3.7499999999496545,1.0839060932116444,0.27097652330291133
2,I2,optimal,True,21.372040300047956,,,0.01,0.001,0.0010014951669404376,1.495166940437614e-06,2.3429238926037215,7361.374173145306,66.24983231899999,76.25332393670841,38.50811155287098,201.021131064154,257.501866240721,117.42513712965585,66.25009975713351,76.25336202056985,68.7509153229926,29.99995827193368,106.9729782665703,10.000050099327211,30.678762967550774,0.0,0.0,0.0,0.0,29.999959108185756,7.499989777046439,14.99999999979862,3.7499999999496545,1.0839060932116444,0.27097652330291133
2,I3,optimal,True,135.6542110000737,,,0.01,0.001,0.001000675976338143,6.759763381430396e-07,2.316454007755965,121286.08887750226,51.250107266056894,103.46669000405625,61.80425655835257,156.85373463042023,339.6890747747663,192.72861837298876,58.750185545172016,110.96663959208772,71.80429905690094,29.99995827193368,106.9729782665703,10.000050099327211,30.678762967550774,0.0,0.0,0.0,0.0,29.999959108185756,7.499989777046439,14.99999999979862,3.7499999999496545,1.0839060932116444,0.27097652330291133
2,I4,optimal,True,85.21102819999214,,,0.01,0.001,0.0010011910758887283,1.19107588872824e-06,1.9484847015119158,155395.60457590516,58.75020140089949,159.99998669972277,66.56261332735858,180.27097822954508,517.3259653229626,212.26355189931982,58.75020140089949,159.99999667762964,84.06265022008202,29.99995827193368,106.9729782665703,10.000050099327211,30.678762967550774,0.0,0.0,0.0,0.0,29.999959108185756,7.499989777046439,14.99999999979862,3.7499999999496545,1.0839060932116444,0.27097652330291133
3,I1,optimal,True,42.89559470000677,,,0.01,0.001,0.0010011497045032609,1.1497045032608354e-06,2.4066813935060054,5691.644862106045,49.375390445143786,59.75966374896678,31.79645408124401,150.5459282729583,196.71497158113803,100.84519168571458,72.18842797116477,72.81343392104169,72.344679458634,22.500228712219503,70.42026894784604,10.625370992135856,29.691848492073397,0.0,0.0,0.0,0.0,22.49996885174731,5.624992212936828,11.249999989020358,2.81249999725509,0.5278086766771479,0.1319521691692871
3,I2,optimal,True,35.605113800032996,,,0.01,0.001,0.0010009053645499448,9.053645499447482e-07,2.2878200454288162,7029.657172905162,38.50811155287098,77.25964048856422,30.42620154643363,117.42513712965585,254.15667998428515,90.33500995674206,68.7509153229926,84.75969786341962,72.75311095809936,22.500228712219503,70.42026894784604,10.625370992135856,29.691848492073397,0.0,0.0,0.0,0.0,22.49996885174731,5.624992212936828,11.249999989020358,2.81249999725509,0.5278086766771479,0.1319521691692871
3,I3,optimal,True,72.17326680000406,,,0.01,0.001,0.0010006642173647977,6.642173647976486e-07,2.0783045773860067,121451.37183541029,61.80425655835257,107.50068587178163,67.60331187636586,192.72861837298876,347.25222157859594,213.15726083782297,71.80429905690094,107.50071609937284,80.72840331751891,22.500228712219503,70.42026894784604,10.625370992135856,29.691848492073397,0.0,0.0,0.0,0.0,22.49996885174731,5.624992212936828,11.249999989020358,2.81249999725509,0.5278086766771479,0.1319521691692871
3,I4,optimal,True,88.4407099999953,,,0.01,0.001,0.0010010163482737913,1.0163482737912677e-06,2.2004866842762567,153530.94959899422,66.56261332735858,99.7601165900825,72.36181438935196,212.26355189931982,333.62522907002653,235.2088525157072,84.06265022008202,107.25945446855816,89.86185128220106,22.500228712219503,70.42026894784604,10.625370992135856,29.691848492073397,0.0,0.0,0.0,0.0,22.49996885174731,5.624992212936828,11.249999989020358,2.81249999725509,0.5278086766771479,0.1319521691692871
4,I1,optimal,True,42.54642129992135,,,0.01,0.001,0.0010002255086268737,2.2550862687365641e-07,2.3162609515711665,5642.755171436311,31.79645408124401,64.25473033521807,33.22262173488583,100.84519168571458,205.49206047773131,100.30194847876703,72.344679458634,84.68830172057633,75.4305850241196,39.999993010727614,102.70856771692641,15.000191012403523,42.489299564593395,0.0,0.0,0.0,0.0,22.49995958588646,5.6249898964716145,18.887011326715747,4.721752831678938,0.5912171334434042,0.14780428336085105
