hour,node,tier,wtp_eur_per_mwh,shed_mw,bound_mw,xi_shed_dual
2,N3,T08_1300,1300.0,-9.96530658209049e-09,2.4264,-7.986855381174153e-09
2,N3,T09_1600,1600.0,-9.97198708311413e-09,2.4264,-7.986855381133068e-09
2,N3,T10_2000,2000.0,-9.97770992989203e-09,2.4264,-7.986855381097854e-09
2,N3,T_VOLL,10000.0,-9.995617249048799e-09,218.376,9.800146051322612e-09
2,N4,T01_100,100.0,-9.247149893545559e-09,2.4264,-7.986855385446845e-09
2,N4,T02_200,200.0,-9.723725447012858e-09,2.4264,-7.986855382642898e-09
2,N4,T03_300,300.0,-9.830820737351231e-09,2.4264,-7.986855381995834e-09
2,N4,T04_450,450.0,-9.893023450894551e-09,2.4264,-7.986855381617063e-09
2,N4,T05_600,600.0,-9.92178209385097e-09,2.4264,-7.986855381441206e-09
2,N4,T06_800,800.0,-9.942420859483301e-09,2.4264,-7.986855381314714e-09
2,N4,T07_1000,1000.0,-9.954441923565487e-09,2.4264,-7.986855381240924e-09
2,N4,T08_1300,1300.0,-9.965306582090533e-09,2.4264,-7.986855381174166e-09
2,N4,T09_1600,1600.0,-9.971987083114157e-09,2.4264,-7.986855381133083e-09
2,N4,T10_2000,2000.0,-9.977709929892046e-09,2.4264,-7.986855381097865e-09
2,N4,T_VOLL,10000.0,-9.9956172490488e-09,218.376,9.800146051322612e-09
2,N5,T01_100,100.0,-9.247149894526225e-09,0.4044,-9.792113244742899e-08
2,N5,T02_200,200.0,-9.723725447144927e-09,0.4044,-9.79211323464867e-08
2,N5,T03_300,300.0,-9.830820737400756e-09,0.4044,-9.792113232319235e-08
2,N5,T04_450,450.0,-9.893023450914352e-09,0.4044,-9.792113230955663e-08
2,N5,T05_600,600.0,-9.921782093861557e-09,0.4044,-9.792113230322576e-08
2,N5,T06_800,800.0,-9.942420859489039e-09,0.4044,-9.792113229867199e-08
2,N5,T07_1000,1000.0,-9.954441923569077e-09,0.4044,-9.792113229601562e-08
2,N5,T08_1300,1300.0,-9.965306582092615e-09,0.4044,-9.792113229361225e-08
2,N5,T09_1600,1600.0,-9.971987083115516e-09,0.4044,-9.792113229213324e-08
2,N5,T10_2000,2000.0,-9.977709929892906e-09,0.4044,-9.792113229086553e-08
2,N5,T_VOLL,10000.0,-9.9956172490488e-09,36.396,8.800876307935591e-09
3,N1,T01_100,100.0,-9.2471498946083e-09,0.3954,-1.0037760739310593e-07
3,N1,T02_200,200.0,-9.72372544715598e-09,0.3954,-1.0037760728751609e-07
3,N1,T03_300,300.0,-9.830820737404902e-09,0.3954,-1.0037760726314924e-07
3,N1,T04_450,450.0,-9.89302345091601e-09,0.3954,-1.0037760724888571e-07
3,N1,T05_600,600.0,-9.921782093862442e-09,0.3954,-1.0037760724226337e-07
3,N1,T06_800,800.0,-9.942420859489518e-09,0.3954,-1.0037760723749992e-07
3,N1,T07_1000,1000.0,-9.954441923569378e-09,0.3954,-1.0037760723472125e-07
3,N1,T08_1300,1300.0,-9.965306582092789e-09,0.3954,-1.003776072322072e-07
3,N1,T09_1600,1600.0,-9.97198708311563e-09,0.3954,-1.003776072306601e-07
3,N1,T10_2000,2000.0,-9.977709929892979e-09,0.3954,-1.0037760722933403e-07
3,N1,T_VOLL,10000.0,-9.995617249048802e-09,35.586,8.773582141955367e-09
3,N2,T01_100,100.0,-9.247149893600707e-09,2.3724000000000003,-8.396267875356697e-09
3,N2,T02_200,200.0,-9.723725447020285e-09,2.3724000000000003,-8.396267872423652e-09
3,N2,T03_300,300.0,-9.830820737354017e-09,2.3724000000000003,-8.396267871746796e-09
3,N2,T04_450,450.0,-9.893023450895664e-09,2.3724000000000003,-8.396267871350587e-09
3,N2,T05_600,600.0,-9.921782093851566e-09,2.3724000000000003,-8.396267871166633e-09
3,N2,T06_800,800.0,-9.942420859483624e-09,2.3724000000000003,-8.396267871034316e-09
