hour,node,lambda_reference_eur_per_mwh
1,N1,68.09742695620014
1,N2,68.09742695620014
1,N3,68.09742695620014
1,N4,68.09742695620014
1,N5,68.09742695620014
2,N1,68.09742695620014
2,N2,68.09742695620014
2,N3,68.09742695620014
2,N4,68.09742695620014
2,N5,68.09742695620014
3,N1,68.09742695620014
3,N2,68.09742695620014
3,N3,68.09742695620014
3,N4,68.09742695620014
3,N5,68.09742695620014
4,N1,68.09742695620014
4,N2,68.09742695620014
4,N3,68.09742695620014
4,N4,68.09742695620014
4,N5,68.09742695620014
5,N1,68.09742695620014
5,N2,68.09742695620014
5,N3,68.09742695620014
5,N4,68.09742695620014
5,N5,68.09742695620014
6,N1,68.09742695620014
6,N2,68.09742695620014
6,N3,68.09742695620014
6,N4,68.09742695620014
6,N5,68.09742695620014
7,N1,73.50768743065464
7,N2,200.00000000000003
7,N3,176.03423680456496
7,N4,110.12838801711843
7,N5,80.0
8,N1,68.09742695620014
8,N2,300.0
8,N3,256.0627674750357
8,N4,135.23537803138373
8,N5,80.0
9,N1,73.50768743065461
9,N2,200.0
9,N3,176.0342368045649
9,N4,110.12838801711838
9,N5,80.0
10,N1,80.0
10,N2,80.0
10,N3,80.0
10,N4,80.0
10,N5,80.0
11,N1,80.0
11,N2,80.0
11,N3,80.0
11,N4,80.0
11,N5,80.0
12,N1,70.08768
12,N2,70.08768
12,N3,70.08768
12,N4,70.08768
12,N5,70.08768
13,N1,70.08768
13,N2,70.08768
13,N3,70.08768
13,N4,70.08768
13,N5,70.08768
14,N1,70.08768
14,N2,70.08768
14,N3,70.08768
14,N4,70.08768
14,N5,70.08768
15,N1,70.08768000000002
15,N2,70.08768000000002
15,N3,70.08768000000002
15,N4,70.08768000000002
15,N5,70.08768000000002
16,N1,70.08768000000002
16,N2,70.08768000000002
16,N3,70.08768000000002
16,N4,70.08768000000002
16,N5,70.08768000000002
17,N1,80.0
17,N2,80.0
17,N3,80.0
17,N4,80.0
17,N5,80.0
18,N1,80.0
18,N2,80.0
18,N3,80.0
18,N4,80.0
18,N5,80.0
19,N1,80.0
19,N2,80.0
19,N3,80.0
19,N4,80.0
19,N5,80.0
20,N1,80.0
20,N2,80.0
20,N3,80.0
20,N4,80.0
20,N5,80.0
21,N1,80.0
21,N2,80.0
21,N3,80.0
21,N4,80.0
21,N5,80.0
22,N1,80.0
22,N2,80.0
22,N3,80.0
22,N4,80.0
22,N5,80.0
23,N1,80.0
23,N2,80.0
23,N3,80.0
23,N4,80.0
23,N5,80.0
24,N1,80.0
24,N2,80.0
24,N3,80.0
24,N4,80.0
24,N5,80.0
