investor,node,x_power_mw,x_energy_mwh,ratio_hours,share_of_node_limit,last_best_response_access_shadow_price_eur_per_mw_day
I4,N1,7.261434995645502e-05,0.0001467684577658918,2.0212045946001735,7.261434995645502e-07,5.819280185832175e-08
I4,N2,7.204428408622452e-05,0.000145653463215461,2.0217212935468836,7.204428408622452e-07,6.77678260613807e-08
I4,N3,48.880272916631554,108.70173550075351,2.22383650938593,0.48880272916631556,3.248490153226134e-07
I4,N4,7.189317469163853e-05,0.00014532803659837116,2.0214441387754354,7.189317469163852e-07,5.816849394940209e-08
I4,N5,7.251935160900857e-05,0.00014660606280423092,2.0216129840027293,7.251935160900857e-07,5.840592689638892e-08
I4,N6,7.263065188538598e-05,0.00014681992146417416,2.0214595030189426,7.263065188538598e-07,5.8239693231075606e-08
I4,N7,7.28548509104782e-05,0.00014727848222818933,2.0215329574850216,7.285485091047821e-07,5.7599339091030145e-08
I4,N8,52.72804241159925,237.77424748081012,4.509445763692982,0.5272804241159925,32.634470334330125
I4,N9,46.59417311985043,94.27022493266594,2.0232191842997675,0.4659417311985043,2.5465215462307154e-08
I1,N1,6.356311131980663e-05,0.00012863969499961585,2.02381054559126,6.356311131980664e-07,9.081830469875394e-08
I1,N2,6.359585849321792e-05,0.00012870519796858666,2.0237984204948223,6.359585849321793e-07,9.081830418295917e-08
I1,N3,6.32543540344315e-05,0.00012802726734681966,2.024007189720569,6.32543540344315e-07,1.7774529423539444e-07
I1,N4,6.356311116447328e-05,0.00012863969468175334,2.02381054553624,6.356311116447329e-07,9.081830404313827e-08
I1,N5,6.356439270327619e-05,0.0001286422689861992,2.0238102421069586,6.35643927032762e-07,9.081830461343453e-08
I1,N6,6.3561091179087e-05,0.00012863563239702,2.023810951177376,6.3561091179087e-07,9.081830471213042e-08
I1,N7,0.0,0.0,0.0,0.0,9.081830491866482e-08
I1,N8,0.0,0.0,0.0,0.0,0.0017038611830843197
I1,N9,6.323004597366973e-05,0.0001279747480791354,2.0239546897123355,6.323004597366972e-07,1.7013262234616094e-07
I3,N1,0.0,0.0,0.0,0.0,9.059460071686365e-08
I3,N2,0.0,0.0,0.0,0.0,9.034588343662373e-08
I3,N3,6.0038102031031624e-05,0.00012158312224865887,2.0250993641640562,6.003810203103162e-07,1.7707028320970255e-07
I3,N4,0.0,0.0,0.0,0.0,9.0593943548134e-08
I3,N5,0.0,0.0,0.0,0.0,9.091070526530732e-08
I3,N6,0.0,0.0,0.0,0.0,9.034210867120211e-08
I3,N7,0.0,0.0,0.0,0.0,9.034562279060135e-08
I3,N8,47.26541861676182,191.34815281788093,4.048375290386676,0.47265418616761823,0.0016428330461264655
I3,N9,0.0,0.0,0.0,0.0,1.6945635716566586e-07
I2,N1,0.0,0.0,0.0,0.0,-9.780499663829739e-06
I2,N2,0.0,0.0,0.0,0.0,-9.77799396576093e-06
I2,N3,5.048038903361689e-05,0.00010219216174099549,2.0243933079228387,5.048038903361689e-07,-9.683549331864958e-06
I2,N4,0.0,0.0,0.0,0.0,-9.780499762424877e-06
I2,N5,0.0,0.0,0.0,0.0,-9.77974799878269e-06
I2,N6,0.0,0.0,0.0,0.0,-9.778514743848588e-06
I2,N7,0.0,0.0,0.0,0.0,-9.777993737360932e-06
I2,N8,0.0003490247537655814,0.0006995745151069091,2.0043693393070066,3.490247537655814e-06,0.0013906039107515434
I2,N9,5.047352254869433e-05,0.00010217753705660319,2.024378959444081,5.047352254869432e-07,-9.653219270917238e-06
