investor,node,bid_quantity_mw,raw_bid_price_eur_per_mw_day,clearing_price_eur_per_mw_day,award_mw,duration_hours,energy_mwh,access_payment_eur_per_day
I1,N1,0.0,0.0,0.0,0.0,4.0,0.0,0.0
I1,N2,0.0,0.0,0.0,0.0,4.0,0.0,0.0
I1,N3,0.0,0.0,0.0,0.0,4.0,0.0,0.0
I1,N4,0.0,0.0,0.0,0.0,4.0,0.0,0.0
I1,N5,0.0,0.0,0.0,0.0,4.0,0.0,0.0
I1,N6,0.0,0.0,0.0,0.0,4.0,0.0,0.0
I1,N7,0.0,0.0,0.0,0.0,4.0,0.0,0.0
I1,N8,99.99999358378157,35.79203172012622,38.89776332901229,0.0,4.711263290177385,0.0,0.0
I1,N9,0.0,0.0,0.0,0.0,4.0,0.0,0.0
I2,N1,0.0,0.0,0.0,0.0,4.0,0.0,0.0
I2,N2,0.0,0.0,0.0,0.0,4.0,0.0,0.0
I2,N3,0.0,0.0,0.0,0.0,4.0,0.0,0.0
I2,N4,0.0,0.0,0.0,0.0,4.0,0.0,0.0
I2,N5,0.0,0.0,0.0,0.0,4.0,0.0,0.0
I2,N6,0.0,0.0,0.0,0.0,4.0,0.0,0.0
I2,N7,0.0,0.0,0.0,0.0,4.0,0.0,0.0
I2,N8,100.0,35.48,38.89776332901229,0.0,4.0,0.0,0.0
I2,N9,0.0,0.0,0.0,0.0,4.0,0.0,0.0
I3,N1,0.0,0.0,0.0,0.0,4.0,0.0,0.0
I3,N2,0.0,0.0,0.0,0.0,4.0,0.0,0.0
I3,N3,0.0,0.0,0.0,0.0,4.0,0.0,0.0
I3,N4,0.0,0.0,0.0,0.0,4.0,0.0,0.0
I3,N5,0.0,0.0,0.0,0.0,4.0,0.0,0.0
I3,N6,0.0,0.0,0.0,0.0,4.0,0.0,0.0
I3,N7,0.0,0.0,0.0,0.0,4.0,0.0,0.0
I3,N8,99.99999988062147,38.89776332901229,38.89776332901229,1.9769807919708866e-08,4.711263313485609,9.314077076678162e-08,7.690013095208684e-07
I3,N9,0.0,0.0,0.0,0.0,4.0,0.0,0.0
I4,N1,0.0,0.0,0.0,0.0,4.0,0.0,0.0
I4,N2,0.0,0.0,0.0,0.0,4.0,0.0,0.0
I4,N3,0.0,0.0,0.0,0.0,4.0,0.0,0.0
I4,N4,0.0,0.0,0.0,0.0,4.0,0.0,0.0
I4,N5,0.0,0.0,0.0,0.0,4.0,0.0,0.0
I4,N6,0.0,0.0,0.0,0.0,4.0,0.0,0.0
I4,N7,0.0,0.0,0.0,0.0,4.0,0.0,0.0
I4,N8,100.0,48.24996937736851,38.89776332901229,100.00000100017206,4.711263309379092,471.1263356499831,3889.7763718056854
I4,N9,0.0,0.0,0.0,0.0,4.0,0.0,0.0
