iteration,node,total_before_mw,scale
5,N8,100.00000001657732,0.9999999998342268
6,N8,100.00000002331154,0.9999999997668846
7,N8,100.00000002331105,0.9999999997668896
8,N8,100.00000002331255,0.9999999997668745
9,N8,100.00000002331011,0.9999999997668989
10,N8,100.00000002330879,0.9999999997669121
11,N8,100.00000002331643,0.9999999997668357
12,N8,100.00000002331036,0.9999999997668964
13,N8,100.00000002330917,0.9999999997669083
14,N8,100.00000002331126,0.9999999997668874
15,N8,100.00000002330134,0.9999999997669866
16,N8,100.0000000233198,0.999999999766802
17,N8,100.0000000233089,0.999999999766911
18,N8,100.00000002331383,0.9999999997668617
19,N8,100.00000002331758,0.9999999997668242
20,N8,100.00000002331345,0.9999999997668655
21,N8,100.00000002107956,0.9999999997892044
22,N8,100.00000002330135,0.9999999997669865
23,N8,100.0000000233081,0.999999999766919
24,N8,100.00000002330981,0.9999999997669019
25,N8,100.00000002330111,0.9999999997669888
26,N8,100.0000000233122,0.999999999766878
27,N8,100.00000002330425,0.9999999997669575
28,N8,100.00000002331058,0.9999999997668942
29,N8,100.00000002331998,0.9999999997668002
30,N8,100.00000002330674,0.9999999997669327
31,N8,100.0000000233112,0.999999999766888
32,N8,100.0000000233119,0.999999999766881
33,N8,100.00000002330664,0.9999999997669335
34,N8,100.00000002331677,0.9999999997668323
35,N8,100.0000000233097,0.999999999766903
36,N8,100.00000002321504,0.9999999997678496
37,N8,100.00000002331473,0.9999999997668527
38,N8,100.00000002331876,0.9999999997668124
39,N8,100.00000002332102,0.9999999997667898
40,N8,100.00000002331169,0.9999999997668831
41,N8,100.00000002331085,0.9999999997668916
42,N8,100.00000002330576,0.9999999997669424
43,N8,100.00000002331201,0.9999999997668799
44,N8,100.00000002236374,0.9999999997763627
45,N8,100.00000002332125,0.9999999997667876
46,N8,100.00000002331834,0.9999999997668166
47,N8,100.00000002331812,0.9999999997668187
48,N8,100.00000002330746,0.9999999997669253
49,N8,100.00000002331018,0.9999999997668982
50,N8,100.00000002331504,0.9999999997668496
51,N8,100.00000002332649,0.999999999766735
52,N8,100.00000002331106,0.9999999997668894
53,N8,100.00000002330583,0.9999999997669416
54,N8,100.00000002331421,0.9999999997668578
55,N8,100.0000000233061,0.999999999766939
56,N8,100.00000002331502,0.9999999997668497
57,N8,100.00000002330313,0.9999999997669687
58,N8,100.00000002319214,0.9999999997680785
59,N8,100.0000000233125,0.999999999766875
60,N8,100.00000002331046,0.9999999997668954
