iteration,investor,max_rel_delta_offer,max_rel_delta_price,abs_offer_step_mw,abs_price_step_eur_per_mwh,charge_offer_capacity_hours_mwh,discharge_offer_capacity_hours_mwh,mean_charge_bid_price_eur_per_mwh,mean_discharge_offer_price_eur_per_mwh
1,I1,0.6999999063129057,5.302234734055313,11.149518352077713,7.775644715287818,687.3859642208841,618.63527318693,-6.551279964594631,6.487195739386675
1,I3,25.218547109276912,5.931490606352547,16.317798271386597,6.0730259626198135,1056.530316341047,930.848379387621,-6.813042910177314,6.709072045186651
1,I4,12.016721281289609,45.77165390598105,10.643997832363176,12.024521146508906,1678.7842048054322,1422.9644405713154,-5.460596121785172,5.599471125437988
1,I2,19.161455424669853,17.41223971337003,10.979228519675011,9.605130181808992,1440.4052889775583,1231.1465228593634,-5.521567575936972,5.347180556271312
2,I1,9.210070421551666,8.234371421581274,3.1708893972178265,4.771290458738035,597.2073693241296,565.9576037053923,-6.372624376081003,6.212655321652833
2,I3,17.705046664252126,5.467496879538576,4.7935976188386435,4.950850979486038,1272.0871076157443,1199.0687748552803,-6.542679938930154,6.956414831657696
2,I4,2.1431079176867707,5.116750181706534,4.855392905178383,6.477313009767055,2528.8232940267917,2431.893075762622,-5.537433390758214,5.5137611887125315
2,I2,18.676475857659476,20.585683424172448,4.852569690590253,18.562277461503548,908.3208203099281,828.1699197505774,-9.01360184378876,3.12827933853409
3,I1,0.6999907743397982,2.9003942050975193,1.4514459395236672,2.400555745099412,417.96114230282086,408.5865551484817,-6.230244278556866,6.069046109211414
3,I3,28.237566727992927,2.522320351835699,4.5334178429390715,2.906312271817721,1611.5407614250332,1545.6974107688545,-6.591571312860797,6.654275678093241
3,I4,0.42285130433528434,302.4482489414793,1.7957227393061581,101.54252893716765,2901.657082327654,2835.0218467369364,4.315140396187376,17.425127374242873
3,I2,2.1007480353508323,3.316152276193224,1.802720505789615,6.105480420157481,855.5416888284301,817.4586784035954,-9.064050619367553,3.5550706648100223
4,I1,0.6999981295785612,45.452547091746816,0.46365832254502604,39.673615182116656,291.24766588576415,287.32976487567,-2.4505360612767997,11.598180141788596
4,I3,22.32019375639447,7.515375129699844,3.7513702233459605,7.32854263713674,1704.5589224704822,1656.9356151473721,-5.620735733972396,7.8281154221577784
4,I4,2.5361477900576723,2.1383982499636445,1.5435400691613572,70.49641290156254,2921.6012231579057,2887.7949255556814,-2.39896608696229,9.190863906310609
4,I2,0.699995847864892,5.691524744904759,0.7171250020129779,11.953451165901722,703.817799085647,681.8830677140501,-8.156120280123773,5.642450163731069
5,I1,0.6342795880140247,1.1380100493889553,0.17180509007359088,20.532521477898314,256.4079721247375,255.23301052947917,-4.172701154039834,8.62609585819443
5,I3,3.748619432928006,3.6381414433866546,3.740719046296306,4.863058379440308,1353.1055924946497,1338.8187129332377,-5.899604012890776,6.867872211131981
5,I4,1.9193331782405207,4.130240044034368,2.8710915167853117,21.783521218029534,3564.2946209219726,3548.854050400932,-5.230429774481511,7.526093140090304
5,I2,1.0534511984654131,5.773576897946332,1.8192137391014482,7.0755669457972425,580.8109547299919,574.2305088042568,-7.258189190461642,6.4859263695761324
6,I1,0.5140222434870101,5.781326900756296,0.05153231931106784,4.3057925460586715,207.56001943105886,207.20717849739052,-4.825829055501242,9.108941426198822
6,I3,0.4580636255463508,2.885575831291128,1.1222158344569109,1.8193649899664166,1395.6326526170963,1391.3466075671522,-5.840768584887057,6.868267624783466
6,I4,0.23893088786439104,2.620580791942851,1.0008770973555627,1.7783549130911422,3584.61053442833,3579.978372052214,-5.2291000080711285,7.506225425304721
6,I2,0.28922903315097886,0.7220108054233866,0.5457646733854457,1.0182768711688528,495.6539067732812,493.6797721188668,-7.238982200671938,6.621159710857349
7,I1,0.6212480364732855,0.6755479354963901,0.6032473335190958,1.3160381444490121,174.25189727794833,178.3241262747711,-5.030893387626226,9.239507969955044
7,I3,0.5717217664311721,1.9683036156352232,1.5358384733686044,1.9830073348982706,1406.1017656153163,1416.1787735370128,-6.029624555513002,7.129787384079355
7,I4,0.08277665023991736,4.394977409623846,0.632125492657645,4.79180866632069,3528.5700951696854,3532.630640189994,-6.072155227590223,7.0223693594671355
7,I2,0.6105259340266139,0.346944974312285,1.3110104162614096,0.391421400099161,399.86554427549913,408.288163871142,-7.239175026290384,6.665175960577891
8,I1,0.5249522603186418,0.12095409290028847,0.11206115336360915,0.4104261807144587,146.55309555004666,150.77064430993164,-5.098304290090523,9.266583873518972
8,I3,0.6658225458174568,1.0621942819643277,1.8600043169406462,0.7079452910347331,1462.6381132736396,1476.2701752094345,-6.1381529660670004,7.21620176539757
8,I4,0.04570704273778982,2.5081967202760302,0.309845823184069,3.9227782129125526,3484.800829213478,3486.929431861425,-6.370418955265929,7.033121821567304
8,I2,0.2691850257874551,0.5360912204692129,0.5194491146939633,0.17839466762571976,367.6129801240323,372.8682491503794,-7.2333678423847365,6.674578554544267
9,I1,0.11073727834920956,0.03237084203528959,0.07638416981389315,0.17693546189435894,131.20161689858259,134.91527639514834,-5.126249012364167,9.263119225778471
